"Date","M2OWN"
1976-05-01,3.846
1976-06-01,3.896
1976-07-01,3.884
1976-08-01,3.898
1976-09-01,3.927
1976-10-01,3.983
1976-11-01,3.999
1976-12-01,3.999
1977-01-01,3.935
1977-02-01,3.926
1977-03-01,3.953
1977-04-01,3.967
1977-05-01,3.981
1977-06-01,4.064
1977-07-01,4.079
1977-08-01,4.111
1977-09-01,4.229
1977-10-01,4.247
1977-11-01,4.219
1977-12-01,4.155
1978-01-01,4.169
1978-02-01,4.173
1978-03-01,4.155
1978-04-01,4.112
1978-05-01,4.06
1978-06-01,4.498
1978-07-01,4.6
1978-08-01,4.572
1978-09-01,4.811
1978-10-01,5.05
1978-11-01,5.357
1978-12-01,5.473
1979-01-01,5.541
1979-02-01,5.562
1979-03-01,5.56
1979-04-01,5.665
1979-05-01,5.671
1979-06-01,5.574
1979-07-01,5.599
1979-08-01,5.749
1979-09-01,6.079
1979-10-01,6.625
1979-11-01,7.069
1979-12-01,7.179
1980-01-01,7.22
1980-02-01,7.322
1980-03-01,8.743
1980-04-01,8.522
1980-05-01,6.29
1980-06-01,5.318
1980-07-01,5.547
1980-08-01,5.908
1980-09-01,6.542
1980-10-01,7.221
1980-11-01,8.127
1980-12-01,9.171
1981-01-01,9.254
1981-02-01,9.019
1981-03-01,8.502
1981-04-01,8.629
1981-05-01,9.682
1981-06-01,9.246
1981-07-01,9.437
1981-08-01,9.987
1981-09-01,9.752
1981-10-01,9.175
1981-11-01,8.453
1981-12-01,7.706
1982-01-01,8.371
1982-02-01,9.107
1982-03-01,8.817
1982-04-01,8.804
1982-05-01,8.509
1982-06-01,8.483
1982-07-01,8.542
1982-08-01,7.341
1982-09-01,6.668
1982-10-01,6.37
1982-11-01,6.11
1982-12-01,6.045
1983-01-01,5.96
1983-02-01,5.887
1983-03-01,6.069
1983-04-01,6.26
1983-05-01,6.288
1983-06-01,6.474
1983-07-01,6.654
1983-08-01,6.913
1983-09-01,6.829
1983-10-01,6.833
1983-11-01,6.763
1983-12-01,6.807
1984-01-01,6.824
1984-02-01,6.893
1984-03-01,7.072
1984-04-01,7.157
1984-05-01,7.275
1984-06-01,7.448
1984-07-01,7.729
1984-08-01,7.894
1984-09-01,7.91
1984-10-01,7.636
1984-11-01,7.085
1984-12-01,6.67
1985-01-01,6.414
1985-02-01,6.491
1985-03-01,6.618
1985-04-01,6.476
1985-05-01,6.197
1985-06-01,5.895
1985-07-01,5.825
1985-08-01,5.814
1985-09-01,5.825
1985-10-01,5.857
1985-11-01,5.922
1985-12-01,5.907
1986-01-01,5.862
1986-02-01,5.91
1986-03-01,5.798
1986-04-01,5.482
1986-05-01,5.285
1986-06-01,5.233
1986-07-01,5.059
1986-08-01,4.851
1986-09-01,4.684
1986-10-01,4.628
1986-11-01,4.657
1986-12-01,4.636
1987-01-01,4.58
1987-02-01,4.588
1987-03-01,4.623
1987-04-01,4.584
1987-05-01,4.626
1987-06-01,4.724
1987-07-01,4.75
1987-08-01,4.791
1987-09-01,4.917
1987-10-01,5.002
1987-11-01,4.985
1987-12-01,5.02
1988-01-01,5.037
1988-02-01,4.987
1988-03-01,4.972
1988-04-01,4.956
1988-05-01,4.99
1988-06-01,5.111
1988-07-01,5.186
1988-08-01,5.331
1988-09-01,5.464
1988-10-01,5.561
1988-11-01,5.664
1988-12-01,5.78
1989-01-01,5.88
1989-02-01,6.037
1989-03-01,6.348
1989-04-01,6.47
1989-05-01,6.451
1989-06-01,6.389
1989-07-01,6.305
1989-08-01,6.117
1989-09-01,6.087
1989-10-01,6.072
1989-11-01,6.031
1989-12-01,5.979
1990-01-01,5.832
1990-02-01,5.826
1990-03-01,5.865
1990-04-01,5.862
1990-05-01,5.858
1990-06-01,5.854
1990-07-01,5.81
1990-08-01,5.753
1990-09-01,5.729
1990-10-01,5.696
1990-11-01,5.637
1990-12-01,5.518
1991-01-01,5.296
1991-02-01,5.042
1991-03-01,4.966
1991-04-01,4.834
1991-05-01,4.684
1991-06-01,4.638
1991-07-01,4.584
1991-08-01,4.475
1991-09-01,4.366
1991-10-01,4.221
1991-11-01,3.988
1991-12-01,3.673
1992-01-01,3.341
1992-02-01,3.21
1992-03-01,3.173
1992-04-01,3.084
1992-05-01,3.002
1992-06-01,2.958
1992-07-01,2.72
1992-08-01,2.616
1992-09-01,2.486
1992-10-01,2.414
1992-11-01,2.396
1992-12-01,2.379
1993-01-01,2.34
1993-02-01,2.304
1993-03-01,2.253
1993-04-01,2.213
1993-05-01,2.179
1993-06-01,2.156
1993-07-01,2.137
1993-08-01,2.108
1993-09-01,2.076
1993-10-01,2.056
1993-11-01,2.043
1993-12-01,2.025
1994-01-01,2.012
1994-02-01,2.015
1994-03-01,2.048
1994-04-01,2.095
1994-05-01,2.167
1994-06-01,2.244
1994-07-01,2.283
1994-08-01,2.354
1994-09-01,2.425
1994-10-01,2.496
1994-11-01,2.63
1994-12-01,2.767
1995-01-01,2.847
1995-02-01,2.953
1995-03-01,3.027
1995-04-01,3.08
1995-05-01,3.083
1995-06-01,3.052
1995-07-01,3.046
1995-08-01,3.03
1995-09-01,3.027
1995-10-01,3.035
1995-11-01,3.04
1995-12-01,3.021
1996-01-01,2.962
1996-02-01,2.881
1996-03-01,2.854
1996-04-01,2.862
1996-05-01,2.85
1996-06-01,2.857
1996-07-01,2.911
1996-08-01,2.922
1996-09-01,2.93
1996-10-01,2.952
1996-11-01,2.948
1996-12-01,2.937
1997-01-01,2.92
1997-02-01,2.922
1997-03-01,2.934
1997-04-01,2.975
1997-05-01,3.008
1997-06-01,3.02
1997-07-01,3.046
1997-08-01,3.044
1997-09-01,3.061
1997-10-01,3.098
1997-11-01,3.084
1997-12-01,3.102
1998-01-01,3.043
1998-02-01,3.026
1998-03-01,3.024
1998-04-01,3.025
1998-05-01,3.018
1998-06-01,3.028
1998-07-01,3.016
1998-08-01,3.029
1998-09-01,2.997
1998-10-01,2.934
1998-11-01,2.837
1998-12-01,2.758
1999-01-01,2.734
1999-02-01,2.71
1999-03-01,2.68
1999-04-01,2.677
1999-05-01,2.658
1999-06-01,2.678
1999-07-01,2.721
1999-08-01,2.781
1999-09-01,2.818
1999-10-01,2.896
1999-11-01,2.955
1999-12-01,3
2000-01-01,3.037
2000-02-01,3.113
2000-03-01,3.151
2000-04-01,3.175
2000-05-01,3.296
2000-06-01,3.396
2000-07-01,3.468
2000-08-01,3.48
2000-09-01,3.486
2000-10-01,3.51
2000-11-01,3.537
2000-12-01,3.523
2001-01-01,3.352
2001-02-01,3.158
2001-03-01,3.021
2001-04-01,2.815
2001-05-01,2.556
2001-06-01,2.438
2001-07-01,2.306
2001-08-01,2.223
2001-09-01,2
2001-10-01,1.713
2001-11-01,1.484
2001-12-01,1.361
2002-01-01,1.229
2002-02-01,1.188
2002-03-01,1.169
2002-04-01,1.169
2002-05-01,1.157
2002-06-01,1.153
2002-07-01,1.15
2002-08-01,1.113
2002-09-01,1.09
2002-10-01,1.125
2002-11-01,1.001
2002-12-01,0.908
2003-01-01,0.837
2003-02-01,0.817
2003-03-01,0.82
2003-04-01,0.76
2003-05-01,0.763
2003-06-01,0.737
2003-07-01,0.663
2003-08-01,0.629
2003-09-01,0.634
2003-10-01,0.649
2003-11-01,0.648
2003-12-01,0.646
2004-01-01,0.666
2004-02-01,0.661
2004-03-01,0.628
2004-04-01,0.583
2004-05-01,0.594
2004-06-01,0.662
2004-07-01,0.692
2004-08-01,0.742
2004-09-01,0.788
2004-10-01,0.829
2004-11-01,0.891
2004-12-01,0.976
2005-01-01,1.008
2005-02-01,1.077
2005-03-01,1.15
2005-04-01,1.235
2005-05-01,1.301
2005-06-01,1.351
2005-07-01,1.422
2005-08-01,1.484
2005-09-01,1.528
2005-10-01,1.606
2005-11-01,1.681
2005-12-01,1.726
2006-01-01,1.867
2006-02-01,1.936
2006-03-01,1.948
2006-04-01,2.06
2006-05-01,2.122
2006-06-01,2.172
2006-07-01,2.288
2006-08-01,2.342
2006-09-01,2.37
2006-10-01,2.466
2006-11-01,2.443
2006-12-01,2.46
2007-01-01,2.395
2007-02-01,2.405
2007-03-01,2.487
2007-04-01,2.527
2007-05-01,2.522
2007-06-01,2.522
2007-07-01,2.569
2007-08-01,2.535
2007-09-01,2.54
2007-10-01,2.51
2007-11-01,2.432
2007-12-01,2.374
2008-01-01,2.219
2008-02-01,1.826
2008-03-01,1.648
2008-04-01,1.433
2008-05-01,1.334
2008-06-01,1.323
2008-07-01,1.245
2008-08-01,1.244
2008-09-01,1.267
2008-10-01,1.352
2008-11-01,1.178
2008-12-01,0.967
2009-01-01,0.67
2009-02-01,0.615
2009-03-01,0.582
2009-04-01,0.566
2009-05-01,0.524
2009-06-01,0.487
2009-07-01,0.478
2009-08-01,0.451
2009-09-01,0.431
2009-10-01,0.46
2009-11-01,0.434
2009-12-01,0.396
2010-01-01,0.37
2010-02-01,0.361
2010-03-01,0.347
2010-04-01,0.345
2010-05-01,0.335
2010-06-01,0.328
2010-07-01,0.341
2010-08-01,0.32
2010-09-01,0.304
2010-10-01,0.3
2010-11-01,0.288
2010-12-01,0.28
2011-01-01,0.279
2011-02-01,0.267
2011-03-01,0.258
2011-04-01,0.255
2011-05-01,0.25
2011-06-01,0.241
2011-07-01,0.247
2011-08-01,0.235
2011-09-01,0.213
2011-10-01,0.213
2011-11-01,0.204
2011-12-01,0.196
2012-01-01,0.167
2012-02-01,0.164
2012-03-01,0.161
2012-04-01,0.158
2012-05-01,0.154
2012-06-01,0.152
2012-07-01,0.142
2012-08-01,0.145
2012-09-01,0.144
2012-10-01,0.14
2012-11-01,0.135
2012-12-01,0.133
2013-01-01,0.137
2013-02-01,0.128
2013-03-01,0.122
2013-04-01,0.123
2013-05-01,0.119
2013-06-01,0.113
2013-07-01,0.113
2013-08-01,0.113
2013-09-01,0.111
2013-10-01,0.104
2013-11-01,0.101
2013-12-01,0.106
2014-01-01,0.103
2014-02-01,0.102
2014-03-01,0.1
2014-04-01,0.102
2014-05-01,0.102
2014-06-01,0.1
2014-07-01,0.102
2014-08-01,0.102
2014-09-01,0.101
2014-10-01,0.099
2014-11-01,0.1
2014-12-01,0.099
2015-01-01,0.101
2015-02-01,0.102
2015-03-01,0.101
2015-04-01,0.102
2015-05-01,0.101
2015-06-01,0.1
2015-07-01,0.099
2015-08-01,0.097
2015-09-01,0.096
2015-10-01,0.097
2015-11-01,0.097
2015-12-01,0.099
2016-01-01,0.109
2016-02-01,0.111
2016-03-01,0.109
2016-04-01,0.114
2016-05-01,0.116
2016-06-01,0.115
2016-07-01,0.12
2016-08-01,0.117
2016-09-01,0.117
2016-10-01,0.123
2016-11-01,0.126
2016-12-01,0.129
2017-01-01,0.139
2017-02-01,0.143
2017-03-01,0.149
2017-04-01,0.171
2017-05-01,0.176
2017-06-01,0.18
2017-07-01,0.209
2017-08-01,0.217
2017-09-01,0.223
2017-10-01,0.234
2017-11-01,0.236
2017-12-01,0.249
2018-01-01,0.263
2018-02-01,0.277
2018-03-01,0.299
2018-04-01,0.315
2018-05-01,0.331
2018-06-01,0.358
2018-07-01,0.386
2018-08-01,0.399
2018-09-01,0.411
2018-10-01,0.432
2018-11-01,0.452
2018-12-01,0.481
2019-01-01,0.651
2019-02-01,0.512
2019-03-01,0.533
2019-04-01,0.537
2019-05-01,0.536
2019-06-01,0.535
