"Date","M14164USM144SNBR"
1935-04-01,NA
1935-05-01,NA
1935-06-01,NA
1935-07-01,8265
1935-08-01,NA
1935-09-01,NA
1935-10-01,NA
1935-11-01,8391
1935-12-01,NA
1936-01-01,8546
1936-02-01,NA
1936-03-01,8636
1936-04-01,NA
1936-05-01,NA
1936-06-01,NA
1936-07-01,8968
1936-08-01,NA
1936-09-01,NA
1936-10-01,NA
1936-11-01,NA
1936-12-01,NA
1937-01-01,9113
1937-02-01,NA
1937-03-01,NA
1937-04-01,9214
1937-05-01,NA
1937-06-01,NA
1937-07-01,9390
1937-08-01,NA
1937-09-01,NA
1937-10-01,NA
1937-11-01,NA
1937-12-01,NA
1938-01-01,9580
1938-02-01,NA
1938-03-01,9629
1938-04-01,NA
1938-05-01,NA
1938-06-01,NA
1938-07-01,9667
1938-08-01,NA
1938-09-01,NA
1938-10-01,9601
1938-11-01,NA
1938-12-01,NA
1939-01-01,9688
1939-02-01,NA
1939-03-01,NA
1939-04-01,9760
1939-05-01,NA
1939-06-01,NA
1939-07-01,9880
1939-08-01,NA
1939-09-01,NA
1939-10-01,9855
1939-11-01,NA
1939-12-01,NA
1940-01-01,9979
1940-02-01,NA
1940-03-01,NA
1940-04-01,10063
1940-05-01,NA
1940-06-01,NA
1940-07-01,10167
1940-08-01,NA
1940-09-01,NA
1940-10-01,NA
1940-11-01,NA
1940-12-01,NA
1941-01-01,10361
1941-02-01,NA
1941-03-01,NA
1941-04-01,10438
1941-05-01,NA
1941-06-01,NA
1941-07-01,10532
1941-08-01,NA
1941-09-01,NA
1941-10-01,10546
1941-11-01,NA
1941-12-01,NA
1942-01-01,10508
1942-02-01,NA
1942-03-01,NA
1942-04-01,10184
1942-05-01,NA
1942-06-01,NA
1942-07-01,10366
1942-08-01,NA
1942-09-01,NA
1942-10-01,NA
1942-11-01,NA
1942-12-01,NA
1943-01-01,10941
1943-02-01,NA
1943-03-01,NA
1943-04-01,NA
1943-05-01,NA
1943-06-01,NA
1943-07-01,11863
1943-08-01,NA
1943-09-01,NA
1943-10-01,NA
1943-11-01,12550
1943-12-01,NA
1944-01-01,13110
1944-02-01,NA
1944-03-01,NA
1944-04-01,13871
1944-05-01,NA
1944-06-01,NA
1944-07-01,14592
1944-08-01,NA
1944-09-01,NA
1944-10-01,NA
1944-11-01,NA
1944-12-01,NA
1945-01-01,16693
1945-02-01,NA
1945-03-01,NA
1945-04-01,17752
1945-05-01,NA
1945-06-01,NA
1945-07-01,18907
1945-08-01,NA
1945-09-01,NA
1945-10-01,NA
1945-11-01,NA
1945-12-01,NA
1946-01-01,21056
1946-02-01,NA
1946-03-01,NA
1946-04-01,NA
1946-05-01,NA
1946-06-01,NA
1946-07-01,22668
