"Date","SVGCBNS"
1966-12-01,89.7
1967-01-01,89.4
1967-02-01,89.1
1967-03-01,89.8
1967-04-01,90.2
1967-05-01,90.8
1967-06-01,91.6
1967-07-01,92.2
1967-08-01,92.6
1967-09-01,93
1967-10-01,93.9
1967-11-01,93.8
1967-12-01,93.9
1968-01-01,94
1968-02-01,94
1968-03-01,94.9
1968-04-01,94.9
1968-05-01,94.8
1968-06-01,95.1
1968-07-01,95
1968-08-01,95
1968-09-01,95.2
1968-10-01,95.7
1968-11-01,95.6
1968-12-01,95.8
1969-01-01,95.7
1969-02-01,95.3
1969-03-01,96
1969-04-01,95.6
1969-05-01,95.2
1969-06-01,95.3
1969-07-01,94.5
1969-08-01,94
1969-09-01,93.8
1969-10-01,93.9
1969-11-01,93.4
1969-12-01,93.3
1970-01-01,92.8
1970-02-01,92.3
1970-03-01,92.9
1970-04-01,93.4
1970-05-01,93.6
1970-06-01,94.2
1970-07-01,94.8
1970-08-01,95
1970-09-01,95.4
1970-10-01,96.4
1970-11-01,96.5
1970-12-01,97.3
1971-01-01,98.9
1971-02-01,100.8
1971-03-01,104.1
1971-04-01,106.4
1971-05-01,107.3
1971-06-01,108.2
1971-07-01,108.5
1971-08-01,108.6
1971-09-01,109
1971-10-01,110.2
1971-11-01,110.3
1971-12-01,111.3
1972-01-01,113.1
1972-02-01,114.7
1972-03-01,117.1
1972-04-01,118.3
1972-05-01,118.7
1972-06-01,119.9
1972-07-01,120.5
1972-08-01,121
1972-09-01,121.5
1972-10-01,122.5
1972-11-01,122.4
1972-12-01,123
1973-01-01,123.8
1973-02-01,124.1
1973-03-01,125.3
1973-04-01,126.1
1973-05-01,126.7
1973-06-01,127.7
1973-07-01,127.7
1973-08-01,126.2
1973-09-01,125.5
1973-10-01,126.2
1973-11-01,125.8
1973-12-01,126.1
1974-01-01,127.4
1974-02-01,128.1
1974-03-01,130.1
1974-04-01,131.6
1974-05-01,131.9
1974-06-01,133
1974-07-01,134
1974-08-01,133.3
1974-09-01,132.8
1974-10-01,133.8
1974-11-01,133.8
1974-12-01,134.7
1975-01-01,136.5
1975-02-01,138.2
1975-03-01,141.9
1975-04-01,145.4
1975-05-01,147.6
1975-06-01,151.5
1975-07-01,153.6
1975-08-01,153.8
1975-09-01,154.2
1975-10-01,155.7
1975-11-01,156.5
1975-12-01,158.9
1976-01-01,163.4
1976-02-01,169.9
1976-03-01,175.4
1976-04-01,180
1976-05-01,182.4
1976-06-01,183
1976-07-01,184.5
1976-08-01,186.1
1976-09-01,188.1
1976-10-01,192.2
1976-11-01,195
1976-12-01,199
1977-01-01,203.7
1977-02-01,206.5
1977-03-01,210.3
1977-04-01,213.4
1977-05-01,214.2
1977-06-01,214.6
1977-07-01,215.9
1977-08-01,216.5
1977-09-01,216.5
1977-10-01,217.4
1977-11-01,216.2
1977-12-01,216
1978-01-01,218
1978-02-01,218.7
1978-03-01,220.9
1978-04-01,222.7
1978-05-01,223
1978-06-01,223.2
1978-07-01,222.8
1978-08-01,222.1
1978-09-01,222.1
1978-10-01,222.1
1978-11-01,217.5
1978-12-01,214
1979-01-01,211.5
1979-02-01,208.9
1979-03-01,208.9
1979-04-01,209
1979-05-01,207.4
1979-06-01,207.8
1979-07-01,208.9
1979-08-01,208.1
1979-09-01,206
1979-10-01,202.9
1979-11-01,195.5
1979-12-01,192.9
1980-01-01,191.5
1980-02-01,187.8
1980-03-01,184.1
1980-04-01,178.8
1980-05-01,177.6
1980-06-01,182.2
1980-07-01,188.5
1980-08-01,191.7
1980-09-01,192.6
1980-10-01,193.8
1980-11-01,190.9
1980-12-01,183.8
1981-01-01,176.5
1981-02-01,172.2
1981-03-01,171.7
1981-04-01,172.8
1981-05-01,170.3
1981-06-01,168
1981-07-01,167.8
1981-08-01,163.8
1981-09-01,160.5
1981-10-01,158.8
1981-11-01,157.4
1981-12-01,157.4
1982-01-01,159
1982-02-01,158
1982-03-01,159.2
1982-04-01,160.5
1982-05-01,160.1
1982-06-01,160.1
1982-07-01,159.9
1982-08-01,159.4
1982-09-01,159.8
1982-10-01,162.9
1982-11-01,165.1
1982-12-01,188.5
1983-01-01,265
1983-02-01,307.4
1983-03-01,328.6
1983-04-01,340.9
1983-05-01,350.7
1983-06-01,357.8
1983-07-01,359.4
1983-08-01,358
1983-09-01,358.2
1983-10-01,359.9
1983-11-01,361.3
1983-12-01,362.7
1984-01-01,366.3
1984-02-01,369.3
1984-03-01,374
1984-04-01,377.1
1984-05-01,375.6
1984-06-01,376.1
1984-07-01,374.3
1984-08-01,370.6
1984-09-01,370.2
1984-10-01,372.7
1984-11-01,380.1
1984-12-01,389
1985-01-01,402
1985-02-01,410.4
1985-03-01,415.4
1985-04-01,417.7
1985-05-01,421
1985-06-01,431.5
1985-07-01,438.3
1985-08-01,442.5
1985-09-01,445.7
1985-10-01,449.7
1985-11-01,454.4
1985-12-01,456.8
1986-01-01,461.8
1986-02-01,461.7
1986-03-01,466.4
1986-04-01,473
1986-05-01,479.5
1986-06-01,488.8
1986-07-01,495.6
1986-08-01,502.6
1986-09-01,510.6
1986-10-01,519.9
1986-11-01,527.4
1986-12-01,534.1
1987-01-01,542.2
1987-02-01,542.6
1987-03-01,546.6
1987-04-01,548.8
1987-05-01,545
1987-06-01,545.6
1987-07-01,545.4
1987-08-01,544
1987-09-01,542.2
1987-10-01,539.4
1987-11-01,536.4
1987-12-01,535.8
1988-01-01,538.3
1988-02-01,539.8
1988-03-01,544.7
1988-04-01,546.7
1988-05-01,545.6
1988-06-01,551.1
1988-07-01,552.7
1988-08-01,549.6
1988-09-01,545.3
1988-10-01,544.3
1988-11-01,547.5
1988-12-01,543.8
1989-01-01,538.4
1989-02-01,531.7
1989-03-01,528.9
1989-04-01,523.6
1989-05-01,511.8
1989-06-01,512.5
1989-07-01,516.3
1989-08-01,521.1
1989-09-01,524.3
1989-10-01,529.2
1989-11-01,538.2
1989-12-01,543
1990-01-01,546
1990-02-01,549
1990-03-01,554.8
1990-04-01,557.6
1990-05-01,556.2
1990-06-01,563.2
1990-07-01,566.8
1990-08-01,570.6
1990-09-01,572.1
1990-10-01,575.1
1990-11-01,578.9
1990-12-01,580.8
1991-01-01,582.4
1991-02-01,588.2
1991-03-01,599
1991-04-01,605.6
1991-05-01,610.1
1991-06-01,620.8
1991-07-01,627.1
1991-08-01,633
1991-09-01,637.2
1991-10-01,646.1
1991-11-01,656.9
1991-12-01,664
1992-01-01,674.1
1992-02-01,687.3
1992-03-01,699.4
1992-04-01,708.5
1992-05-01,710.4
1992-06-01,716.6
1992-07-01,722.4
1992-08-01,728.7
1992-09-01,735.9
1992-10-01,745
1992-11-01,752.5
1992-12-01,752.9
1993-01-01,750.2
1993-02-01,754
1993-03-01,758.5
1993-04-01,762
1993-05-01,767.2
1993-06-01,773.7
1993-07-01,773.7
1993-08-01,776.2
1993-09-01,776.9
1993-10-01,778.1
1993-11-01,784.4
1993-12-01,784.3
1994-01-01,786.3
1994-02-01,788.2
1994-03-01,791.9
1994-04-01,791
1994-05-01,785.3
1994-06-01,782.4
1994-07-01,780.2
1994-08-01,777.3
1994-09-01,773.4
1994-10-01,766.1
1994-11-01,762.1
1994-12-01,751.8
1995-01-01,740.4
1995-02-01,730.5
1995-03-01,724.2
1995-04-01,718.8
1995-05-01,718.8
1995-06-01,731.3
1995-07-01,733.8
1995-08-01,742.2
1995-09-01,748.3
1995-10-01,755.3
1995-11-01,763.1
1995-12-01,774.1
1996-01-01,789
1996-02-01,798.5
1996-03-01,818.7
1996-04-01,825.6
1996-05-01,827.4
1996-06-01,839.7
1996-07-01,847.1
1996-08-01,860.3
1996-09-01,867.1
1996-10-01,879.6
1996-11-01,895.4
1996-12-01,903.9
1997-01-01,910.6
1997-02-01,916.7
1997-03-01,936.6
1997-04-01,950.8
1997-05-01,945
1997-06-01,954.3
1997-07-01,960
1997-08-01,971.6
1997-09-01,985
1997-10-01,997.5
1997-11-01,1010.3
1997-12-01,1020.4
1998-01-01,1030.5
1998-02-01,1041.8
1998-03-01,1061.6
1998-04-01,1084.7
1998-05-01,1078.5
1998-06-01,1092.9
1998-07-01,1107.9
1998-08-01,1122
1998-09-01,1135.5
1998-10-01,1148.3
1998-11-01,1167.8
1998-12-01,1186.1
1999-01-01,1196.9
1999-02-01,1206
1999-03-01,1220.5
1999-04-01,1244.9
1999-05-01,1238.8
1999-06-01,1253.4
1999-07-01,1265.7
1999-08-01,1272.5
1999-09-01,1282
1999-10-01,1285.3
1999-11-01,1288.9
1999-12-01,1288.8
2000-01-01,1286.7
2000-02-01,1294.9
2000-03-01,1312.3
2000-04-01,1342.3
2000-05-01,1318.8
2000-06-01,1332.8
2000-07-01,1345.4
2000-08-01,1357.5
2000-09-01,1381.9
2000-10-01,1380.6
2000-11-01,1399.3
2000-12-01,1427.5
2001-01-01,1436.7
2001-02-01,1460.1
2001-03-01,1499.1
2001-04-01,1542.6
2001-05-01,1535.7
2001-06-01,1567.3
2001-07-01,1579.6
2001-08-01,1607.4
2001-09-01,1655.6
2001-10-01,1661.9
2001-11-01,1710.8
2001-12-01,1742.7
2002-01-01,1757.9
2002-02-01,1787.2
2002-03-01,1815.7
2002-04-01,1842.1
2002-05-01,1852.6
2002-06-01,1880.4
2002-07-01,1898.9
2002-08-01,1948.3
2002-09-01,1979.6
2002-10-01,2001.6
2002-11-01,2055.1
2002-12-01,2060.8
2003-01-01,2075.7
2003-02-01,2097.4
2003-03-01,2127.3
2003-04-01,2171.1
2003-05-01,2177.5
2003-06-01,2217.6
2003-07-01,2264.3
2003-08-01,2308.1
2003-09-01,2298.6
2003-10-01,2303.1
2003-11-01,2338.4
2003-12-01,2337
2004-01-01,2352
2004-02-01,2379.8
2004-03-01,2418.2
2004-04-01,2483.9
2004-05-01,2513.1
2004-06-01,2521.5
2004-07-01,2540.6
2004-08-01,2543.6
2004-09-01,2573
2004-10-01,2600.1
2004-11-01,2628.1
2004-12-01,2634.9
2005-01-01,2626.5
2005-02-01,2633.1
2005-03-01,2658.1
2005-04-01,2700.6
2005-05-01,2653
2005-06-01,2675.5
2005-07-01,2703.2
2005-08-01,2698.8
2005-09-01,2730.3
2005-10-01,2742.7
2005-11-01,2758.5
2005-12-01,2778.3
2006-01-01,2769.6
2006-02-01,2770.3
2006-03-01,2782
2006-04-01,2830.6
2006-05-01,2764.6
2006-06-01,2791.6
2006-07-01,2794
2006-08-01,2772.4
2006-09-01,2794.7
2006-10-01,2841.5
2006-11-01,2874.3
2006-12-01,2915.6
2007-01-01,2905.4
2007-02-01,2917.5
2007-03-01,2931.1
2007-04-01,2970.6
2007-05-01,2926.8
2007-06-01,2960.5
2007-07-01,2965.9
2007-08-01,2992.7
2007-09-01,3013.7
2007-10-01,3000.4
2007-11-01,3032.7
2007-12-01,3046.6
2008-01-01,3025.4
2008-02-01,3069.6
2008-03-01,3136
2008-04-01,3161.7
2008-05-01,3131
2008-06-01,3138.2
2008-07-01,3128
2008-08-01,3124.4
2008-09-01,3166.8
2008-10-01,3241.4
2008-11-01,3258.9
2008-12-01,3323.8
2009-01-01,3416.5
2009-02-01,3490.5
2009-03-01,3575
2009-04-01,3585.1
2009-05-01,3638.4
2009-06-01,3651.6
2009-07-01,3668.2
2009-08-01,3710.2
2009-09-01,3770.3
2009-10-01,3833.5
2009-11-01,3946.3
2009-12-01,3985.7
2010-01-01,3989.1
2010-02-01,4037.2
2010-03-01,4083.2
2010-04-01,4163.1
2010-05-01,4183.4
2010-06-01,4192.1
2010-07-01,4193.9
2010-08-01,4224.9
2010-09-01,4285.4
2010-10-01,4346.2
2010-11-01,4372.2
2010-12-01,4425.6
2011-01-01,4441.6
2011-02-01,4481.6
2011-03-01,4540.3
2011-04-01,4609.2
2011-05-01,4585.1
2011-06-01,4664.1
2011-07-01,4786.8
2011-08-01,4870.8
2011-09-01,4924.4
2011-10-01,4951.2
2011-11-01,5003.8
2011-12-01,5053.1
2012-01-01,5093.7
2012-02-01,5172.4
2012-03-01,5239.8
2012-04-01,5277.2
2012-05-01,5254.9
2012-06-01,5315.8
2012-07-01,5327.1
2012-08-01,5375.1
2012-09-01,5451.7
2012-10-01,5484.7
2012-11-01,5669.1
2012-12-01,5746.5
2013-01-01,5724.4
2013-02-01,5736.9
2013-03-01,5828.6
2013-04-01,5826.2
2013-05-01,5795.8
2013-06-01,5850.7
2013-07-01,5872.6
2013-08-01,5936.1
2013-09-01,5984
2013-10-01,6048.9
2013-11-01,6115.2
2013-12-01,6127.7
2014-01-01,6137.1
2014-02-01,6181.3
2014-03-01,6234.1
2014-04-01,6257
2014-05-01,6233.5
2014-06-01,6257.5
2014-07-01,6304.5
2014-08-01,6376
2014-09-01,6385.2
2014-10-01,6418.8
2014-11-01,6505
2014-12-01,6518.2
2015-01-01,6558.3
2015-02-01,6611.3
2015-03-01,6682.9
2015-04-01,6728.9
2015-05-01,6710.6
2015-06-01,6724.2
2015-07-01,6766.5
2015-08-01,6840.9
2015-09-01,6910.7
2015-10-01,6946.9
2015-11-01,7029.2
2015-12-01,7045
2016-01-01,7046.2
2016-02-01,7066.5
2016-03-01,7153.7
2016-04-01,7202.9
2016-05-01,7145.5
2016-06-01,7224
2016-07-01,7291
2016-08-01,7329
2016-09-01,7435.2
2016-10-01,7457.2
2016-11-01,7542.1
2016-12-01,7582.7
2017-01-01,7556.3
2017-02-01,7600.7
2017-03-01,7637.8
2017-04-01,7690.6
2017-05-01,7577
2017-06-01,7605.8
2017-07-01,7638.8
2017-08-01,7651.2
2017-09-01,7732
2017-10-01,7726.2
2017-11-01,7787.2
2017-12-01,7841.1
2018-01-01,7745
2018-02-01,7790.3
2018-03-01,7810.5
2018-04-01,7860.6
2018-05-01,7797.2
2018-06-01,7867.3
2018-07-01,7859.2
2018-08-01,7885.7
2018-09-01,7908.8
2018-10-01,7851.2
2018-11-01,7921.5
2018-12-01,7950.6
2019-01-01,7922.9
2019-02-01,7917.9
2019-03-01,7985
2019-04-01,7962.9
2019-05-01,7951.7
2019-06-01,8051
2019-07-01,8082.9
2019-08-01,8163.6
2019-09-01,8208.8
2019-10-01,8266.5
2019-11-01,8400.5
2019-12-01,8449.2
2020-01-01,8495.4
2020-02-01,8550.2
2020-03-01,8819.2
2020-04-01,9464.4
