"Date","BOGMBBM"
2007-09-01,15400
2007-10-01,15100
2007-11-01,15200
2007-12-01,14900
2008-01-01,15400
2008-02-01,14900
2008-03-01,16500
2008-04-01,16300
2008-05-01,16600
2008-06-01,16700
2008-07-01,16600
2008-08-01,16600
2008-09-01,74600
2008-10-01,284600
2008-11-01,576800
2008-12-01,788000
2009-01-01,825400
2009-02-01,666600
2009-03-01,745900
2009-04-01,849600
2009-05-01,869300
2009-06-01,776200
2009-07-01,763600
2009-08-01,799600
2009-09-01,888000
2009-10-01,1021200
2009-11-01,1105300
2009-12-01,1101800
2010-01-01,1073600
2010-02-01,1186600
2010-03-01,1146700
2010-04-01,1079500
2010-05-01,1073800
2010-06-01,1061600
2010-07-01,1049500
2010-08-01,1046600
2010-09-01,1009200
2010-10-01,1000900
2010-11-01,1000100
2010-12-01,1037300
2011-01-01,1068600
2011-02-01,1221600
2011-03-01,1393800
2011-04-01,1486700
2011-05-01,1549000
2011-06-01,1625000
2011-07-01,1654900
2011-08-01,1623700
2011-09-01,1599600
2011-10-01,1595100
2011-11-01,1548700
2011-12-01,1552600
2012-01-01,1571200
2012-02-01,1611800
2012-03-01,1559800
2012-04-01,1539900
2012-05-01,1512200
2012-06-01,1509500
2012-07-01,1534200
2012-08-01,1533000
2012-09-01,1468700
2012-10-01,1476700
2012-11-01,1497500
2012-12-01,1517400
2013-01-01,1582500
2013-02-01,1680100
2013-03-01,1760400
2013-04-01,1833000
2013-05-01,1930700
2013-06-01,2010600
2013-07-01,2094200
2013-08-01,2199100
2013-09-01,2281100
2013-10-01,2375000
2013-11-01,2463000
2013-12-01,2485200
2014-01-01,2498200
2014-02-01,2593900
2014-03-01,2623000
2014-04-01,2660400
2014-05-01,2635200
2014-06-01,2668400
2014-07-01,2704000
2014-08-01,2786900
2014-09-01,2759300
2014-10-01,2705700
2014-11-01,2519600
2014-12-01,2606700
2015-01-01,2683700
2015-02-01,2496900
2015-03-01,2675200
2015-04-01,2699000
2015-05-01,2584400
2015-06-01,2553100
2015-07-01,2590800
2015-08-01,2608300
2015-09-01,2644000
2015-10-01,2668200
2015-11-01,2602100
2015-12-01,2419800
2016-01-01,2376100
2016-02-01,2448800
2016-03-01,2460400
2016-04-01,2427700
2016-05-01,2384100
2016-06-01,2367000
2016-07-01,2309700
2016-08-01,2352300
2016-09-01,2265300
2016-10-01,2095100
2016-11-01,2140300
2016-12-01,2031000
2017-01-01,2092800
2017-02-01,2238000
2017-03-01,2326300
2017-04-01,2281400
2017-05-01,2225800
2017-06-01,2206500
2017-07-01,2233300
2017-08-01,2344000
2017-09-01,2295700
2017-10-01,2245700
2017-11-01,2314500
2017-12-01,2244300
2018-01-01,2214600
2018-02-01,2238800
2018-03-01,2167000
2018-04-01,2086200
2018-05-01,2022500
2018-06-01,1988200
2018-07-01,1949800
2018-08-01,1911200
2018-09-01,1873900
2018-10-01,1830000
2018-11-01,1775300
2018-12-01,1691400
2019-01-01,1639000
2019-02-01,1645200
2019-03-01,1661300
2019-04-01,1559400
2019-05-01,1511300
2019-06-01,1535900
2019-07-01,1513600
2019-08-01,1520900
2019-09-01,1439800
2019-10-01,1481500
2019-11-01,1529300
2019-12-01,1630100
2020-01-01,1645400
2020-02-01,1657000
2020-03-01,2045100
2020-04-01,2953600
2020-05-01,3217600
2020-06-01,3043600
2020-07-01,2718500
2020-08-01,2799700
2020-09-01,2852800
2020-10-01,2876600
2020-11-01,3034700
2020-12-01,3135000
2021-01-01,3153800
2021-02-01,3345900
2021-03-01,3721300
2021-04-01,3887300
2021-05-01,3872400
2021-06-01,3848100
2021-07-01,3943900
2021-08-01,4140100
2021-09-01,4193200
2021-10-01,4128100
2021-11-01,4180600
2021-12-01,4187900
2022-01-01,3871100
2022-02-01,3804500
2022-03-01,3874700
2022-04-01,3615400
2022-05-01,3317900
2022-06-01,3228400
2022-07-01,3258700
2022-08-01,3305900
2022-09-01,3131400
2022-10-01,3055700
2022-11-01,3126200
2022-12-01,3107300
2023-01-01,3029900
2023-02-01,3021800
2023-03-01,3258400
2023-04-01,3269500
2023-05-01,3235600
2023-06-01,3265600
2023-07-01,3178700
2023-08-01,3228000
2023-09-01,3239600
2023-10-01,3276500
