"Date","RPNS"
1994-12-01,192.1
1995-01-01,199
1995-02-01,202.3
1995-03-01,203.4
1995-04-01,204.9
1995-05-01,210.7
1995-06-01,209.2
1995-07-01,202.3
1995-08-01,207.7
1995-09-01,207.4
1995-10-01,206.4
1995-11-01,201.6
1995-12-01,193.8
1996-01-01,199.3
1996-02-01,200.1
1996-03-01,200
1996-04-01,202.5
1996-05-01,219.5
1996-06-01,216.2
1996-07-01,211.7
1996-08-01,210.4
1996-09-01,213.2
1996-10-01,216.2
1996-11-01,212.3
1996-12-01,205.7
1997-01-01,212.6
1997-02-01,216.2
1997-03-01,215.7
1997-04-01,220.3
1997-05-01,223.9
1997-06-01,221.5
1997-07-01,228
1997-08-01,231.3
1997-09-01,229.3
1997-10-01,242.1
1997-11-01,253.1
1997-12-01,249.5
1998-01-01,264.1
1998-02-01,258.1
1998-03-01,274
1998-04-01,274.5
1998-05-01,279.1
1998-06-01,272.2
1998-07-01,271.2
1998-08-01,278.5
1998-09-01,283.1
1998-10-01,282.7
1998-11-01,290.2
1998-12-01,290.4
1999-01-01,295.8
1999-02-01,311.5
1999-03-01,302.3
1999-04-01,294.8
1999-05-01,303.7
1999-06-01,308.7
1999-07-01,306.1
1999-08-01,309.4
1999-09-01,310.2
1999-10-01,310
1999-11-01,325.9
1999-12-01,334.7
2000-01-01,335.4
2000-02-01,352.4
2000-03-01,349.2
2000-04-01,341.9
2000-05-01,357.3
2000-06-01,362.8
2000-07-01,361.9
2000-08-01,360.6
2000-09-01,360.3
2000-10-01,359.2
2000-11-01,360.5
2000-12-01,364.2
2001-01-01,364.4
2001-02-01,361.4
2001-03-01,354.5
2001-04-01,370.9
2001-05-01,382.9
2001-06-01,382.9
2001-07-01,374.3
2001-08-01,369.6
2001-09-01,354.8
2001-10-01,350.4
2001-11-01,373.4
2001-12-01,376.5
2002-01-01,375.6
2002-02-01,381.5
2002-03-01,378.8
2002-04-01,371.6
2002-05-01,376.5
2002-06-01,378.3
2002-07-01,374.3
2002-08-01,398.4
2002-09-01,412.9
2002-10-01,411.2
2002-11-01,438.7
2002-12-01,476.4
2003-01-01,469.9
2003-02-01,491.9
2003-03-01,504.9
2003-04-01,504.9
2003-05-01,524.5
2003-06-01,528.3
2003-07-01,496.6
2003-08-01,490.4
2003-09-01,484.1
2003-10-01,492.5
2003-11-01,498.1
2003-12-01,497.6
2004-01-01,500.3
2004-02-01,530.2
2004-03-01,534.7
2004-04-01,513.8
2004-05-01,533.6
2004-06-01,550.8
2004-07-01,519.3
2004-08-01,521.1
2004-09-01,520.5
2004-10-01,498.4
2004-11-01,498.6
2004-12-01,494.6
2005-01-01,467.5
2005-02-01,498
2005-03-01,494.8
2005-04-01,476.3
2005-05-01,514.7
2005-06-01,517
2005-07-01,511.3
2005-08-01,521.9
2005-09-01,530.2
2005-10-01,535.3
2005-11-01,553.1
2005-12-01,566.1
2006-01-01,541.1
2006-02-01,574.3
2006-03-01,571.6
