"Date","MANMNM01USM657S"
1974-08-01,0.297066468622355
1974-09-01,0.333209922251013
1974-10-01,0.479704797047975
1974-11-01,0.514138817480717
1974-12-01,0.182681768359521
1975-01-01,-0.109409190372007
1975-02-01,0.401606425702828
1975-03-01,0.509090909090907
1975-04-01,-0.0723589001447225
1975-05-01,1.08616944243302
1975-06-01,1.1461318051576
1975-07-01,0.46033994334278
1975-08-01,0.140994007754662
1975-09-01,0.563181978176701
1975-10-01,-0.105005250262511
1975-11-01,0.490539593552906
1975-12-01,0.104602510460266
1976-01-01,0.45280390107975
1976-02-01,0.832177531206661
1976-03-01,0.653370013755159
1976-04-01,0.683293474547312
1976-05-01,0.407193756362379
1976-06-01,0.101385603244354
1976-07-01,0.337609723160049
1976-08-01,0.605652759084781
1976-09-01,0.200668896321067
1976-10-01,0.80106809078772
