"Date","M2MOWN"
1993-04-01,1.925
1993-05-01,1.898
1993-06-01,1.874
1993-07-01,1.859
1993-08-01,1.828
1993-09-01,1.798
1993-10-01,1.78
1993-11-01,1.765
1993-12-01,1.756
1994-01-01,1.751
1994-02-01,1.736
1994-03-01,1.752
1994-04-01,1.785
1994-05-01,1.844
1994-06-01,1.897
1994-07-01,1.927
1994-08-01,1.978
1994-09-01,2.021
1994-10-01,2.06
1994-11-01,2.145
1994-12-01,2.249
1995-01-01,2.285
1995-02-01,2.336
1995-03-01,2.374
1995-04-01,2.401
1995-05-01,2.4
1995-06-01,2.4
1995-07-01,2.416
1995-08-01,2.399
1995-09-01,2.395
1995-10-01,2.411
1995-11-01,2.419
1995-12-01,2.408
1996-01-01,2.379
1996-02-01,2.322
1996-03-01,2.298
1996-04-01,2.298
1996-05-01,2.276
1996-06-01,2.276
1996-07-01,2.325
1996-08-01,2.319
1996-09-01,2.318
1996-10-01,2.345
1996-11-01,2.348
1996-12-01,2.346
1997-01-01,2.326
1997-02-01,2.324
1997-03-01,2.339
1997-04-01,2.367
1997-05-01,2.393
1997-06-01,2.405
1997-07-01,2.446
1997-08-01,2.454
1997-09-01,2.481
1997-10-01,2.532
1997-11-01,2.518
1997-12-01,2.541
1998-01-01,2.494
1998-02-01,2.499
1998-03-01,2.506
1998-04-01,2.527
1998-05-01,2.524
1998-06-01,2.541
1998-07-01,2.538
1998-08-01,2.545
1998-09-01,2.535
1998-10-01,2.532
1998-11-01,2.461
1998-12-01,2.382
1999-01-01,2.362
1999-02-01,2.341
1999-03-01,2.3
1999-04-01,2.302
1999-05-01,2.284
1999-06-01,2.305
1999-07-01,2.348
1999-08-01,2.402
1999-09-01,2.433
1999-10-01,2.508
1999-11-01,2.56
1999-12-01,2.584
2000-01-01,2.615
2000-02-01,2.684
2000-03-01,2.707
2000-04-01,2.718
2000-05-01,2.827
2000-06-01,2.904
2000-07-01,2.988
2000-08-01,3.005
2000-09-01,3.009
2000-10-01,3.034
2000-11-01,3.065
2000-12-01,3.064
2001-01-01,2.962
2001-02-01,2.808
2001-03-01,2.696
2001-04-01,2.523
2001-05-01,2.29
2001-06-01,2.195
2001-07-01,2.055
2001-08-01,1.982
2001-09-01,1.778
2001-10-01,1.575
2001-11-01,1.377
2001-12-01,1.251
2002-01-01,1.117
2002-02-01,1.076
2002-03-01,1.054
2002-04-01,1.044
2002-05-01,1.035
2002-06-01,1.035
2002-07-01,1.046
2002-08-01,1.024
2002-09-01,1.007
2002-10-01,1.058
2002-11-01,0.941
2002-12-01,0.849
2003-01-01,0.732
2003-02-01,0.712
2003-03-01,0.727
2003-04-01,0.673
2003-05-01,0.687
2003-06-01,0.668
2003-07-01,0.608
2003-08-01,0.573
2003-09-01,0.578
2003-10-01,0.595
2003-11-01,0.593
2003-12-01,0.589
2004-01-01,0.615
2004-02-01,0.608
2004-03-01,0.573
2004-04-01,0.524
2004-05-01,0.531
2004-06-01,0.595
2004-07-01,0.621
2004-08-01,0.659
2004-09-01,0.705
2004-10-01,0.74
2004-11-01,0.793
2004-12-01,0.853
2005-01-01,0.869
2005-02-01,0.931
2005-03-01,0.996
2005-04-01,1.063
2005-05-01,1.114
2005-06-01,1.149
2005-07-01,1.219
2005-08-01,1.281
2005-09-01,1.331
2005-10-01,1.417
2005-11-01,1.483
2005-12-01,1.509
2006-01-01,1.66
2006-02-01,1.721
2006-03-01,1.723
2006-04-01,1.84
2006-05-01,1.892
2006-06-01,1.938
2006-07-01,2.06
2006-08-01,2.105
2006-09-01,2.116
2006-10-01,2.219
2006-11-01,2.192
2006-12-01,2.21
2007-01-01,2.132
2007-02-01,2.14
2007-03-01,2.24
2007-04-01,2.292
2007-05-01,2.282
2007-06-01,2.287
2007-07-01,2.345
2007-08-01,2.315
2007-09-01,2.327
2007-10-01,2.296
2007-11-01,2.216
2007-12-01,2.156
2008-01-01,1.994
2008-02-01,1.673
2008-03-01,1.511
2008-04-01,1.318
2008-05-01,1.197
2008-06-01,1.175
2008-07-01,1.072
2008-08-01,1.07
2008-09-01,1.097
2008-10-01,1.211
2008-11-01,1.016
2008-12-01,0.824
2009-01-01,0.548
2009-02-01,0.496
2009-03-01,0.47
2009-04-01,0.46
2009-05-01,0.43
2009-06-01,0.402
2009-07-01,0.403
2009-08-01,0.388
2009-09-01,0.38
2009-10-01,0.425
2009-11-01,0.402
2009-12-01,0.362
2010-01-01,0.334
2010-02-01,0.33
2010-03-01,0.322
2010-04-01,0.321
2010-05-01,0.312
2010-06-01,0.306
2010-07-01,0.323
2010-08-01,0.304
2010-09-01,0.291
2010-10-01,0.29
2010-11-01,0.279
2010-12-01,0.272
2011-01-01,0.272
2011-02-01,0.26
2011-03-01,0.25
2011-04-01,0.246
2011-05-01,0.241
2011-06-01,0.234
2011-07-01,0.242
2011-08-01,0.23
2011-09-01,0.21
2011-10-01,0.215
2011-11-01,0.205
2011-12-01,0.195
2012-01-01,0.163
2012-02-01,0.16
2012-03-01,0.158
2012-04-01,0.156
2012-05-01,0.152
2012-06-01,0.15
2012-07-01,0.139
2012-08-01,0.143
2012-09-01,0.143
2012-10-01,0.138
2012-11-01,0.133
2012-12-01,0.131
2013-01-01,0.135
2013-02-01,0.127
2013-03-01,0.12
2013-04-01,0.124
2013-05-01,0.118
2013-06-01,0.111
2013-07-01,0.111
2013-08-01,0.111
2013-09-01,0.109
2013-10-01,0.104
2013-11-01,0.101
2013-12-01,0.105
2014-01-01,0.102
2014-02-01,0.1
2014-03-01,0.099
2014-04-01,0.101
2014-05-01,0.101
2014-06-01,0.099
2014-07-01,0.1
2014-08-01,0.101
2014-09-01,0.1
2014-10-01,0.103
2014-11-01,0.1
2014-12-01,0.098
2015-01-01,0.105
2015-02-01,0.103
2015-03-01,0.1
2015-04-01,0.103
2015-05-01,0.1
2015-06-01,0.099
2015-07-01,0.098
2015-08-01,0.096
2015-09-01,0.095
2015-10-01,0.096
2015-11-01,0.096
2015-12-01,0.098
2016-01-01,0.107
2016-02-01,0.11
2016-03-01,0.108
2016-04-01,0.113
2016-05-01,0.114
2016-06-01,0.114
2016-07-01,0.121
2016-08-01,0.118
2016-09-01,0.117
2016-10-01,0.124
2016-11-01,0.125
2016-12-01,0.128
2017-01-01,0.135
2017-02-01,0.141
2017-03-01,0.149
2017-04-01,0.168
2017-05-01,0.173
2017-06-01,0.18
2017-07-01,0.21
2017-08-01,0.215
2017-09-01,0.223
2017-10-01,0.231
2017-11-01,0.235
2017-12-01,0.249
2018-01-01,0.264
2018-02-01,0.278
2018-03-01,0.299
2018-04-01,0.318
2018-05-01,0.335
2018-06-01,0.359
2018-07-01,0.39
2018-08-01,0.4
2018-09-01,0.413
2018-10-01,0.432
2018-11-01,0.451
2018-12-01,0.481
2019-01-01,0.657
2019-02-01,0.511
2019-03-01,0.532
2019-04-01,0.532
2019-05-01,0.53
