"Date","STLPPMLOW"
2014-09-01,0.40845128
2014-10-01,0.40823096
2014-11-01,0.56341452
2014-12-01,0.6689483
2015-01-01,0.73712539
2015-02-01,0.5206374
2015-03-01,0.71199602
2015-04-01,0.69124111
2015-05-01,0.68027773
2015-06-01,0.58764254
2015-07-01,0.65787581
2015-08-01,0.72993763
2015-09-01,0.73953951
2015-10-01,0.65102653
2015-11-01,0.65798572
2015-12-01,0.6901952
2016-01-01,0.74695372
2016-02-01,0.68266134
2016-03-01,0.65184047
2016-04-01,0.53146616
2016-05-01,0.35701593
2016-06-01,0.25141286
2016-07-01,0.28609145
2016-08-01,0.40138491
2016-09-01,0.38489174
2016-10-01,0.34360218
2016-11-01,0.20823057
2016-12-01,0.14741938
2017-01-01,0.19958435
2017-02-01,0.15183172
2017-03-01,0.17324232
2017-04-01,0.27567736
2017-05-01,0.27351212
2017-06-01,0.30407762
2017-07-01,0.3056082
2017-08-01,0.38493728
2017-09-01,0.28719823
2017-10-01,0.23257274
2017-11-01,0.30589319
2017-12-01,0.22031949
2018-01-01,0.21952207
2018-02-01,0.11809049
2018-03-01,0.1791503
2018-04-01,0.17807717
2018-05-01,0.14444951
2018-06-01,0.10021894
2018-07-01,0.16778086
2018-08-01,0.22174647
2018-09-01,0.36425593
2018-10-01,0.23997346
2018-11-01,0.18173086
2018-12-01,0.29333981
2019-01-01,0.42662986
2019-02-01,0.50130995
2019-03-01,0.36028071
2019-04-01,0.26069738
2019-05-01,0.14026853
2019-06-01,0.46775201
2019-07-01,0.50450832
2019-08-01,0.50072381
2019-09-01,0.46619507
2019-10-01,0.5650902
2019-11-01,0.42961468
2019-12-01,0.54981499
2020-01-01,0.23497203
2020-02-01,0.11649411
2020-03-01,0.32814019
2020-04-01,0.77998965
2020-05-01,0.13806139
2020-06-01,0.56980403
2020-07-01,0.33769072
2020-08-01,0.18287686
2020-09-01,0.07915565
2020-10-01,0.1251558
2020-11-01,0.28944653
2020-12-01,0.42663478
2021-01-01,0.20754161
2021-02-01,0.13332509
2021-03-01,0.07750435
2021-04-01,0.0143913
2021-05-01,0.01490401
2021-06-01,0.01182457
2021-07-01,0.01712472
2021-08-01,0.02450189
2021-09-01,0.02411559
2021-10-01,0.03590617
2021-11-01,0.01789937
2021-12-01,0.00751699
2022-01-01,0.00859759
2022-02-01,0.01452461
2022-03-01,0.00287126
2022-04-01,0.00206791
2022-05-01,0.00268164
2022-06-01,0.00373973
2022-07-01,0.00505134
2022-08-01,0.00168425
2022-09-01,0.00596139
2022-10-01,0.03232997
2022-11-01,0.04098424
2022-12-01,0.00746907
2023-01-01,0.04226132
2023-02-01,0.02509256
2023-03-01,0.02374223
2023-04-01,0.03153864
2023-05-01,0.03358359
2023-06-01,0.03545495
2023-07-01,0.09482606
2023-08-01,0.00941312
2023-09-01,0.02297201
