"Date","H0M3M2M"
1968-08-01,36.2
1968-09-01,37.1
1968-10-01,38.2
1968-11-01,39.3
1968-12-01,40.3
1969-01-01,38.6
1969-02-01,37.2
1969-03-01,36.4
1969-04-01,35.8
1969-05-01,35.1
1969-06-01,33.7
1969-07-01,30.6
1969-08-01,27.7
1969-09-01,26.5
1969-10-01,25.5
1969-11-01,28.1
1969-12-01,28
1970-01-01,26.5
1970-02-01,27
1970-03-01,28.5
1970-04-01,31.2
1970-05-01,32.8
1970-06-01,31.9
1970-07-01,36.6
1970-08-01,40
1970-09-01,43.2
1970-10-01,45.9
1970-11-01,48.2
1970-12-01,50.6
1971-01-01,52.6
1971-02-01,54.8
1971-03-01,56.6
1971-04-01,55.3
1971-05-01,56.6
1971-06-01,57.2
1971-07-01,58.7
1971-08-01,58.5
1971-09-01,59.3
1971-10-01,61.8
1971-11-01,63.7
1971-12-01,65.7
1972-01-01,66.1
1972-02-01,67.2
1972-03-01,67.1
1972-04-01,69.5
1972-05-01,72.7
1972-06-01,74.9
1972-07-01,76.1
1972-08-01,77.9
1972-09-01,78.1
1972-10-01,78.9
1972-11-01,81.8
1972-12-01,83.7
1973-01-01,86
1973-02-01,92
1973-03-01,99.7
1973-04-01,102.7
1973-05-01,105.5
1973-06-01,107.5
1973-07-01,113.7
1973-08-01,120.2
1973-09-01,126.5
1973-10-01,129.4
1973-11-01,128.5
1973-12-01,129.5
1974-01-01,134.3
1974-02-01,138.2
1974-03-01,140.6
1974-04-01,147.9
1974-05-01,154.6
1974-06-01,159.9
1974-07-01,162.5
1974-08-01,164.5
1974-09-01,164.9
1974-10-01,165.2
1974-11-01,165.1
1974-12-01,167.8
1975-01-01,169.2
1975-02-01,168.6
1975-03-01,165
1975-04-01,160.7
1975-05-01,158
1975-06-01,155.7
1975-07-01,153.6
1975-08-01,152
1975-09-01,154.4
1975-10-01,156
1975-11-01,156.9
1975-12-01,153.9
1976-01-01,155
1976-02-01,153.1
1976-03-01,154.6
1976-04-01,155.9
1976-05-01,155.5
1976-06-01,158.5
1976-07-01,159.6
1976-08-01,160.6
1976-09-01,157.4
1976-10-01,155.8
1976-11-01,156.2
1976-12-01,157.9
1977-01-01,157.3
1977-02-01,158
1977-03-01,159.9
1977-04-01,161
1977-05-01,164.9
1977-06-01,169.8
1977-07-01,173.6
1977-08-01,178.2
1977-09-01,181.8
1977-10-01,187.8
1977-11-01,194.8
1977-12-01,200.1
1978-01-01,206.6
1978-02-01,212.6
1978-03-01,220.8
1978-04-01,228.2
1978-05-01,233.8
1978-06-01,236.9
1978-07-01,242.9
1978-08-01,249.6
1978-09-01,252.1
1978-10-01,258.8
1978-11-01,271.1
1978-12-01,278.6
1979-01-01,285.2
1979-02-01,291.4
1979-03-01,295.4
1979-04-01,298.7
1979-05-01,300.8
1979-06-01,305.1
1979-07-01,308.5
1979-08-01,315
1979-09-01,328.9
1979-10-01,336.3
1979-11-01,333.1
1979-12-01,335
1980-01-01,340.3
1980-02-01,347.2
1980-03-01,350.4
1980-04-01,352
1980-05-01,354.6
1980-06-01,355.2
1980-07-01,357.7
1980-08-01,359.3
1980-09-01,361.2
1980-10-01,368.8
1980-11-01,379.5
1980-12-01,395.7
1981-01-01,413.6
1981-02-01,420.8
1981-03-01,421.5
1981-04-01,427.1
1981-05-01,438.5
1981-06-01,448.1
1981-07-01,456
1981-08-01,462.8
1981-09-01,473.3
1981-10-01,482.9
1981-11-01,490.6
1981-12-01,499.1
1982-01-01,505.4
1982-02-01,509.9
1982-03-01,516.5
1982-04-01,524.5
1982-05-01,527.7
1982-06-01,533.7
1982-07-01,537.8
1982-08-01,547.2
1982-09-01,549.7
1982-10-01,560.3
1982-11-01,559
1982-12-01,550.4
1983-01-01,525.6
1983-02-01,517.4
1983-03-01,515.5
1983-04-01,522
1983-05-01,523.1
1983-06-01,528.4
1983-07-01,528.2
1983-08-01,532.9
1983-09-01,540.2
1983-10-01,543.9
1983-11-01,558.5
1983-12-01,570.9
1984-01-01,573.7
1984-02-01,581.2
1984-03-01,593.6
1984-04-01,606.3
1984-05-01,620.9
1984-06-01,631.7
1984-07-01,644.9
1984-08-01,652.4
1984-09-01,657.1
1984-10-01,668
1984-11-01,673.1
1984-12-01,680.7
1985-01-01,681.9
1985-02-01,683.2
1985-03-01,687.1
1985-04-01,683.7
1985-05-01,685.6
1985-06-01,687.4
1985-07-01,679.6
1985-08-01,683.9
1985-09-01,689.8
1985-10-01,695.5
1985-11-01,701.1
1985-12-01,712.4
1986-01-01,727.1
1986-02-01,734.6
1986-03-01,741
1986-04-01,746.7
1986-05-01,742.6
1986-06-01,744.4
1986-07-01,751.4
1986-08-01,757.5
1986-09-01,763.4
1986-10-01,763.7
1986-11-01,761.6
1986-12-01,766.8
1987-01-01,776.7
1987-02-01,782.6
1987-03-01,784.9
1987-04-01,790.8
1987-05-01,801
1987-06-01,814.6
1987-07-01,815.9
1987-08-01,827.8
1987-09-01,838.9
1987-10-01,848.7
1987-11-01,857.5
1987-12-01,855
1988-01-01,856.7
1988-02-01,861.8
1988-03-01,866.4
1988-04-01,872.7
1988-05-01,883.4
1988-06-01,890.9
1988-07-01,897.2
1988-08-01,906.3
1988-09-01,913.1
1988-10-01,918.5
1988-11-01,922.6
1988-12-01,934.4
1989-01-01,939.3
1989-02-01,942.7
1989-03-01,955.8
1989-04-01,958.9
1989-05-01,957.5
1989-06-01,961.6
1989-07-01,959.2
1989-08-01,947.1
1989-09-01,936.4
1989-10-01,926.8
1989-11-01,923.7
1989-12-01,918.6
1990-01-01,916.4
1990-02-01,910
1990-03-01,901.7
1990-04-01,897.4
1990-05-01,901.2
1990-06-01,895.9
1990-07-01,897.9
1990-08-01,896.5
1990-09-01,891.4
1990-10-01,890.9
1990-11-01,882.2
1990-12-01,875.9
1991-01-01,882.7
1991-02-01,882.1
1991-03-01,872.1
1991-04-01,868.6
1991-05-01,857.9
1991-06-01,850
1991-07-01,839.8
1991-08-01,835.5
1991-09-01,829.3
1991-10-01,828.5
1991-11-01,829.3
1991-12-01,830.5
1992-01-01,827.6
1992-02-01,829.1
1992-03-01,826.6
1992-04-01,818.9
1992-05-01,815.9
1992-06-01,818.1
1992-07-01,817.6
1992-08-01,821.4
1992-09-01,818.6
1992-10-01,803.8
1992-11-01,796.6
1992-12-01,789.5
1993-01-01,777.2
1993-02-01,784.2
1993-03-01,790
1993-04-01,791.8
1993-05-01,797.7
1993-06-01,792.4
1993-07-01,788.9
1993-08-01,785.7
1993-09-01,788.4
1993-10-01,791.2
1993-11-01,795.9
1993-12-01,801.3
1994-01-01,797.3
1994-02-01,782.3
1994-03-01,786.8
1994-04-01,793.2
1994-05-01,795.4
1994-06-01,805.3
1994-07-01,820.5
1994-08-01,824.2
1994-09-01,832.7
1994-10-01,844.6
1994-11-01,857.4
1994-12-01,872.2
1995-01-01,890.3
1995-02-01,895.9
1995-03-01,913.8
1995-04-01,926.6
1995-05-01,942.8
1995-06-01,956
1995-07-01,963
1995-08-01,976.1
1995-09-01,985.2
1995-10-01,990.4
1995-11-01,993.5
1995-12-01,995.7
1996-01-01,1011.8
1996-02-01,1028
1996-03-01,1036.6
1996-04-01,1043.6
1996-05-01,1069.2
1996-06-01,1079
1996-07-01,1089.9
1996-08-01,1101.3
1996-09-01,1119.4
1996-10-01,1145.7
1996-11-01,1151.4
1996-12-01,1170.3
1997-01-01,1183.9
1997-02-01,1205.2
1997-03-01,1224.8
1997-04-01,1248.7
1997-05-01,1262.6
1997-06-01,1275
1997-07-01,1313.6
1997-08-01,1339.9
1997-09-01,1362.7
1997-10-01,1387.6
1997-11-01,1407.1
1997-12-01,1429.3
1998-01-01,1453
1998-02-01,1457.3
1998-03-01,1495.5
1998-04-01,1508.7
1998-05-01,1527.6
1998-06-01,1543.1
1998-07-01,1546.8
1998-08-01,1586.1
1998-09-01,1612.9
1998-10-01,1641.5
1998-11-01,1658.5
1998-12-01,1668.2
1999-01-01,1675
1999-02-01,1702
1999-03-01,1690.2
1999-04-01,1699.1
1999-05-01,1708.6
1999-06-01,1723.9
1999-07-01,1730.9
1999-08-01,1740
1999-09-01,1748.7
1999-10-01,1784.6
1999-11-01,1845.2
1999-12-01,1902.8
2000-01-01,1929.9
2000-02-01,1951.1
2000-03-01,1983.4
2000-04-01,1996.2
2000-05-01,2013.5
2000-06-01,2043.1
2000-07-01,2081.6
2000-08-01,2116.7
2000-09-01,2142.4
2000-10-01,2147.9
2000-11-01,2149.6
2000-12-01,2186.3
2001-01-01,2250.1
2001-02-01,2281.3
2001-03-01,2284.2
2001-04-01,2358.4
2001-05-01,2414.8
2001-06-01,2456.4
2001-07-01,2470.1
2001-08-01,2438.9
2001-09-01,2484.1
2001-10-01,2534.6
2001-11-01,2568.2
2001-12-01,2584
2002-01-01,2586.6
2002-02-01,2604.1
2002-03-01,2604.2
2002-04-01,2624.7
2002-05-01,2630.8
2002-06-01,2624.4
2002-07-01,2629.8
2002-08-01,2645
2002-09-01,2653.6
2002-10-01,2642.6
2002-11-01,2726.2
2002-12-01,2767.4
2003-01-01,2757.6
2003-02-01,2759.1
2003-03-01,2761.6
2003-04-01,2757.3
2003-05-01,2758.1
2003-06-01,2767.8
2003-07-01,2815.5
2003-08-01,2797.5
2003-09-01,2806.6
2003-10-01,2810.9
2003-11-01,2800.9
2003-12-01,2792.7
2004-01-01,2841.9
2004-02-01,2868.1
2004-03-01,2907.6
2004-04-01,2932.9
2004-05-01,2963.4
2004-06-01,2987.1
2004-07-01,2987.5
2004-08-01,2997.3
2004-09-01,3005.1
2004-10-01,2990.3
2004-11-01,2991.3
2004-12-01,3011.1
2005-01-01,3051.1
2005-02-01,3076.2
2005-03-01,3090.4
2005-04-01,3139.9
2005-05-01,3175.5
2005-06-01,3209.3
2005-07-01,3226.4
2005-08-01,3298.4
2005-09-01,3354.3
2005-10-01,3406.3
2005-11-01,3431
2005-12-01,3478.5
2006-01-01,3506
2006-02-01,3540.2
