"Date","TCDSL"
1969-01-01,154.8
1969-02-01,155.2
1969-03-01,155.6
1969-04-01,156.2
1969-05-01,156.1
1969-06-01,156.3
1969-07-01,156.4
1969-08-01,156.3
1969-09-01,156.4
1969-10-01,156.9
1969-11-01,157.3
1969-12-01,157.4
1970-01-01,159.4
1970-02-01,158.2
1970-03-01,158.7
1970-04-01,159.5
1970-05-01,159.6
1970-06-01,159.7
1970-07-01,159.9
1970-08-01,161.5
1970-09-01,163.1
1970-10-01,163.9
1970-11-01,164.4
1970-12-01,164.8
1971-01-01,165.7
1971-02-01,167.2
1971-03-01,168.4
1971-04-01,169.3
1971-05-01,171.1
1971-06-01,172.1
1971-07-01,173
1971-08-01,173.4
1971-09-01,174
1971-10-01,174.5
1971-11-01,174.9
1971-12-01,175.3
1972-01-01,176.8
1972-02-01,178.6
1972-03-01,180.3
1972-04-01,181.4
1972-05-01,181.4
1972-06-01,181.8
1972-07-01,183.7
1972-08-01,185.4
1972-09-01,187.2
1972-10-01,188.6
1972-11-01,189.5
1972-12-01,191.8
1973-01-01,193.6
1973-02-01,194.1
1973-03-01,193.3
1973-04-01,193.7
1973-05-01,195.5
1973-06-01,196.9
1973-07-01,197.4
1973-08-01,197.3
1973-09-01,196.9
1973-10-01,197.8
1973-11-01,199.3
1973-12-01,200.6
1974-01-01,201
1974-02-01,202
1974-03-01,202.9
1974-04-01,202.7
1974-05-01,202.7
1974-06-01,203.3
1974-07-01,203.7
1974-08-01,203.9
1974-09-01,204.2
1974-10-01,204.8
1974-11-01,205.5
1974-12-01,205.5
1975-01-01,204.8
1975-02-01,205.4
1975-03-01,206.2
1975-04-01,205.8
1975-05-01,208.2
1975-06-01,210.5
1975-07-01,211.2
1975-08-01,211.2
1975-09-01,212.4
1975-10-01,211.6
1975-11-01,212.3
1975-12-01,212.2
1976-01-01,213
1976-02-01,214.6
1976-03-01,215.7
1976-04-01,216.9
1976-05-01,217.4
1976-06-01,217.3
1976-07-01,217.7
1976-08-01,218.9
1976-09-01,219
1976-10-01,220.9
1976-11-01,221.9
1976-12-01,224.2
1977-01-01,225.4
1977-02-01,228.1
1977-03-01,229.9
1977-04-01,231.2
1977-05-01,231.9
1977-06-01,232.9
1977-07-01,233.5
1977-08-01,235
1977-09-01,236.4
1977-10-01,237.7
1977-11-01,239.1
1977-12-01,240.6
1978-01-01,243.4
1978-02-01,243.5
1978-03-01,244.6
1978-04-01,246.9
1978-05-01,251
1978-06-01,252.2
1978-07-01,252.5
1978-08-01,253.7
1978-09-01,255.5
1978-10-01,255.7
1978-11-01,256.9
1978-12-01,258
1979-01-01,258.5
1979-02-01,259.2
1979-03-01,261.1
1979-04-01,265.8
1979-05-01,266.7
1979-06-01,269.6
1979-07-01,272.7
1979-08-01,273.2
1979-09-01,272.6
1979-10-01,273.4
1979-11-01,273
1979-12-01,273.4
1980-01-01,276.3
1980-02-01,279.7
1980-03-01,277.4
1980-04-01,272.4
1980-05-01,272.6
1980-06-01,275.9
1980-07-01,279.8
1980-08-01,283.8
1980-09-01,288.7
1980-10-01,291.8
1980-11-01,292.1
1980-12-01,289.3
1981-01-01,292
1981-02-01,294.6
1981-03-01,298.1
1981-04-01,305.5
1981-05-01,302.3
1981-06-01,302.5
1981-07-01,303.5
1981-08-01,302.9
1981-09-01,302.8
1981-10-01,303.8
1981-11-01,305.8
1981-12-01,310.1
1982-01-01,315.4
1982-02-01,313.9
1982-03-01,314.2
1982-04-01,317.5
1982-05-01,315.9
1982-06-01,315.9
1982-07-01,315.7
1982-08-01,318.3
1982-09-01,322.9
1982-10-01,329.4
1982-11-01,335.7
1982-12-01,338.2
1983-01-01,339.6
1983-02-01,345.1
1983-03-01,349.9
1983-04-01,351.4
1983-05-01,356.9
1983-06-01,360
1983-07-01,362.9
1983-08-01,364.7
1983-09-01,365.6
1983-10-01,368.5
1983-11-01,369
1983-12-01,370.6
1984-01-01,373
1984-02-01,374.7
1984-03-01,377.4
1984-04-01,380
1984-05-01,381.1
1984-06-01,383.5
1984-07-01,383.3
1984-08-01,382.6
1984-09-01,383.8
1984-10-01,384.2
1984-11-01,387.3
1984-12-01,390.5
1985-01-01,395.1
1985-02-01,400.7
1985-03-01,403
1985-04-01,405.8
1985-05-01,409.4
1985-06-01,415.3
1985-07-01,420.9
1985-08-01,426.5
1985-09-01,432.7
1985-10-01,436.1
1985-11-01,439.7
1985-12-01,446.4
1986-01-01,447.4
1986-02-01,450.1
1986-03-01,457.1
1986-04-01,463.8
1986-05-01,473.5
1986-06-01,481.1
1986-07-01,489.7
1986-08-01,496.7
1986-09-01,504.5
1986-10-01,510.6
1986-11-01,520.1
1986-12-01,538.1
1987-01-01,542.1
1987-02-01,541.1
1987-03-01,543.4
1987-04-01,552.2
1987-05-01,553
1987-06-01,549.2
1987-07-01,547.8
1987-08-01,548.3
1987-09-01,549.5
1987-10-01,556.6
1987-11-01,551.4
1987-12-01,546.9
1988-01-01,551.6
1988-02-01,552.1
1988-03-01,554.8
1988-04-01,559.5
1988-05-01,561.6
1988-06-01,566.8
1988-07-01,568.4
1988-08-01,569.3
1988-09-01,568.1
1988-10-01,566.5
1988-11-01,567.2
1988-12-01,567.7
1989-01-01,565.8
1989-02-01,563.4
1989-03-01,561.4
1989-04-01,557
1989-05-01,551.9
1989-06-01,549.4
1989-07-01,552.9
1989-08-01,554
1989-09-01,555
1989-10-01,560
1989-11-01,560.6
1989-12-01,563.7
1990-01-01,564.5
1990-02-01,565.4
1990-03-01,566.8
1990-04-01,569.5
1990-05-01,565.8
1990-06-01,568
1990-07-01,567.1
1990-08-01,569.6
1990-09-01,570.9
1990-10-01,568.5
1990-11-01,569.4
1990-12-01,570.5
1991-01-01,568.8
1991-02-01,571.4
1991-03-01,575.4
1991-04-01,579.7
1991-05-01,584.7
1991-06-01,591.5
1991-07-01,594.9
1991-08-01,598.4
1991-09-01,600.1
1991-10-01,606.8
1991-11-01,614.7
1991-12-01,622.1
1992-01-01,634.1
1992-02-01,647.3
1992-03-01,657.5
1992-04-01,663
1992-05-01,668.1
1992-06-01,670.4
1992-07-01,676.3
1992-08-01,683.8
1992-09-01,695
1992-10-01,708.2
1992-11-01,718
1992-12-01,724.6
1993-01-01,728
1993-02-01,729.2
1993-03-01,732
1993-04-01,738.5
1993-05-01,754
1993-06-01,760.7
1993-07-01,767.3
1993-08-01,774.4
1993-09-01,781.3
1993-10-01,787.8
1993-11-01,797
1993-12-01,800
1994-01-01,798.6
1994-02-01,800
1994-03-01,800.9
1994-04-01,799.2
1994-05-01,798.3
1994-06-01,797.1
1994-07-01,798.6
1994-08-01,796.7
1994-09-01,795.7
1994-10-01,791.3
1994-11-01,789.4
1994-12-01,787.6
1995-01-01,785.4
1995-02-01,780.4
1995-03-01,775.7
1995-04-01,774.6
1995-05-01,768.1
1995-06-01,767.1
1995-07-01,768.2
1995-08-01,767.4
1995-09-01,762.9
1995-10-01,757.3
1995-11-01,753.5
1995-12-01,745.6
1996-01-01,741.1
1996-02-01,737.1
1996-03-01,738.7
1996-04-01,739.6
1996-05-01,729.9
1996-06-01,726
1996-07-01,720.4
1996-08-01,707.1
1996-09-01,699.4
1996-10-01,687
1996-11-01,682.5
1996-12-01,677.9
1997-01-01,675.6
1997-02-01,671.2
1997-03-01,662.4
1997-04-01,651.9
1997-05-01,649
1997-06-01,648.9
1997-07-01,646
1997-08-01,653.5
1997-09-01,642.8
1997-10-01,638.9
1997-11-01,640.7
1997-12-01,638.6
1998-01-01,638.1
1998-02-01,639.4
1998-03-01,636.6
1998-04-01,634.3
1998-05-01,634.8
1998-06-01,629.1
1998-07-01,624.5
1998-08-01,622.8
1998-09-01,621.8
1998-10-01,623.8
1998-11-01,629.1
1998-12-01,626.1
1999-01-01,626.3
1999-02-01,620.8
1999-03-01,616.6
1999-04-01,617.4
1999-05-01,615.4
1999-06-01,608
1999-07-01,603.6
1999-08-01,600.3
1999-09-01,593.6
1999-10-01,595.6
1999-11-01,596.9
1999-12-01,595.8
2000-01-01,588.7
2000-02-01,582.3
2000-03-01,582.1
2000-04-01,589.3
2000-05-01,577.3
2000-06-01,572.9
2000-07-01,572.3
2000-08-01,568.8
2000-09-01,567
2000-10-01,564.2
2000-11-01,555.8
2000-12-01,549.1
2001-01-01,554.3
2001-02-01,556.3
2001-03-01,561.4
2001-04-01,566
2001-05-01,564.6
2001-06-01,569.7
2001-07-01,576.5
2001-08-01,579.6
2001-09-01,629.7
2001-10-01,585.9
2001-11-01,587
2001-12-01,594
2002-01-01,596
2002-02-01,591.3
2002-03-01,589.9
2002-04-01,579.4
2002-05-01,576.5
2002-06-01,575.1
2002-07-01,575.9
2002-08-01,562.3
2002-09-01,570.1
2002-10-01,576.2
2002-11-01,579
2002-12-01,586.2
2003-01-01,589.4
2003-02-01,595.4
2003-03-01,592.3
2003-04-01,599.5
2003-05-01,615.4
2003-06-01,626
2003-07-01,631.5
2003-08-01,638.6
2003-09-01,636.9
2003-10-01,632.7
2003-11-01,631.3
2003-12-01,636
2004-01-01,634.5
2004-02-01,648.3
2004-03-01,654
2004-04-01,655.1
2004-05-01,652.5
2004-06-01,657.4
2004-07-01,647.8
2004-08-01,659.8
2004-09-01,664.5
2004-10-01,661.2
2004-11-01,668.8
2004-12-01,670.6
2005-01-01,660.7
2005-02-01,663.3
2005-03-01,661.4
2005-04-01,647.4
2005-05-01,653.9
2005-06-01,664.6
2005-07-01,651
2005-08-01,657.1
2005-09-01,653.9
2005-10-01,650.8
2005-11-01,648.4
2005-12-01,642.5
2006-01-01,643
2006-02-01,638.2
2006-03-01,640.7
2006-04-01,636.4
2006-05-01,638.9
2006-06-01,627.6
2006-07-01,624.8
2006-08-01,623.4
2006-09-01,614.9
2006-10-01,619.8
2006-11-01,617.6
2006-12-01,609.6
2007-01-01,614.4
2007-02-01,606.4
2007-03-01,609.1
2007-04-01,617.8
2007-05-01,619.1
2007-06-01,606
2007-07-01,607.1
2007-08-01,610.8
2007-09-01,608.9
2007-10-01,610.1
2007-11-01,602.8
2007-12-01,606.5
2008-01-01,613.2
2008-02-01,616.8
2008-03-01,623.3
2008-04-01,627
2008-05-01,624.8
2008-06-01,630
2008-07-01,640.4
2008-08-01,624.6
2008-09-01,675.2
2008-10-01,671.4
2008-11-01,702.5
2008-12-01,780
2009-01-01,747.8
2009-02-01,724.2
2009-03-01,730.5
2009-04-01,759.1
2009-05-01,763.7
2009-06-01,801.3
2009-07-01,802.5
2009-08-01,796.6
2009-09-01,798.5
2009-10-01,809.8
2009-11-01,816
2009-12-01,824
2010-01-01,805
2010-02-01,826.4
2010-03-01,835.5
2010-04-01,818
2010-05-01,825.3
2010-06-01,843.9
2010-07-01,831.9
2010-08-01,850.8
2010-09-01,862
2010-10-01,868.2
2010-11-01,908.7
2010-12-01,913.2
2011-01-01,925.6
2011-02-01,937.8
2011-03-01,948.6
2011-04-01,948.5
2011-05-01,976.7
2011-06-01,987.8
2011-07-01,1027.3
2011-08-01,1132.5
2011-09-01,1140.8
2011-10-01,1148.8
2011-11-01,1167.8
2011-12-01,1158.4
2012-01-01,1187.9
2012-02-01,1186.3
2012-03-01,1196.3
2012-04-01,1209.6
2012-05-01,1213
2012-06-01,1226.7
2012-07-01,1261.8
2012-08-01,1285.5
2012-09-01,1318
2012-10-01,1341.2
2012-11-01,1336
2012-12-01,1366.6
2013-01-01,1372.7
2013-02-01,1368.3
2013-03-01,1372.5
2013-04-01,1402.1
2013-05-01,1410
2013-06-01,1404.5
2013-07-01,1411
2013-08-01,1410.9
2013-09-01,1435.8
2013-10-01,1467.7
2013-11-01,1467
2013-12-01,1500.2
2014-01-01,1527.6
2014-02-01,1550.4
2014-03-01,1561.5
2014-04-01,1576.6
2014-05-01,1586.3
2014-06-01,1614.2
2014-07-01,1620.3
2014-08-01,1576.6
2014-09-01,1631.8
2014-10-01,1633.7
2014-11-01,1641.6
2014-12-01,1684.2
2015-01-01,1671.7
2015-02-01,1730
2015-03-01,1717.1
2015-04-01,1713.1
2015-05-01,1694.5
2015-06-01,1723.3
2015-07-01,1736.5
2015-08-01,1717.6
2015-09-01,1724.7
2015-10-01,1690.6
2015-11-01,1745.4
2015-12-01,1751.9
2016-01-01,1750.4
2016-02-01,1773.4
2016-03-01,1789.4
2016-04-01,1831.6
2016-05-01,1861.4
2016-06-01,1862.7
2016-07-01,1857.9
2016-08-01,1920.2
2016-09-01,1924.6
2016-10-01,1925.8
2016-11-01,1936.2
2016-12-01,1916.7
2017-01-01,1956.3
2017-02-01,1964.4
2017-03-01,1997.9
2017-04-01,1994.3
2017-05-01,2047.8
2017-06-01,2047.7
2017-07-01,2063.6
2017-08-01,2089.5
2017-09-01,2071.1
2017-10-01,2091.9
2017-11-01,2109.5
2017-12-01,2080
2018-01-01,2111.7
2018-02-01,2075.1
2018-03-01,2108.6
2018-04-01,2099.8
2018-05-01,2084.7
2018-06-01,2076.1
2018-07-01,2087.8
2018-08-01,2090.6
2018-09-01,2098.8
2018-10-01,2107.5
2018-11-01,2081.1
2018-12-01,2124.1
2019-01-01,2112.9
2019-02-01,2129.2
2019-03-01,2096.1
2019-04-01,2138.8
2019-05-01,2144.4
2019-06-01,2177.4
2019-07-01,2193.5
2019-08-01,2181.7
2019-09-01,2220.7
2019-10-01,2231.7
2019-11-01,2247.1
2019-12-01,2267.2
2020-01-01,2256.7
2020-02-01,2280.3
2020-03-01,2512.4
2020-04-01,3018.7
2020-05-01,3217.5
2020-06-01,3361.4
2020-07-01,3445.6
2020-08-01,3474
2020-09-01,3567.2
2020-10-01,3604.8
2020-11-01,4028.6
2020-12-01,4563.7
2021-01-01,4754.9
