"Date","CCUSSP01IFM650N"
1990-06-01,1.32387206100402
1990-07-01,1.36563515691148
1990-08-01,1.38594375840228
1990-09-01,1.39256370978972
1990-10-01,1.43077891604189
1990-11-01,1.42675740843784
1990-12-01,1.42265723919136
1991-01-01,1.43476139917932
1991-02-01,1.4205352576851
1991-03-01,1.34631177888175
1991-04-01,1.34080609262288
1991-05-01,1.34084204880665
1991-06-01,1.31450955648448
1991-07-01,1.33400923134388
1991-08-01,1.33698776656194
1991-09-01,1.36798905608755
1991-10-01,1.36651225078233
1991-11-01,1.38071963107171
1991-12-01,1.43043098885694
1992-01-01,1.39733109760358
1992-02-01,1.38091029606717
1992-03-01,1.37174211248285
1992-04-01,1.36975043147139
1992-05-01,1.39631651702808
1992-06-01,1.43116797618536
1992-07-01,1.44416844780775
1992-08-01,1.48286548927147
1992-09-01,1.47284081536468
1992-10-01,1.40593586120601
1992-11-01,1.37896037419469
1992-12-01,1.37500515626934
1993-01-01,1.38188350722034
1993-02-01,1.37610260221002
1993-03-01,1.39772171360682
1993-04-01,1.42338826188636
1993-05-01,1.42847143557094
1993-06-01,1.40360333046998
1993-07-01,1.39072193766506
1993-08-01,1.40758038339674
1993-09-01,1.41840148988893
1993-10-01,1.39293001100582
1993-11-01,1.38388571916016
1993-12-01,1.37355846927293
1994-01-01,1.38067387930701
1994-02-01,1.39929615403452
1994-03-01,1.41259697478232
1994-04-01,1.42138126989045
1994-05-01,1.41733399475586
1994-06-01,1.44836855765666
1994-07-01,1.44326802064451
1994-08-01,1.44770177343467
1994-09-01,1.46738157496999
1994-10-01,1.48453853119758
1994-11-01,1.45674063024427
1994-12-01,1.45984762110531
1995-01-01,1.47670352518666
1995-02-01,1.49439527053785
1995-03-01,1.56049817343689
1995-04-01,1.57303194041355
1995-05-01,1.57591000923483
1995-06-01,1.56875787320358
1995-07-01,1.55953687992814
1995-08-01,1.49249276141011
1995-09-01,1.50631900823957
1995-10-01,1.49455384578596
1995-11-01,1.48614909047676
1995-12-01,1.48648487947581
1996-01-01,1.45168853151543
1996-02-01,1.46868326670407
1996-03-01,1.46120856560461
1996-04-01,1.45005502958837
1996-05-01,1.44218566121328
1996-06-01,1.44334093011776
1996-07-01,1.46554074056705
1996-08-01,1.45765582705205
1996-09-01,1.43937496581484
1996-10-01,1.44622989559666
1996-11-01,1.44461699591896
1996-12-01,1.4379551127932
1997-01-01,1.39465929170833
1997-02-01,1.38493988668422
1997-03-01,1.38688753312928
1997-04-01,1.36552699783427
1997-05-01,1.3917942594054
1997-06-01,1.38813890828427
1997-07-01,1.35861627649472
1997-08-01,1.36357562254045
1997-09-01,1.36521194232799
1997-10-01,1.38361960422945
1997-11-01,1.36183935470604
1997-12-01,1.34925089590259
1998-01-01,1.34536085941652
1998-02-01,1.35023467078578
1998-03-01,1.3358857657364
1998-04-01,1.34665625252498
1998-05-01,1.33536486841982
1998-06-01,1.33154373854872
1998-07-01,1.32948845272804
1998-08-01,1.34222062348832
1998-09-01,1.37132262696048
1998-10-01,1.4083495410893
1998-11-01,1.38016509534871
1998-12-01,1.40802433066043
1999-01-01,1.38977487036875
1999-02-01,1.36556429213244
1999-03-01,1.35784146657741
1999-04-01,1.35122535871655
1999-05-01,1.34195944866938
1999-06-01,1.33587327371776
1999-07-01,1.36420809084535
1999-08-01,1.36985550764105
1999-09-01,1.38769200453498
1999-10-01,1.38071963107171
1999-11-01,1.36962661239293
1999-12-01,1.37251215016381
2000-01-01,1.35287607925689
2000-02-01,1.33927973535832
2000-03-01,1.34687390566495
2000-04-01,1.31920900228223
2000-05-01,1.3200152593764
2000-06-01,1.33727919848834
2000-07-01,1.31334595896582
2000-08-01,1.30479826514023
2000-09-01,1.29789053850776
2000-10-01,1.27934333865114
2000-11-01,1.28196581766344
2000-12-01,1.30290782969431
2001-01-01,1.29778947518691
2001-02-01,1.29247559482958
2001-03-01,1.26065092449836
2001-04-01,1.26579234170317
2001-05-01,1.25422517104496
2001-06-01,1.24564801723977
2001-07-01,1.25873720965653
2001-08-01,1.28822651144396
