"Date","EMVMONETARYPOL"
2016-08-01,3.78809
2016-09-01,5.23524
2016-10-01,4.857
2016-11-01,6.77182
2016-12-01,4.28961
2017-01-01,4.35607
2017-02-01,4.20015
2017-03-01,4.08564
2017-04-01,3.31307
2017-05-01,2.41776
2017-06-01,4.07568
2017-07-01,4.96795
2017-08-01,4.48174
2017-09-01,2.84501
2017-10-01,3.57823
2017-11-01,3.56427
2017-12-01,6.54566
2018-01-01,5.28521
2018-02-01,10.92138
2018-03-01,6.77714
2018-04-01,5.40854
2018-05-01,4.97527
2018-06-01,3.96516
2018-07-01,4.23143
2018-08-01,5.1826
2018-09-01,5.70093
2018-10-01,11.29201
2018-11-01,8.06059
2018-12-01,21.73408
2019-01-01,14.78847
2019-02-01,5.01617
2019-03-01,6.48172
2019-04-01,5.59541
2019-05-01,6.04695
2019-06-01,7.88839
2019-07-01,8.34157
2019-08-01,14.63602
2019-09-01,5.41444
2019-10-01,4.78333
2019-11-01,5.85071
2019-12-01,6.13913
2020-01-01,4.87854
2020-02-01,6.69686
2020-03-01,23.08602
2020-04-01,10.19461
2020-05-01,8.1514
2020-06-01,10.61213
2020-07-01,7.62197
2020-08-01,6.19516
2020-09-01,5.0786
2020-10-01,6.70598
2020-11-01,5.96528
2020-12-01,4.24012
2021-01-01,6.34661
2021-02-01,6.91237
2021-03-01,6.56899
2021-04-01,5.32225
2021-05-01,5.67485
2021-06-01,5.95601
2021-07-01,4.73224
2021-08-01,5.341
2021-09-01,8.10826
2021-10-01,5.64704
2021-11-01,3.99789
2021-12-01,6.26197
2022-01-01,8.14084
2022-02-01,10.40903
2022-03-01,11.39077
2022-04-01,7.45772
2022-05-01,12.71978
2022-06-01,10.20764
2022-07-01,9.5593
2022-08-01,4.56869
2022-09-01,7.942
2022-10-01,8.83905
2022-11-01,6.72609
2022-12-01,8.12987
2023-01-01,8.308
2023-02-01,6.57149
2023-03-01,16.60243
2023-04-01,7.17387
2023-05-01,7.64967
2023-06-01,7.11014
2023-07-01,5.39699
2023-08-01,6.04104
2023-09-01,6.96566
2023-10-01,6.44077
