"Date","MSIM2DS"
1973-06-01,63.654
1973-07-01,63.902
1973-08-01,64.061
1973-09-01,64.097
1973-10-01,64.354
1973-11-01,64.803
1973-12-01,65.283
1974-01-01,65.593
1974-02-01,65.926
1974-03-01,66.341
1974-04-01,66.565
1974-05-01,66.695
1974-06-01,66.942
1974-07-01,67.222
1974-08-01,67.428
1974-09-01,67.728
1974-10-01,68.132
1974-11-01,68.52
1974-12-01,68.789
1975-01-01,69.035
1975-02-01,69.572
1975-03-01,70.403
1975-04-01,71.086
1975-05-01,71.998
1975-06-01,73.157
1975-07-01,73.997
1975-08-01,74.65
1975-09-01,75.223
1975-10-01,75.676
1975-11-01,76.454
1975-12-01,77.086
1976-01-01,77.818
1976-02-01,78.815
1976-03-01,79.473
1976-04-01,80.263
1976-05-01,81.142
1976-06-01,81.505
1976-07-01,82.157
1976-08-01,83.061
1976-09-01,83.914
1976-10-01,84.999
1976-11-01,85.847
1976-12-01,86.839
1977-01-01,87.847
1977-02-01,88.681
1977-03-01,89.454
1977-04-01,90.304
1977-05-01,90.926
1977-06-01,91.557
1977-07-01,92.306
1977-08-01,93.008
1977-09-01,93.695
1977-10-01,94.379
1977-11-01,94.977
1977-12-01,95.586
1978-01-01,96.308
1978-02-01,96.727
1978-03-01,97.232
1978-04-01,97.877
1978-05-01,98.578
1978-06-01,99.231
1978-07-01,99.822
1978-08-01,100.523
1978-09-01,101.474
1978-10-01,101.978
1978-11-01,102.449
1978-12-01,102.921
1979-01-01,103.096
1979-02-01,103.356
1979-03-01,103.895
1979-04-01,104.666
1979-05-01,104.922
1979-06-01,105.804
1979-07-01,106.536
1979-08-01,107.291
1979-09-01,107.827
1979-10-01,107.997
1979-11-01,108.104
1979-12-01,108.423
1980-01-01,108.768
1980-02-01,109.251
1980-03-01,109.396
1980-04-01,109.059
1980-05-01,109.471
1980-06-01,110.399
1980-07-01,111.31
1980-08-01,112.442
1980-09-01,113.328
1980-10-01,114.138
1980-11-01,114.942
1980-12-01,114.831
1981-01-01,115.064
1981-02-01,115.469
1981-03-01,116.159
1981-04-01,117.142
1981-05-01,117.074
1981-06-01,117.172
1981-07-01,117.534
1981-08-01,117.946
1981-09-01,118.108
1981-10-01,118.704
1981-11-01,119.345
1981-12-01,120.131
1982-01-01,121.03
1982-02-01,121.393
1982-03-01,122.184
1982-04-01,123.249
1982-05-01,123.861
1982-06-01,124.38
1982-07-01,124.982
1982-08-01,125.768
1982-09-01,126.504
1982-10-01,127.016
1982-11-01,127.649
1982-12-01,128.09
1983-01-01,128.291
1983-02-01,128.651
1983-03-01,128.933
1983-04-01,129.392
1983-05-01,130.018
1983-06-01,130.509
1983-07-01,131.282
1983-08-01,131.988
1983-09-01,132.686
1983-10-01,133.811
1983-11-01,134.655
1983-12-01,135.348
1984-01-01,136.241
1984-02-01,137.35
1984-03-01,138.305
1984-04-01,139.21
1984-05-01,140.075
1984-06-01,140.925
1984-07-01,141.578
1984-08-01,142.17
1984-09-01,142.964
1984-10-01,143.627
1984-11-01,144.722
1984-12-01,145.901
1985-01-01,147.02
1985-02-01,148.008
1985-03-01,148.549
1985-04-01,149.066
1985-05-01,149.992
1985-06-01,151.231
1985-07-01,152.105
1985-08-01,152.829
1985-09-01,153.522
1985-10-01,154.168
1985-11-01,154.74
1985-12-01,155.681
1986-01-01,156.252
1986-02-01,156.881
1986-03-01,158.129
1986-04-01,159.461
1986-05-01,160.903
1986-06-01,161.904
1986-07-01,163.079
1986-08-01,164.053
1986-09-01,165.102
1986-10-01,165.947
1986-11-01,166.542
1986-12-01,168.01
1987-01-01,168.708
1987-02-01,168.81
1987-03-01,169.084
1987-04-01,169.861
1987-05-01,170.124
1987-06-01,170.402
1987-07-01,170.897
1987-08-01,171.598
1987-09-01,172.4
1987-10-01,173.595
1987-11-01,174.473
1987-12-01,175.291
1988-01-01,176.746
1988-02-01,178.31
1988-03-01,179.646
1988-04-01,180.904
1988-05-01,181.898
1988-06-01,182.745
1988-07-01,183.425
1988-08-01,183.927
1988-09-01,184.469
1988-10-01,185.095
1988-11-01,185.959
1988-12-01,186.542
1989-01-01,186.935
1989-02-01,187.005
1989-03-01,187.319
1989-04-01,187.248
1989-05-01,186.985
1989-06-01,187.285
1989-07-01,188.33
1989-08-01,189.224
1989-09-01,189.996
1989-10-01,191.19
1989-11-01,192.142
1989-12-01,193.267
1990-01-01,193.938
1990-02-01,194.749
1990-03-01,195.525
1990-04-01,196.45
1990-05-01,196.629
1990-06-01,197.509
1990-07-01,198.109
1990-08-01,199.216
1990-09-01,200.037
1990-10-01,200.371
1990-11-01,200.709
1990-12-01,201.324
1991-01-01,202.16
1991-02-01,203.258
1991-03-01,204.162
1991-04-01,204.635
1991-05-01,205.157
1991-06-01,205.34
1991-07-01,205.104
1991-08-01,204.949
1991-09-01,204.845
1991-10-01,204.91
1991-11-01,204.892
1991-12-01,204.942
1992-01-01,204.854
1992-02-01,205.19
1992-03-01,204.873
1992-04-01,204.298
1992-05-01,203.667
1992-06-01,203.154
1992-07-01,203.001
1992-08-01,202.992
1992-09-01,203.3
1992-10-01,203.683
1992-11-01,203.518
1992-12-01,203.137
1993-01-01,202.607
1993-02-01,202.295
1993-03-01,202.009
1993-04-01,201.929
1993-05-01,203.075
1993-06-01,203.206
1993-07-01,203.074
1993-08-01,203.198
1993-09-01,203.547
1993-10-01,203.646
1993-11-01,204.237
1993-12-01,204.469
1994-01-01,204.433
1994-02-01,204.382
1994-03-01,204.617
1994-04-01,204.772
1994-05-01,205.25
1994-06-01,204.864
1994-07-01,205.276
1994-08-01,205.359
1994-09-01,205.561
1994-10-01,205.775
1994-11-01,206.146
1994-12-01,206.271
1995-01-01,206.846
1995-02-01,206.97
1995-03-01,207.265
1995-04-01,207.846
1995-05-01,208.752
1995-06-01,209.762
1995-07-01,210.546
1995-08-01,211.484
1995-09-01,211.898
1995-10-01,212.368
1995-11-01,212.719
1995-12-01,213.047
1996-01-01,213.802
1996-02-01,214.38
1996-03-01,215.569
1996-04-01,216.139
1996-05-01,216.474
1996-06-01,217.055
1996-07-01,217.732
1996-08-01,218.202
1996-09-01,218.76
1996-10-01,219.379
1996-11-01,220.04
1996-12-01,221.098
1997-01-01,221.844
1997-02-01,222.403
1997-03-01,223.119
1997-04-01,223.899
1997-05-01,224.613
1997-06-01,225.592
1997-07-01,226.561
1997-08-01,227.996
1997-09-01,229.038
1997-10-01,230.084
1997-11-01,231.216
1997-12-01,232.458
1998-01-01,233.744
1998-02-01,235.499
1998-03-01,236.899
1998-04-01,238.234
1998-05-01,239.081
1998-06-01,240.309
1998-07-01,241.523
1998-08-01,242.753
1998-09-01,244.749
1998-10-01,246.811
1998-11-01,248.894
1998-12-01,250.512
1999-01-01,251.696
1999-02-01,252.937
1999-03-01,253.583
1999-04-01,255.211
1999-05-01,256.247
1999-06-01,257.257
1999-07-01,258.562
1999-08-01,259.683
1999-09-01,260.649
1999-10-01,261.704
1999-11-01,263.055
1999-12-01,264.695
2000-01-01,266.138
2000-02-01,266.711
2000-03-01,268.14
2000-04-01,270.796
2000-05-01,270.414
2000-06-01,271.472
2000-07-01,272.573
2000-08-01,274.356
2000-09-01,276.017
2000-10-01,276.987
2000-11-01,277.65
2000-12-01,279.801
2001-01-01,282.824
2001-02-01,285.256
2001-03-01,288.608
2001-04-01,292.085
2001-05-01,292.757
2001-06-01,294.808
2001-07-01,296.716
2001-08-01,298.893
2001-09-01,304.928
2001-10-01,304.246
2001-11-01,306.528
2001-12-01,308.984
2002-01-01,310.637
2002-02-01,312.403
2002-03-01,313.287
2002-04-01,313.968
2002-05-01,315.844
2002-06-01,317.229
2002-07-01,319.473
2002-08-01,321.742
2002-09-01,323.676
2002-10-01,326.419
2002-11-01,329.035
2002-12-01,330.728
2003-01-01,332.918
2003-02-01,335.492
2003-03-01,337.141
2003-04-01,339.764
2003-05-01,342.635
2003-06-01,344.933
2003-07-01,347.77
2003-08-01,350.029
2003-09-01,349.052
2003-10-01,349.139
2003-11-01,349.356
2003-12-01,349.499
2004-01-01,350.682
2004-02-01,354.232
2004-03-01,357.455
2004-04-01,360.519
