"Date","BOGMBASE"
2001-08-01,622400
2001-09-01,647200
2001-10-01,635200
2001-11-01,639500
2001-12-01,650800
2002-01-01,653800
2002-02-01,654600
2002-03-01,659000
2002-04-01,663400
2002-05-01,668600
2002-06-01,674000
2002-07-01,679300
2002-08-01,679800
2002-09-01,680400
2002-10-01,681900
2002-11-01,688500
2002-12-01,699200
2003-01-01,699300
2003-02-01,701000
2003-03-01,705300
2003-04-01,709600
2003-05-01,713700
2003-06-01,715000
2003-07-01,717600
2003-08-01,720900
2003-09-01,721100
2003-10-01,724800
2003-11-01,730600
2003-12-01,739400
2004-01-01,736400
2004-02-01,735300
2004-03-01,736800
2004-04-01,741200
2004-05-01,745000
2004-06-01,750700
2004-07-01,757300
2004-08-01,757200
2004-09-01,762200
2004-10-01,763900
2004-11-01,770500
2004-12-01,776300
2005-01-01,775200
2005-02-01,772900
2005-03-01,773500
2005-04-01,775500
2005-05-01,776400
2005-06-01,780700
2005-07-01,782900
2005-08-01,782700
2005-09-01,787900
2005-10-01,787200
2005-11-01,793500
2005-12-01,803100
2006-01-01,804200
2006-02-01,804900
2006-03-01,810100
2006-04-01,809200
2006-05-01,812600
2006-06-01,812400
2006-07-01,811500
2006-08-01,809700
2006-09-01,810400
2006-10-01,809800
2006-11-01,816800
2006-12-01,826700
2007-01-01,823000
2007-02-01,820000
2007-03-01,820900
2007-04-01,823000
2007-05-01,825700
2007-06-01,827200
2007-07-01,828900
2007-08-01,829600
2007-09-01,827400
2007-10-01,829000
2007-11-01,834300
2007-12-01,837200
2008-01-01,830600
2008-02-01,829500
2008-03-01,833000
2008-04-01,830200
2008-05-01,834700
2008-06-01,840200
2008-07-01,847000
2008-08-01,847600
2008-09-01,909700
2008-10-01,1136400
2008-11-01,1442300
2008-12-01,1666400
2009-01-01,1712000
2009-02-01,1561700
2009-03-01,1647300
2009-04-01,1753200
2009-05-01,1775100
2009-06-01,1683700
2009-07-01,1673600
2009-08-01,1710800
2009-09-01,1801200
2009-10-01,1936300
2009-11-01,2024600
2009-12-01,2026200
2010-01-01,1995000
2010-02-01,2115200
2010-03-01,2079600
2010-04-01,2014400
2010-05-01,2012300
2010-06-01,2002400
2010-07-01,1994300
2010-08-01,1993700
2010-09-01,1961200
2010-10-01,1961700
2010-11-01,1973100
2010-12-01,2017000
2011-01-01,2047900
2011-02-01,2211600
2011-03-01,2395300
2011-04-01,2496600
2011-05-01,2567200
2011-06-01,2648500
2011-07-01,2684800
2011-08-01,2657700
2011-09-01,2637700
2011-10-01,2637800
2011-11-01,2605400
2011-12-01,2619600
2012-01-01,2640800
2012-02-01,2694400
2012-03-01,2655200
2012-04-01,2639800
2012-05-01,2616500
2012-06-01,2618800
2012-07-01,2647800
2012-08-01,2650700
2012-09-01,2594900
2012-10-01,2611800
2012-11-01,2646800
2012-12-01,2675900
2013-01-01,2741700
2013-02-01,2845300
2013-03-01,2935000
2013-04-01,3011700
2013-05-01,3116900
2013-06-01,3201500
2013-07-01,3290900
2013-08-01,3398900
2013-09-01,3486900
2013-10-01,3589500
2013-11-01,3684600
2013-12-01,3717500
2014-01-01,3728500
2014-02-01,3833400
2014-03-01,3885900
2014-04-01,3930700
2014-05-01,3911500
2014-06-01,3948700
2014-07-01,3989100
2014-08-01,4075000
2014-09-01,4049200
2014-10-01,4001500
2014-11-01,3830400
2014-12-01,3934500
2015-01-01,4017100
2015-02-01,3840500
2015-03-01,4030600
2015-04-01,4059400
2015-05-01,3949400
2015-06-01,3919600
2015-07-01,3961200
2015-08-01,3984000
2015-09-01,4028500
2015-10-01,4060500
2015-11-01,4006700
2015-12-01,3835800
2016-01-01,3792700
2016-02-01,3872500
2016-03-01,3898400
2016-04-01,3872900
2016-05-01,3836500
2016-06-01,3825500
2016-07-01,3772500
2016-08-01,3816700
2016-09-01,3735900
2016-10-01,3572100
2016-11-01,3629800
2016-12-01,3531600
2017-01-01,3595500
2017-02-01,3746400
2017-03-01,3856300
