"Date","STLPPMMID"
2013-10-01,0.41291279
2013-11-01,0.3270036
2013-12-01,0.46198182
2014-01-01,0.50929749
2014-02-01,0.47707555
2014-03-01,0.41373707
2014-04-01,0.58494088
2014-05-01,0.61476639
2014-06-01,0.61720924
2014-07-01,0.53374771
2014-08-01,0.59825465
2014-09-01,0.49721731
2014-10-01,0.49065873
2014-11-01,0.36665065
2014-12-01,0.24464552
2015-01-01,0.18761726
2015-02-01,0.08979714
2015-03-01,0.19115644
2015-04-01,0.23525824
2015-05-01,0.22013937
2015-06-01,0.28869508
2015-07-01,0.26241769
2015-08-01,0.18407975
2015-09-01,0.15427301
2015-10-01,0.17958381
2015-11-01,0.16827282
2015-12-01,0.13915997
2016-01-01,0.14166224
2016-02-01,0.22431448
2016-03-01,0.27733728
2016-04-01,0.37249814
2016-05-01,0.46049393
2016-06-01,0.42578794
2016-07-01,0.45405855
2016-08-01,0.43796658
2016-09-01,0.41287902
2016-10-01,0.47275723
2016-11-01,0.54195172
2016-12-01,0.51954332
2017-01-01,0.6185806
2017-02-01,0.64513399
2017-03-01,0.65203011
2017-04-01,0.62352835
2017-05-01,0.63042456
2017-06-01,0.58210385
2017-07-01,0.58795414
2017-08-01,0.51563955
2017-09-01,0.61353982
2017-10-01,0.64491885
2017-11-01,0.60886358
2017-12-01,0.65333127
2018-01-01,0.6614767
2018-02-01,0.66964617
2018-03-01,0.68040863
2018-04-01,0.67076827
2018-05-01,0.67010551
2018-06-01,0.52276977
2018-07-01,0.64158915
2018-08-01,0.62661441
2018-09-01,0.57975207
2018-10-01,0.66193461
2018-11-01,0.65956157
2018-12-01,0.62425438
2019-01-01,0.53160251
2019-02-01,0.44736665
2019-03-01,0.56893691
2019-04-01,0.63595887
2019-05-01,0.69013413
2019-06-01,0.48165139
2019-07-01,0.44633928
2019-08-01,0.46126331
2019-09-01,0.49356141
2019-10-01,0.39345883
2019-11-01,0.50581761
2019-12-01,0.39859244
2020-01-01,0.66943055
2020-02-01,0.7030885
2020-03-01,0.59244349
2020-04-01,0.14927451
2020-05-01,0.02713229
2020-06-01,0.3787651
2020-07-01,0.55118604
2020-08-01,0.59749717
2020-09-01,0.61938525
2020-10-01,0.66299618
2020-11-01,0.59691186
2020-12-01,0.48221688
2021-01-01,0.63617
2021-02-01,0.64116009
2021-03-01,0.60791734
2021-04-01,0.16289765
2021-05-01,0.10827836
2021-06-01,0.1073439
2021-07-01,0.13092159
2021-08-01,0.16150626
2021-09-01,0.18158832
2021-10-01,0.22161146
2021-11-01,0.12711991
2021-12-01,0.08021509
2022-01-01,0.09699694
2022-02-01,0.08256512
2022-03-01,0.03950148
2022-04-01,0.03096409
2022-05-01,0.03722739
2022-06-01,0.04316382
2022-07-01,0.04710725
2022-08-01,0.06118333
2022-09-01,0.08049381
2022-10-01,0.1646022
2022-11-01,0.19554422
2022-12-01,0.09990108
2023-01-01,0.26172394
2023-02-01,0.14593899
2023-03-01,0.20528129
2023-04-01,0.30236808
2023-05-01,0.23873409
2023-06-01,0.30513734
2023-07-01,0.47544082
2023-08-01,0.12150137
2023-09-01,0.22187518
