"Date","STDTI"
1967-11-01,25.7
1967-12-01,27.1
1968-01-01,28.1
1968-02-01,29.4
1968-03-01,29.9
1968-04-01,30.5
1968-05-01,31.2
1968-06-01,32.1
1968-07-01,32.8
1968-08-01,33.4
1968-09-01,33.8
1968-10-01,35.1
1968-11-01,36.4
1968-12-01,37.1
1969-01-01,37.7
1969-02-01,39.3
1969-03-01,39.4
1969-04-01,40.2
1969-05-01,40.9
1969-06-01,41.3
1969-07-01,42.6
1969-08-01,44.2
1969-09-01,45.3
1969-10-01,46.7
1969-11-01,47.7
1969-12-01,48.8
1970-01-01,49.3
1970-02-01,52.1
1970-03-01,55.5
1970-04-01,58.7
1970-05-01,61.7
1970-06-01,63.3
1970-07-01,65.3
1970-08-01,67
1970-09-01,68.1
1970-10-01,69.3
1970-11-01,70.6
1970-12-01,71.9
1971-01-01,73.6
1971-02-01,75.5
1971-03-01,77.9
1971-04-01,79.8
1971-05-01,81.7
1971-06-01,83.2
1971-07-01,84.9
1971-08-01,86.7
1971-09-01,88.7
1971-10-01,90.7
1971-11-01,92.8
1971-12-01,95.1
1972-01-01,97.4
1972-02-01,99.7
1972-03-01,102
1972-04-01,103.9
1972-05-01,106.4
1972-06-01,108.5
1972-07-01,111.1
1972-08-01,113.6
1972-09-01,116.2
1972-10-01,118.9
1972-11-01,121.4
1972-12-01,123.4
1973-01-01,125.9
1973-02-01,128.1
1973-03-01,129.5
1973-04-01,131.1
1973-05-01,133.5
1973-06-01,135.6
1973-07-01,137.2
1973-08-01,139.4
1973-09-01,142.1
1973-10-01,144.3
1973-11-01,146.8
1973-12-01,149
1974-01-01,150.8
1974-02-01,152.5
1974-03-01,154.3
1974-04-01,155.6
1974-05-01,156.6
1974-06-01,158
1974-07-01,159.4
1974-08-01,160.3
1974-09-01,161.3
1974-10-01,162.3
1974-11-01,163.4
1974-12-01,164.8
1975-01-01,165.9
1975-02-01,167.6
1975-03-01,170.1
1975-04-01,172.7
1975-05-01,175.6
1975-06-01,178.8
1975-07-01,182.1
1975-08-01,185.1
1975-09-01,187.5
1975-10-01,190.2
1975-11-01,192.7
1975-12-01,195.5
1976-01-01,198.7
1976-02-01,201.9
1976-03-01,205.1
1976-04-01,208.8
1976-05-01,212.4
1976-06-01,215.4
1976-07-01,218.2
1976-08-01,221.4
1976-09-01,224.8
1976-10-01,228.3
1976-11-01,231.4
1976-12-01,235.2
1977-01-01,239.3
1977-02-01,242.8
1977-03-01,246.2
1977-04-01,249.7
1977-05-01,253.7
1977-06-01,257.7
1977-07-01,261.4
1977-08-01,265.3
1977-09-01,269.1
1977-10-01,272.4
1977-11-01,275.1
1977-12-01,278
1978-01-01,280.4
1978-02-01,282.4
1978-03-01,285.1
1978-04-01,288.4
1978-05-01,291.6
1978-06-01,297.2
1978-07-01,304.7
1978-08-01,310.3
1978-09-01,315.6
1978-10-01,321.2
1978-11-01,328.1
1978-12-01,335.8
1979-01-01,344.1
1979-02-01,351.5
1979-03-01,358.2
1979-04-01,364.6
1979-05-01,368.6
1979-06-01,371.3
1979-07-01,373.5
1979-08-01,376.4
1979-09-01,381.5
1979-10-01,388.4
1979-11-01,395
1979-12-01,398.7
1980-01-01,401.5
1980-02-01,404.9
1980-03-01,410.7
1980-04-01,419.6
1980-05-01,425.8
1980-06-01,425.8
1980-07-01,423.3
1980-08-01,421.8
1980-09-01,422.7
1980-10-01,425.2
1980-11-01,432.3
1980-12-01,442.3
1981-01-01,452
1981-02-01,455.9
1981-03-01,459.1
1981-04-01,458.7
1981-05-01,462.5
1981-06-01,466.3
1981-07-01,465.4
1981-08-01,468.8
1981-09-01,471.1
1981-10-01,475.3
1981-11-01,475.5
1981-12-01,475.4
1982-01-01,473.8
1982-02-01,476.5
1982-03-01,480.3
1982-04-01,483.4
1982-05-01,485.6
1982-06-01,486.8
1982-07-01,489.4
1982-08-01,489.2
1982-09-01,488.7
1982-10-01,483.6
1982-11-01,480.9
1982-12-01,471
1983-01-01,438
1983-02-01,415.1
1983-03-01,406
1983-04-01,405.7
1983-05-01,403.1
1983-06-01,402.6
1983-07-01,406.2
1983-08-01,410.8
1983-09-01,414.9
1983-10-01,421.2
1983-11-01,428.3
1983-12-01,433.1
1984-01-01,439.4
1984-02-01,445.8
1984-03-01,449.1
1984-04-01,452.4
1984-05-01,457.1
1984-06-01,463.2
1984-07-01,470.2
1984-08-01,478.9
1984-09-01,486.2
1984-10-01,493.4
1984-11-01,498
1984-12-01,500.9
1985-01-01,501
1985-02-01,499.2
1985-03-01,498.3
1985-04-01,498.6
1985-05-01,501
1985-06-01,502
1985-07-01,500.2
1985-08-01,497.5
1985-09-01,496.4
1985-10-01,496.4
1985-11-01,496.9
1985-12-01,499.3
1986-01-01,501.2
1986-02-01,502
1986-03-01,504.6
1986-04-01,506.3
1986-05-01,504.6
1986-06-01,502.3
1986-07-01,501.7
1986-08-01,500.3
1986-09-01,498.7
1986-10-01,495.3
1986-11-01,491.1
1986-12-01,489
1987-01-01,487.5
1987-02-01,485.6
1987-03-01,485.4
1987-04-01,485.1
1987-05-01,485.1
1987-06-01,489.3
1987-07-01,494
1987-08-01,498.9
1987-09-01,504.1
1987-10-01,510.3
1987-11-01,520.3
1987-12-01,529.3
1988-01-01,537.8
1988-02-01,549.7
1988-03-01,556.7
1988-04-01,561
1988-05-01,564.3
1988-06-01,566
1988-07-01,567.8
1988-08-01,570.1
1988-09-01,574.8
1988-10-01,581.1
1988-11-01,583.5
1988-12-01,585.9
1989-01-01,589.7
1989-02-01,591.8
1989-03-01,593.2
1989-04-01,599
1989-05-01,608
1989-06-01,616.7
1989-07-01,621.9
1989-08-01,624
1989-09-01,622.8
1989-10-01,621
1989-11-01,617.6
1989-12-01,617.6
1990-01-01,614.9
1990-02-01,610.9
1990-03-01,609.8
1990-04-01,608.3
1990-05-01,600.2
1990-06-01,591.6
1990-07-01,586
1990-08-01,583.8
1990-09-01,579.5
1990-10-01,571.5
1990-11-01,569.8
1990-12-01,562.6
1991-01-01,559.1
1991-02-01,553.7
1991-03-01,546.5
1991-04-01,542.2
1991-05-01,534.3
1991-06-01,521.6
1991-07-01,510.9
1991-08-01,498
1991-09-01,489.2
1991-10-01,479.7
1991-11-01,471.6
1991-12-01,463.1
1992-01-01,453.7
1992-02-01,441.9
1992-03-01,431.2
1992-04-01,416.3
1992-05-01,406.9
1992-06-01,400.4
1992-07-01,394.4
1992-08-01,388
1992-09-01,382.5
1992-10-01,374
1992-11-01,366.8
1992-12-01,359.7
1993-01-01,354
1993-02-01,346.4
1993-03-01,342
1993-04-01,339.6
1993-05-01,337.1
1993-06-01,332.9
1993-07-01,328.6
1993-08-01,325.1
1993-09-01,321.9
1993-10-01,319.3
1993-11-01,317.5
1993-12-01,313.5
1994-01-01,310.6
1994-02-01,307.1
1994-03-01,305.1
1994-04-01,304
1994-05-01,302.6
1994-06-01,302.1
1994-07-01,303.9
1994-08-01,303.9
1994-09-01,304.8
1994-10-01,308
1994-11-01,312.6
1994-12-01,313.9
1995-01-01,318.9
1995-02-01,327
1995-03-01,336.3
1995-04-01,344.5
1995-05-01,350.6
1995-06-01,350.7
1995-07-01,351.2
1995-08-01,351.8
1995-09-01,353.1
1995-10-01,354.3
1995-11-01,355.5
1995-12-01,356.5
1996-01-01,353.8
1996-02-01,354.3
1996-03-01,353
1996-04-01,353
1996-05-01,352.8
1996-06-01,351.9
1996-07-01,351.3
1996-08-01,352.5
1996-09-01,353.1
1996-10-01,354.3
1996-11-01,354.3
1996-12-01,353.7
1997-01-01,354.3
1997-02-01,355.2
1997-03-01,352.5
1997-04-01,351.4
1997-05-01,352.7
1997-06-01,351.1
1997-07-01,347.6
1997-08-01,347.5
1997-09-01,345.6
1997-10-01,344.9
1997-11-01,342.1
1997-12-01,342.2
1998-01-01,343.5
1998-02-01,343
1998-03-01,341.9
1998-04-01,339.7
1998-05-01,339.1
1998-06-01,339.1
1998-07-01,337.2
1998-08-01,332.1
1998-09-01,330.4
1998-10-01,329.7
1998-11-01,326.5
1998-12-01,324.9
1999-01-01,323.5
1999-02-01,322.2
1999-03-01,320.5
1999-04-01,319
1999-05-01,316.7
1999-06-01,313.6
1999-07-01,312.9
1999-08-01,312.8
1999-09-01,313.6
1999-10-01,314.3
1999-11-01,316.6
1999-12-01,318.2
2000-01-01,320.5
2000-02-01,322.2
2000-03-01,323.9
2000-04-01,323.4
2000-05-01,324.1
2000-06-01,325.8
2000-07-01,330.1
2000-08-01,334.9
2000-09-01,339.1
2000-10-01,342.6
2000-11-01,344.4
2000-12-01,345.2
2001-01-01,348.4
2001-02-01,350.4
2001-03-01,350.4
2001-04-01,351.2
2001-05-01,353.2
2001-06-01,351.6
2001-07-01,349.8
2001-08-01,347.1
2001-09-01,345.8
2001-10-01,342.5
2001-11-01,338.4
2001-12-01,338.5
2002-01-01,332.8
2002-02-01,329
2002-03-01,326
2002-04-01,323.1
2002-05-01,314.8
2002-06-01,311.8
2002-07-01,310.5
2002-08-01,308.9
2002-09-01,306.8
2002-10-01,305.3
2002-11-01,304.3
2002-12-01,303.4
2003-01-01,301.4
2003-02-01,298.7
2003-03-01,297.1
2003-04-01,295.5
2003-05-01,292.8
2003-06-01,289.7
2003-07-01,286.7
2003-08-01,282.9
2003-09-01,280.7
2003-10-01,278.9
2003-11-01,277.4
2003-12-01,276.2
2004-01-01,274.7
2004-02-01,273.9
2004-03-01,273.4
2004-04-01,272.6
2004-05-01,270.5
2004-06-01,269.8
2004-07-01,270.3
2004-08-01,270.6
2004-09-01,271.1
2004-10-01,272.7
2004-11-01,273.4
2004-12-01,276.1
2005-01-01,280.6
2005-02-01,285.8
2005-03-01,289.5
2005-04-01,297
2005-05-01,303.9
2005-06-01,309.1
2005-07-01,313
2005-08-01,319.3
2005-09-01,323.8
2005-10-01,336.2
2005-11-01,342.6
2005-12-01,346.4
2006-01-01,351.2
2006-02-01,357.1
2006-03-01,363.5
2006-04-01,371
2006-05-01,379.9
2006-06-01,388.2
2006-07-01,397.9
2006-08-01,408.3
2006-09-01,417.7
2006-10-01,415.6
2006-11-01,420.4
2006-12-01,424.6
2007-01-01,428.1
2007-02-01,430.1
2007-03-01,445.5
2007-04-01,450.7
2007-05-01,452.9
2007-06-01,452.1
2007-07-01,448.5
2007-08-01,449.8
2007-09-01,452.2
2007-10-01,430.4
2007-11-01,416.2
2007-12-01,416.4
2008-01-01,420.4
2008-02-01,421.2
2008-03-01,417.9
2008-04-01,418.3
2008-05-01,415.9
2008-06-01,410
2008-07-01,405.4
2008-08-01,407.4
2008-09-01,403.3
2008-10-01,371.4
2008-11-01,377
2008-12-01,377.9
2009-01-01,379.2
2009-02-01,380.2
2009-03-01,381
2009-04-01,375.3
2009-05-01,361.2
2009-06-01,356.4
2009-07-01,351.4
2009-08-01,340.5
2009-09-01,331.7
2009-10-01,327.6
2009-11-01,321.9
2009-12-01,318.9
2010-01-01,314.7
2010-02-01,309.9
2010-03-01,306
2010-04-01,301
2010-05-01,296.6
2010-06-01,292.3
2010-07-01,288.6
2010-08-01,285.8
2010-09-01,282.1
2010-10-01,278.3
2010-11-01,274.3
2010-12-01,270.4
2011-01-01,265.2
2011-02-01,261.4
2011-03-01,258.2
2011-04-01,254.7
2011-05-01,252
2011-06-01,249.3
2011-07-01,245.8
2011-08-01,242.4
2011-09-01,239.1
2011-10-01,235.4
2011-11-01,232.1
2011-12-01,229
2012-01-01,221.9
2012-02-01,211.8
2012-03-01,205.9
2012-04-01,203.2
2012-05-01,200.7
2012-06-01,199.3
2012-07-01,195.5
2012-08-01,193
2012-09-01,189.7
2012-10-01,186.3
2012-11-01,179.9
2012-12-01,177.3
2013-01-01,175
2013-02-01,172.4
2013-03-01,168.1
2013-04-01,164.8
2013-05-01,161.4
2013-06-01,158.3
2013-07-01,153
2013-08-01,150
2013-09-01,149.2
2013-10-01,147.2
2013-11-01,145.3
2013-12-01,144.7
2014-01-01,142.7
2014-02-01,141.1
2014-03-01,138.7
2014-04-01,138.2
2014-05-01,136.8
2014-06-01,136.4
2014-07-01,135.4
2014-08-01,134.8
2014-09-01,134.6
2014-10-01,133.8
2014-11-01,132.8
2014-12-01,132
2015-01-01,130.4
2015-02-01,127.9
2015-03-01,126
2015-04-01,125.5
2015-05-01,124.4
2015-06-01,123.1
2015-07-01,121.5
2015-08-01,121.1
2015-09-01,120.5
2015-10-01,119.2
2015-11-01,111.8
2015-12-01,110.4
2016-01-01,109.6
2016-02-01,108.8
2016-03-01,109.1
2016-04-01,108.9
2016-05-01,107.8
2016-06-01,106.7
2016-07-01,105.9
2016-08-01,105.6
2016-09-01,104.8
2016-10-01,104
2016-11-01,102.9
2016-12-01,101.6
2017-01-01,100.3
2017-02-01,98.5
2017-03-01,97
2017-04-01,96.2
2017-05-01,97.8
2017-06-01,99
2017-07-01,100.1
2017-08-01,102.8
2017-09-01,107.3
2017-10-01,109.2
2017-11-01,110.2
2017-12-01,111.7
2018-01-01,110.3
2018-02-01,107.5
2018-03-01,105.4
2018-04-01,100
2018-05-01,101.3
2018-06-01,102.1
2018-07-01,103
2018-08-01,104
2018-09-01,104.4
2018-10-01,105.1
2018-11-01,106.8
2018-12-01,108
2019-01-01,109.4
2019-02-01,114
2019-03-01,117.8
2019-04-01,119.3
2019-05-01,119.7
2019-06-01,122
2019-07-01,123.4
2019-08-01,124.1
2019-09-01,124.1
2019-10-01,124.8
2019-11-01,125.1
2019-12-01,122.3
2020-01-01,117.9
2020-02-01,110.4
2020-03-01,102.5
2020-04-01,94.2
2020-05-01,88.8
2020-06-01,82.9
2020-07-01,78.1
2020-08-01,73.4
2020-09-01,67.6
2020-10-01,60.7
2020-11-01,55.5
2020-12-01,51.2
2021-01-01,49.5
