"Date","BOGAMBSL"
1991-05-01,304.18
1991-06-01,305.481
1991-07-01,307.302
1991-08-01,309.333
1991-09-01,310.726
1991-10-01,312.696
1991-11-01,314.97
1991-12-01,317.523
1992-01-01,319.621
1992-02-01,322.449
1992-03-01,324.383
1992-04-01,326.734
1992-05-01,328.827
1992-06-01,330.201
1992-07-01,333.357
1992-08-01,336.941
1992-09-01,340.646
1992-10-01,344.496
1992-11-01,347.671
1992-12-01,350.885
1993-01-01,353.715
1993-02-01,355.35
1993-03-01,357.923
1993-04-01,360.96
1993-05-01,364.922
1993-06-01,367.885
1993-07-01,371.511
1993-08-01,374.554
1993-09-01,378.113
1993-10-01,381.504
1993-11-01,384.074
1993-12-01,386.72
1994-01-01,390.246
1994-02-01,393.242
1994-03-01,396.074
1994-04-01,398.978
1994-05-01,401.442
1994-06-01,404.339
1994-07-01,407.876
1994-08-01,409.52
1994-09-01,411.695
1994-10-01,413.936
1994-11-01,416.785
1994-12-01,418.474
1995-01-01,421.138
1995-02-01,421.67
1995-03-01,424.823
1995-04-01,427.833
1995-05-01,430.461
1995-06-01,429.995
1995-07-01,430.757
1995-08-01,431.218
1995-09-01,431.955
1995-10-01,432.637
1995-11-01,432.977
1995-12-01,434.645
1996-01-01,434.865
1996-02-01,432.548
1996-03-01,435.994
1996-04-01,436.886
1996-05-01,437.512
1996-06-01,440.014
1996-07-01,442.588
1996-08-01,444.609
1996-09-01,446.085
1996-10-01,446.897
1996-11-01,448.825
1996-12-01,451.935
1997-01-01,453.574
1997-02-01,454.512
1997-03-01,456.242
1997-04-01,457.93
1997-05-01,459.5
1997-06-01,462.2
1997-07-01,464.742
1997-08-01,467.078
1997-09-01,469.213
1997-10-01,471.912
1997-11-01,475.921
1997-12-01,479.798
1998-01-01,482.094
1998-02-01,483.16
1998-03-01,484.814
1998-04-01,486.891
1998-05-01,488.929
1998-06-01,491.83
1998-07-01,494.72
1998-08-01,497.99
1998-09-01,502.775
1998-10-01,506.859
1998-11-01,510.295
1998-12-01,513.821
1999-01-01,516.887
1999-02-01,520.761
1999-03-01,524.941
1999-04-01,528.385
1999-05-01,533.398
1999-06-01,537.095
1999-07-01,540.372
1999-08-01,545.002
1999-09-01,550.063
1999-10-01,557.281
1999-11-01,570.825
1999-12-01,593.383
2000-01-01,590.941
2000-02-01,572.957
2000-03-01,571.685
2000-04-01,572.184
2000-05-01,573.8
2000-06-01,575.897
2000-07-01,577.066
2000-08-01,577.879
2000-09-01,578.269
2000-10-01,580.216
2000-11-01,582.051
2000-12-01,584.928
2001-01-01,587.941
2001-02-01,589.711
2001-03-01,592.279
2001-04-01,595.512
2001-05-01,598.773
2001-06-01,602.131
2001-07-01,608.001
2001-08-01,615.553
2001-09-01,639.414
2001-10-01,630.163
2001-11-01,629.865
2001-12-01,635.575
2002-01-01,641.219
2002-02-01,646.134
2002-03-01,650.001
2002-04-01,653.796
2002-05-01,657.855
2002-06-01,662.906
2002-07-01,668.568
2002-08-01,670.14
2002-09-01,671.34
2002-10-01,673.743
2002-11-01,676.947
2002-12-01,681.486
2003-01-01,685.308
2003-02-01,690.397
2003-03-01,694.616
2003-04-01,697.996
2003-05-01,701.234
2003-06-01,703.576
2003-07-01,705.482
2003-08-01,709.776
2003-09-01,710.959
2003-10-01,714.777
2003-11-01,717.526
2003-12-01,720.115
2004-01-01,721.832
2004-02-01,723.653
2004-03-01,726.36
2004-04-01,730.176
2004-05-01,733.636
2004-06-01,738.478
2004-07-01,746.235
2004-08-01,747.823
2004-09-01,752.415
2004-10-01,755.102
2004-11-01,759.021
2004-12-01,759.085
2005-01-01,760.377
2005-02-01,762.84
2005-03-01,765.108
2005-04-01,766.132
2005-05-01,766.893
2005-06-01,770.674
2005-07-01,773.727
2005-08-01,775.852
2005-09-01,779.546
2005-10-01,781.396
2005-11-01,784.17
2005-12-01,787.369
2006-01-01,791.509
2006-02-01,795.748
2006-03-01,798.044
2006-04-01,800.877
2006-05-01,804.831
2006-06-01,805.085
2006-07-01,804.375
2006-08-01,804.702
2006-09-01,805.798
2006-10-01,806.192
2006-11-01,808.801
2006-12-01,812.367
2007-01-01,813.189
2007-02-01,812.127
2007-03-01,812.856
2007-04-01,815.881
2007-05-01,818.352
2007-06-01,820.002
2007-07-01,821.646
2007-08-01,825.257
2007-09-01,823.4
2007-10-01,825.969
2007-11-01,826.657
2007-12-01,824.809
2008-01-01,821.327
2008-02-01,821.214
2008-03-01,824.326
2008-04-01,823.212
2008-05-01,827.259
2008-06-01,833.192
2008-07-01,840.143
2008-08-01,843.597
2008-09-01,905.134
2008-10-01,1130.219
2008-11-01,1435.07
2008-12-01,1654.974
2009-01-01,1704.691
2009-02-01,1555.526
2009-03-01,1639.985
2009-04-01,1745.92
2009-05-01,1768.242
2009-06-01,1679.798
2009-07-01,1667.915
2009-08-01,1704.097
2009-09-01,1800.396
2009-10-01,1936.059
2009-11-01,2018.999
2009-12-01,2019.228
2010-01-01,1990.33
2010-02-01,2109.893
2010-03-01,2073.917
2010-04-01,2008.256
2010-05-01,2005.699
2010-06-01,1998.659
2010-07-01,1991.729
2010-08-01,1994.664
2010-09-01,1962.397
2010-10-01,1962.569
2010-11-01,1968.84
2010-12-01,2011.078
2011-01-01,2045.246
2011-02-01,2206.968
2011-03-01,2388.588
2011-04-01,2488.232
2011-05-01,2559.33
2011-06-01,2644.873
2011-07-01,2681.18
2011-08-01,2657.705
2011-09-01,2638.154
2011-10-01,2638.313
2011-11-01,2599.462
2011-12-01,2612.081
2012-01-01,2638.114
2012-02-01,2690.184
2012-03-01,2648.07
2012-04-01,2631.478
2012-05-01,2609.131
2012-06-01,2615.664
2012-07-01,2649.396
2012-08-01,2654.458
2012-09-01,2597.251
2012-10-01,2615.62
2012-11-01,2643.297
2012-12-01,2672.578
2013-01-01,2740.902
2013-02-01,2843.658
2013-03-01,2929.464
2013-04-01,3004.48
2013-05-01,3109.893
