"Date","OCMZMA"
1987-05-01,0.0564
1987-06-01,0.0562
1987-07-01,0.0569
1987-08-01,0.0584
1987-09-01,0.0621
1987-10-01,0.0636
1987-11-01,0.0607
1987-12-01,0.0611
1988-01-01,0.0595
1988-02-01,0.0564
1988-03-01,0.0562
1988-04-01,0.0589
1988-05-01,0.0597
1988-06-01,0.0589
1988-07-01,0.0593
1988-08-01,0.0594
1988-09-01,0.0563
1988-10-01,0.0521
1988-11-01,0.0523
1988-12-01,0.0528
1989-01-01,0.0521
1989-02-01,0.054
1989-03-01,0.0585
1989-04-01,0.056
1989-05-01,0.0515
1989-06-01,0.0504
1989-07-01,0.0487
1989-08-01,0.0459
1989-09-01,0.0464
1989-10-01,0.0453
1989-11-01,0.0448
1989-12-01,0.0452
1990-01-01,0.0467
1990-02-01,0.0486
1990-03-01,0.0493
1990-04-01,0.05
1990-05-01,0.0508
1990-06-01,0.0492
1990-07-01,0.0492
1990-08-01,0.0514
1990-09-01,0.0535
1990-10-01,0.0545
1990-11-01,0.0538
1990-12-01,0.0525
1991-01-01,0.0539
1991-02-01,0.0522
1991-03-01,0.053
1991-04-01,0.0527
1991-05-01,0.053
1991-06-01,0.0543
1991-07-01,0.0539
1991-08-01,0.0524
1991-09-01,0.0518
1991-10-01,0.0527
1991-11-01,0.054
1991-12-01,0.0543
1992-01-01,0.0566
1992-02-01,0.0592
1992-03-01,0.06
1992-04-01,0.0603
1992-05-01,0.0604
1992-06-01,0.0603
1992-07-01,0.0599
1992-08-01,0.0593
1992-09-01,0.0599
1992-10-01,0.0626
1992-11-01,0.0639
1992-12-01,0.0626
1993-01-01,0.0615
1993-02-01,0.0595
1993-03-01,0.0578
1993-04-01,0.058
1993-05-01,0.059
1993-06-01,0.0578
1993-07-01,0.0567
1993-08-01,0.054
1993-09-01,0.0519
1993-10-01,0.0517
1993-11-01,0.0549
1993-12-01,0.0553
1994-01-01,0.0551
1994-02-01,0.056
1994-03-01,0.0591
1994-04-01,0.0621
1994-05-01,0.0623
1994-06-01,0.0619
1994-07-01,0.0628
1994-08-01,0.0619
1994-09-01,0.0633
1994-10-01,0.0647
1994-11-01,0.0649
1994-12-01,0.0619
1995-01-01,0.0613
1995-02-01,0.0586
1995-03-01,0.0569
1995-04-01,0.056
1995-05-01,0.0526
1995-06-01,0.0501
1995-07-01,0.0516
1995-08-01,0.0532
1995-09-01,0.051
1995-10-01,0.0494
1995-11-01,0.0488
1995-12-01,0.0472
1996-01-01,0.0475
1996-02-01,0.0497
1996-03-01,0.0535
1996-04-01,0.0552
1996-05-01,0.0563
1996-06-01,0.0572
1996-07-01,0.0566
1996-08-01,0.0551
1996-09-01,0.0566
1996-10-01,0.0542
1996-11-01,0.0517
1996-12-01,0.0526
1997-01-01,0.0545
1997-02-01,0.0532
1997-03-01,0.0553
1997-04-01,0.0565
1997-05-01,0.055
1997-06-01,0.0532
1997-07-01,0.0509
1997-08-01,0.0514
1997-09-01,0.0503
1997-10-01,0.0492
1997-11-01,0.0479
1997-12-01,0.0469
1998-01-01,0.0459
1998-02-01,0.0466
1998-03-01,0.0474
1998-04-01,0.0476
1998-05-01,0.0475
1998-06-01,0.0458
1998-07-01,0.046
1998-08-01,0.0459
1998-09-01,0.0456
1998-10-01,0.0475
1998-11-01,0.0497
1998-12-01,0.0494
1999-01-01,0.0504
1999-02-01,0.0518
1999-03-01,0.0534
1999-04-01,0.0531
1999-05-01,0.0556
1999-06-01,0.0584
1999-07-01,0.0574
1999-08-01,0.0589
1999-09-01,0.0588
1999-10-01,0.0602
1999-11-01,0.0576
1999-12-01,0.0574
2000-01-01,0.0587
2000-02-01,0.0578
2000-03-01,0.0584
2000-04-01,0.0582
2000-05-01,0.0622
2000-06-01,0.0571
2000-07-01,0.0556
2000-08-01,0.0547
2000-09-01,0.0555
2000-10-01,0.0554
2000-11-01,0.0547
2000-12-01,0.0522
2001-01-01,0.0528
2001-02-01,0.0541
2001-03-01,0.0553
2001-04-01,0.0595
2001-05-01,0.0619
2001-06-01,0.0624
2001-07-01,0.0636
2001-08-01,0.0632
2001-09-01,0.0667
2001-10-01,0.0683
2001-11-01,0.0694
2001-12-01,0.0733
2002-01-01,0.0723
2002-02-01,0.073
2002-03-01,0.0753
2002-04-01,0.0747
2002-05-01,0.0753
2002-06-01,0.074
2002-07-01,0.0737
2002-08-01,0.0708
2002-09-01,0.0691
2002-10-01,0.0727
2002-11-01,0.0725
2002-12-01,0.0717
2003-01-01,0.0711
2003-02-01,0.0684
2003-03-01,0.0676
2003-04-01,0.0669
2003-05-01,0.0624
2003-06-01,0.0608
2003-07-01,0.0658
2003-08-01,0.0699
2003-09-01,0.0677
2003-10-01,0.0672
2003-11-01,0.0665
2003-12-01,0.0659
2004-01-01,0.0644
2004-02-01,0.0627
2004-03-01,0.0612
2004-04-01,0.0647
2004-05-01,0.0676
2004-06-01,0.0678
2004-07-01,0.0657
2004-08-01,0.0636
2004-09-01,0.0612
2004-10-01,0.06
2004-11-01,0.0595
2004-12-01,0.0583
2005-01-01,0.0565
2005-02-01,0.0539
2005-03-01,0.0558
2005-04-01,0.0549
2005-05-01,0.0538
2005-06-01,0.052
2005-07-01,0.0524
2005-08-01,0.0518
2005-09-01,0.052
2005-10-01,0.0541
2005-11-01,0.0544
2005-12-01,0.053
2006-01-01,0.0517
2006-02-01,0.0515
2006-03-01,0.0525
2006-04-01,0.0547
2006-05-01,0.0549
2006-06-01,0.0549
2006-07-01,0.054
2006-08-01,0.0519
2006-09-01,0.0506
2006-10-01,0.0504
2006-11-01,0.0502
2006-12-01,0.05
2007-01-01,0.0504
2007-02-01,0.0504
2007-03-01,0.0498
2007-04-01,0.0499
2007-05-01,0.0501
2007-06-01,0.0528
2007-07-01,0.0523
2007-08-01,0.0523
2007-09-01,0.0519
2007-10-01,0.0514
2007-11-01,0.0515
2007-12-01,0.055
2008-01-01,0.0551
2008-02-01,0.0622
2008-03-01,0.0655
2008-04-01,0.0682
2008-05-01,0.0682
2008-06-01,0.0696
2008-07-01,0.0706
2008-08-01,0.0705
2008-09-01,0.0726
2008-10-01,0.0909
2008-11-01,0.0958
2008-12-01,0.0893
2009-01-01,0.0879
2009-02-01,0.0883
2009-03-01,0.0924
2009-04-01,0.0926
2009-05-01,0.0895
2009-06-01,0.0835
2009-07-01,0.0794
2009-08-01,0.074
2009-09-01,0.0713
2009-10-01,0.0712
2009-11-01,0.0717
2009-12-01,0.0726
2010-01-01,0.0714
2010-02-01,0.0725
2010-03-01,0.0718
2010-04-01,0.0715
2010-05-01,0.0693
2010-06-01,0.0713
2010-07-01,0.0689
2010-08-01,0.0651
2010-09-01,0.0651
2010-10-01,0.0658
2010-11-01,0.0681
2010-12-01,0.0699
2011-01-01,0.0699
2011-02-01,0.0705
2011-03-01,0.0693
2011-04-01,0.0693
2011-05-01,0.0666
2011-06-01,0.0663
2011-07-01,0.0664
2011-08-01,0.062
2011-09-01,0.0611
2011-10-01,0.0622
2011-11-01,0.0596
2011-12-01,0.0608
2012-01-01,0.0606
2012-02-01,0.0596
2012-03-01,0.0606
2012-04-01,0.0602
2012-05-01,0.0588
2012-06-01,0.0582
2012-07-01,0.0566
2012-08-01,0.057
2012-09-01,0.0563
2012-10-01,0.0534
2012-11-01,0.0526
2012-12-01,0.054
2013-01-01,0.0551
2013-02-01,0.0563
2013-03-01,0.0564
2013-04-01,0.0534
2013-05-01,0.055
2013-06-01,0.0602
2013-07-01,0.0617
2013-08-01,0.0628
2013-09-01,0.0633
2013-10-01,0.0614
2013-11-01,0.0622
2013-12-01,0.0622
