"Date","STDNS"
1994-02-01,769.9
1994-03-01,766
1994-04-01,763.9
1994-05-01,764.4
1994-06-01,768.3
1994-07-01,774.6
1994-08-01,780.2
1994-09-01,786.1
1994-10-01,796.2
1994-11-01,805.7
1994-12-01,815.8
1995-01-01,833.6
1995-02-01,853.9
1995-03-01,876.7
1995-04-01,893.6
1995-05-01,906.7
1995-06-01,914.2
1995-07-01,920.4
1995-08-01,922.9
1995-09-01,924.6
1995-10-01,926.9
1995-11-01,929.2
1995-12-01,930.8
1996-01-01,933.7
1996-02-01,935.4
1996-03-01,934
1996-04-01,933.4
1996-05-01,931.8
1996-06-01,931.5
1996-07-01,933.9
1996-08-01,937
1996-09-01,939.7
1996-10-01,944
1996-11-01,946
1996-12-01,947
1997-01-01,950.4
1997-02-01,952.6
1997-03-01,953
1997-04-01,954.4
1997-05-01,957.4
1997-06-01,960.9
1997-07-01,964.4
1997-08-01,965.1
1997-09-01,965.7
1997-10-01,968.1
1997-11-01,967.7
1997-12-01,967.5
1998-01-01,971.1
1998-02-01,971.5
1998-03-01,969.6
1998-04-01,967.5
1998-05-01,964
1998-06-01,963.2
1998-07-01,962
1998-08-01,959
1998-09-01,958.2
1998-10-01,959.2
1998-11-01,956.5
1998-12-01,951.8
1999-01-01,948.7
1999-02-01,944.2
1999-03-01,939.5
1999-04-01,935.7
1999-05-01,931
1999-06-01,926.7
1999-07-01,928.6
1999-08-01,930.7
1999-09-01,936.3
1999-10-01,943.4
1999-11-01,951.1
1999-12-01,956
2000-01-01,965.9
2000-02-01,974
2000-03-01,980.2
2000-04-01,987.9
2000-05-01,991.3
2000-06-01,1000.8
2000-07-01,1011.8
2000-08-01,1021.8
2000-09-01,1029.4
2000-10-01,1037
2000-11-01,1042.7
2000-12-01,1047
2001-01-01,1054.1
2001-02-01,1054
2001-03-01,1048.5
2001-04-01,1042.9
2001-05-01,1037.3
2001-06-01,1028.4
2001-07-01,1020.9
2001-08-01,1015.4
2001-09-01,1010.4
2001-10-01,1002.9
2001-11-01,990.3
2001-12-01,975
2002-01-01,962.1
2002-02-01,950.6
2002-03-01,940
2002-04-01,931.7
2002-05-01,926.5
2002-06-01,922.7
2002-07-01,919.4
2002-08-01,915.7
2002-09-01,908.9
2002-10-01,904.3
2002-11-01,900.8
2002-12-01,894.6
2003-01-01,888.9
2003-02-01,882.4
2003-03-01,876.8
2003-04-01,871.6
2003-05-01,864.5
2003-06-01,857.3
2003-07-01,846.7
2003-08-01,837.2
2003-09-01,830.6
2003-10-01,825.7
2003-11-01,821.4
2003-12-01,817.9
2004-01-01,815.6
2004-02-01,813.4
2004-03-01,810.9
2004-04-01,808.2
2004-05-01,804.6
2004-06-01,803.9
2004-07-01,804.8
2004-08-01,808.2
2004-09-01,811.7
2004-10-01,816.9
2004-11-01,822.2
2004-12-01,828.4
2005-01-01,840.6
2005-02-01,853.9
2005-03-01,867.9
2005-04-01,884
2005-05-01,901
2005-06-01,917
2005-07-01,931.8
2005-08-01,947.7
2005-09-01,961.3
2005-10-01,971.3
2005-11-01,983
2005-12-01,994.2
2006-01-01,1009.1
2006-02-01,1026.3
2006-03-01,1043.9
2006-04-01,1062.3
2006-05-01,1080.6
2006-06-01,1100.4
2006-07-01,1124.9
2006-08-01,1149.6
2006-09-01,1171.6
2006-10-01,1190.5
2006-11-01,1201.5
2006-12-01,1207.9
2007-01-01,1217.3
2007-02-01,1226
2007-03-01,1233
2007-04-01,1240.6
2007-05-01,1241.8
2007-06-01,1242.5
2007-07-01,1245.8
2007-08-01,1251.9
2007-09-01,1266.9
2007-10-01,1275.7
2007-11-01,1279
2007-12-01,1279.1
2008-01-01,1288.2
2008-02-01,1290.5
2008-03-01,1280.6
2008-04-01,1276.3
2008-05-01,1270.9
2008-06-01,1267.9
2008-07-01,1279.7
2008-08-01,1308.3
2008-09-01,1338.1
2008-10-01,1403.5
2008-11-01,1440.5
2008-12-01,1461.3
2009-01-01,1455
2009-02-01,1441.2
2009-03-01,1425.6
2009-04-01,1401.5
2009-05-01,1380.2
2009-06-01,1357.5
2009-07-01,1330.8
2009-08-01,1302.7
2009-09-01,1274.1
2009-10-01,1242.4
2009-11-01,1218.9
2009-12-01,1190.3
2010-01-01,1163.6
2010-02-01,1142.3
2010-03-01,1119.7
2010-04-01,1097.8
2010-05-01,1075
2010-06-01,1057.1
2010-07-01,1041.2
2010-08-01,1024.1
2010-09-01,1003.3
2010-10-01,980
2010-11-01,957.3
2010-12-01,933.7
2011-01-01,916.7
2011-02-01,904
2011-03-01,890
2011-04-01,876.8
2011-05-01,861.8
2011-06-01,847.8
2011-07-01,833.8
2011-08-01,818.1
2011-09-01,804.2
2011-10-01,791.8
2011-11-01,782
2011-12-01,774.6
2012-01-01,766.5
2012-02-01,756.6
2012-03-01,743.4
2012-04-01,731.6
2012-05-01,719.5
2012-06-01,710
2012-07-01,699.9
2012-08-01,689.9
2012-09-01,679.6
2012-10-01,667.5
2012-11-01,654.8
2012-12-01,642.5
2013-01-01,636.2
2013-02-01,629.2
2013-03-01,627.5
2013-04-01,620.7
2013-05-01,610.4
2013-06-01,596.4
2013-07-01,586.2
2013-08-01,580.4
2013-09-01,573.6
2013-10-01,570
2013-11-01,565.7
2013-12-01,566
2014-01-01,560
2014-02-01,558.6
2014-03-01,555.4
2014-04-01,551.3
2014-05-01,549
2014-06-01,545.9
2014-07-01,544.5
2014-08-01,540
2014-09-01,533.7
2014-10-01,530
2014-11-01,523.7
2014-12-01,518.3
2015-01-01,515.6
2015-02-01,514.4
2015-03-01,504.6
2015-04-01,495.6
2015-05-01,486.3
2015-06-01,477.6
2015-07-01,467.7
2015-08-01,455.8
2015-09-01,440.6
2015-10-01,433.6
2015-11-01,427.5
2015-12-01,420.8
2016-01-01,418.1
2016-02-01,416
2016-03-01,410.4
2016-04-01,405.6
2016-05-01,402.1
2016-06-01,398.6
2016-07-01,395.9
2016-08-01,388.8
2016-09-01,382.7
2016-10-01,376.6
2016-11-01,370.6
2016-12-01,363.5
2017-01-01,362.4
2017-02-01,365.9
2017-03-01,368.1
2017-04-01,374
2017-05-01,380.2
2017-06-01,388
2017-07-01,396.2
2017-08-01,403.9
2017-09-01,414.5
2017-10-01,420.2
2017-11-01,423.5
2017-12-01,426.7
2018-01-01,433.6
2018-02-01,441.2
2018-03-01,451
2018-04-01,464
2018-05-01,477.5
2018-06-01,492
2018-07-01,503.8
2018-08-01,513.5
2018-09-01,524.9
2018-10-01,529.7
2018-11-01,537.9
2018-12-01,546.6
2019-01-01,567.8
2019-02-01,591.8
2019-03-01,611.5
2019-04-01,624.4
2019-05-01,628.3
2019-06-01,638.1
2019-07-01,638
2019-08-01,635.3
2019-09-01,629.3
2019-10-01,619.2
2019-11-01,607.8
2019-12-01,596.5
2020-01-01,579.4
2020-02-01,549.1
2020-03-01,516
2020-04-01,497.9
2020-05-01,480.8
2020-06-01,452
2020-07-01,418.5
2020-08-01,381.3
2020-09-01,349.9
2020-10-01,314.7
2020-11-01,276.5
2020-12-01,248.4
2021-01-01,229.7
2021-02-01,210.2
2021-03-01,192.4
2021-04-01,174.3
2021-05-01,163
2021-06-01,154.4
2021-07-01,143.9
2021-08-01,130.5
2021-09-01,118.3
2021-10-01,107.6
2021-11-01,97.5
2021-12-01,86.5
2022-01-01,76
2022-02-01,58
2022-03-01,45.3
2022-04-01,36.7
2022-05-01,36.5
2022-06-01,50.3
2022-07-01,79.6
2022-08-01,130.3
2022-09-01,174.2
2022-10-01,234.4
2022-11-01,304.3
2022-12-01,380.8
2023-01-01,450.5
2023-02-01,525.8
2023-03-01,613.7
2023-04-01,720.4
2023-05-01,804.3
2023-06-01,869.4
2023-07-01,911.4
2023-08-01,945
2023-09-01,968.3
2023-10-01,989.9
