"Date","SVGTI"
1967-05-01,165.8
1967-06-01,166.8
1967-07-01,167.4
1967-08-01,168.2
1967-09-01,169.1
1967-10-01,169.2
1967-11-01,169.5
1967-12-01,169.6
1968-01-01,168.9
1968-02-01,169
1968-03-01,169.6
1968-04-01,169.5
1968-05-01,169.7
1968-06-01,170.1
1968-07-01,169.9
1968-08-01,170.3
1968-09-01,171.3
1968-10-01,171.3
1968-11-01,171.6
1968-12-01,172.8
1969-01-01,172.6
1969-02-01,172.3
1969-03-01,173.2
1969-04-01,172.6
1969-05-01,172.4
1969-06-01,173.1
1969-07-01,171.8
1969-08-01,170.5
1969-09-01,170.6
1969-10-01,169.7
1969-11-01,169.5
1969-12-01,169.8
1970-01-01,169
1970-02-01,165.2
1970-03-01,162.2
1970-04-01,159.3
1970-05-01,157.6
1970-06-01,157.3
1970-07-01,157.4
1970-08-01,157.8
1970-09-01,159.1
1970-10-01,160.1
1970-11-01,161.1
1970-12-01,162.3
1971-01-01,163.8
1971-02-01,164.9
1971-03-01,166.1
1971-04-01,167.6
1971-05-01,169.6
1971-06-01,171.3
1971-07-01,173.2
1971-08-01,174.8
1971-09-01,176.3
1971-10-01,177.5
1971-11-01,178.5
1971-12-01,179.4
1972-01-01,180.6
1972-02-01,181.8
1972-03-01,183.2
1972-04-01,184.3
1972-05-01,185.3
1972-06-01,186.6
1972-07-01,188.4
1972-08-01,190.2
1972-09-01,192
1972-10-01,193.4
1972-11-01,195.1
1972-12-01,196.6
1973-01-01,197.7
1973-02-01,198.3
1973-03-01,199.1
1973-04-01,199.4
1973-05-01,199.8
1973-06-01,200.6
1973-07-01,201.1
1973-08-01,199.7
1973-09-01,198.7
1973-10-01,198.5
1973-11-01,198.3
1973-12-01,198.7
1974-01-01,198.9
1974-02-01,199
1974-03-01,199.5
1974-04-01,199.7
1974-05-01,199.3
1974-06-01,199.1
1974-07-01,199.2
1974-08-01,198.8
1974-09-01,199
1974-10-01,199.6
1974-11-01,200.5
1974-12-01,201.8
1975-01-01,203.3
1975-02-01,205.1
1975-03-01,207.4
1975-04-01,210
1975-05-01,212.9
1975-06-01,215.9
1975-07-01,218.6
1975-08-01,220.6
1975-09-01,222.5
1975-10-01,224.1
1975-11-01,226
1975-12-01,227.6
1976-01-01,229.5
1976-02-01,232
1976-03-01,234.1
1976-04-01,236
1976-05-01,237.8
1976-06-01,238.9
1976-07-01,240.6
1976-08-01,242.8
1976-09-01,244.7
1976-10-01,247
1976-11-01,249.7
1976-12-01,251.4
1977-01-01,253.7
1977-02-01,255.8
1977-03-01,256.8
1977-04-01,258.8
1977-05-01,260.3
1977-06-01,261.6
1977-07-01,263.4
1977-08-01,266
1977-09-01,268.1
1977-10-01,269.7
1977-11-01,272
1977-12-01,273.4
1978-01-01,274.9
1978-02-01,276.4
1978-03-01,277.1
1978-04-01,277.8
1978-05-01,278.2
1978-06-01,276.6
1978-07-01,273.1
1978-08-01,273.1
1978-09-01,273.1
1978-10-01,271.6
1978-11-01,269.2
1978-12-01,265.4
1979-01-01,259.8
1979-02-01,256.3
1979-03-01,254.4
1979-04-01,251.7
1979-05-01,249.5
1979-06-01,249.6
1979-07-01,249.2
1979-08-01,249.8
1979-09-01,246.6
1979-10-01,239
1979-11-01,231.9
1979-12-01,228.8
1980-01-01,224.7
1980-02-01,221.3
1980-03-01,216
1980-04-01,208.8
1980-05-01,205.5
1980-06-01,209.7
1980-07-01,216
1980-08-01,223.5
1980-09-01,226.2
1980-10-01,226
1980-11-01,222
1980-12-01,214.5
1981-01-01,204.9
1981-02-01,201.6
1981-03-01,200.3
1981-04-01,200.9
1981-05-01,197.8
1981-06-01,194.2
1981-07-01,193.9
1981-08-01,190.5
1981-09-01,187.1
1981-10-01,184.5
1981-11-01,184.3
1981-12-01,184.9
1982-01-01,186.8
1982-02-01,186.2
1982-03-01,185.1
1982-04-01,185
1982-05-01,185
1982-06-01,184.9
1982-07-01,183.9
1982-08-01,185
1982-09-01,186
1982-10-01,191.9
1982-11-01,196.2
1982-12-01,210
1983-01-01,257.3
1983-02-01,294
1983-03-01,312.1
1983-04-01,321
1983-05-01,327.6
1983-06-01,330.8
1983-07-01,330.5
1983-08-01,328.6
1983-09-01,326.8
1983-10-01,324.7
1983-11-01,322.2
1983-12-01,321.7
1984-01-01,321.2
1984-02-01,322.1
1984-03-01,324.4
1984-04-01,326.4
1984-05-01,325.9
1984-06-01,323.2
1984-07-01,319.6
1984-08-01,314.6
1984-09-01,313
1984-10-01,312.2
1984-11-01,313
1984-12-01,315.4
1985-01-01,320.6
1985-02-01,326.5
1985-03-01,330.8
1985-04-01,332
1985-05-01,333.8
1985-06-01,337.3
1985-07-01,342.4
1985-08-01,347.8
1985-09-01,350.6
1985-10-01,354.5
1985-11-01,357.4
1985-12-01,358.6
1986-01-01,358.2
1986-02-01,358.8
1986-03-01,359.6
1986-04-01,363.2
1986-05-01,369
1986-06-01,374.7
1986-07-01,380
1986-08-01,385.8
1986-09-01,391.2
1986-10-01,397.7
1986-11-01,403.6
1986-12-01,407.4
1987-01-01,412.6
1987-02-01,416.9
1987-03-01,419.5
1987-04-01,422.5
1987-05-01,424.9
1987-06-01,424
1987-07-01,421.1
1987-08-01,418.5
1987-09-01,416.6
1987-10-01,412.4
1987-11-01,405.8
1987-12-01,402.6
1988-01-01,400.1
1988-02-01,398.1
1988-03-01,398
1988-04-01,399.2
1988-05-01,400.5
1988-06-01,400.6
1988-07-01,399.4
1988-08-01,396.6
1988-09-01,392.1
1988-10-01,388.6
1988-11-01,386
1988-12-01,383.9
1989-01-01,379.1
1989-02-01,372.4
1989-03-01,366.7
1989-04-01,358.3
1989-05-01,350.5
1989-06-01,348
1989-07-01,347
1989-08-01,346.8
1989-09-01,347.9
1989-10-01,349.5
1989-11-01,351.2
1989-12-01,352.6
1990-01-01,352.6
1990-02-01,353.3
1990-03-01,354.9
1990-04-01,355.8
1990-05-01,355.4
1990-06-01,352.9
1990-07-01,352.3
1990-08-01,350.8
1990-09-01,349.8
1990-10-01,347.2
1990-11-01,345
1990-12-01,341.6
1991-01-01,342.3
1991-02-01,343.8
1991-03-01,347.9
1991-04-01,353.9
1991-05-01,360.5
1991-06-01,363.8
1991-07-01,367.8
1991-08-01,367.8
1991-09-01,369.7
1991-10-01,372.8
1991-11-01,375.6
1991-12-01,379.6
1992-01-01,387.2
1992-02-01,396.6
1992-03-01,404.6
1992-04-01,408.9
1992-05-01,415.4
1992-06-01,418.3
1992-07-01,420.7
1992-08-01,423.6
1992-09-01,427.6
1992-10-01,429.6
1992-11-01,431.9
1992-12-01,433.1
1993-01-01,433.7
1993-02-01,431.1
1993-03-01,429.9
1993-04-01,429.8
1993-05-01,432.8
1993-06-01,434
1993-07-01,434.7
1993-08-01,434.6
1993-09-01,434.3
1993-10-01,434.5
1993-11-01,434.1
1993-12-01,434
1994-01-01,433.7
1994-02-01,434
1994-03-01,435.3
1994-04-01,434.9
1994-05-01,436.1
1994-06-01,432.2
1994-07-01,429.7
1994-08-01,423.8
1994-09-01,417.9
1994-10-01,412.9
1994-11-01,406
1994-12-01,398.5
1995-01-01,392.4
1995-02-01,384.5
1995-03-01,377.4
1995-04-01,371.4
1995-05-01,371.5
1995-06-01,369.3
1995-07-01,366.7
1995-08-01,364.7
1995-09-01,364.5
1995-10-01,365.2
1995-11-01,362.5
1995-12-01,361
1996-01-01,359.2
1996-02-01,360.5
1996-03-01,360.3
1996-04-01,363.4
1996-05-01,367.9
1996-06-01,368.4
1996-07-01,369.2
1996-08-01,367.9
1996-09-01,368
1996-10-01,369
1996-11-01,368.1
1996-12-01,368.7
1997-01-01,368.9
1997-02-01,369.8
1997-03-01,370.8
1997-04-01,372.7
1997-05-01,377.3
1997-06-01,377.8
1997-07-01,377.5
1997-08-01,376.9
1997-09-01,376.5
1997-10-01,377.2
1997-11-01,376.9
1997-12-01,378.7
1998-01-01,380.1
1998-02-01,384.7
1998-03-01,388.8
1998-04-01,389.6
1998-05-01,396.6
1998-06-01,398.9
1998-07-01,401.5
1998-08-01,402.2
1998-09-01,403.5
1998-10-01,407.9
1998-11-01,412.3
1998-12-01,416.1
1999-01-01,421.6
1999-02-01,427.4
1999-03-01,431.5
1999-04-01,433.7
1999-05-01,443.3
1999-06-01,449.6
1999-07-01,456
1999-08-01,456.9
1999-09-01,455.7
1999-10-01,454.5
1999-11-01,453
1999-12-01,451.2
2000-01-01,449.8
2000-02-01,450.5
2000-03-01,453.1
2000-04-01,451.1
2000-05-01,454.1
2000-06-01,453.7
2000-07-01,453.8
2000-08-01,454.7
2000-09-01,454.4
2000-10-01,456
2000-11-01,454
2000-12-01,454.3
2001-01-01,455.3
2001-02-01,463
2001-03-01,473.2
2001-04-01,479.2
2001-05-01,488.4
2001-06-01,498.8
2001-07-01,507.9
2001-08-01,516.5
2001-09-01,525.5
2001-10-01,540.2
2001-11-01,552.5
2001-12-01,571.2
2002-01-01,582.5
2002-02-01,600.5
2002-03-01,617.6
2002-04-01,627.6
2002-05-01,632.1
2002-06-01,639.7
2002-07-01,650.1
2002-08-01,663.5
2002-09-01,674
2002-10-01,688.9
2002-11-01,698.7
2002-12-01,713.1
2003-01-01,723.8
2003-02-01,736.9
2003-03-01,751.1
2003-04-01,760.2
2003-05-01,781.2
2003-06-01,785.7
2003-07-01,796.8
2003-08-01,813.6
2003-09-01,818
2003-10-01,825
2003-11-01,823.9
2003-12-01,823.6
2004-01-01,820.1
2004-02-01,827.9
2004-03-01,843.2
2004-04-01,846.6
2004-05-01,861.9
2004-06-01,864.2
2004-07-01,868.7
2004-08-01,873.8
2004-09-01,882.4
2004-10-01,879.4
2004-11-01,874.7
2004-12-01,872.7
2005-01-01,871.2
2005-02-01,860.7
2005-03-01,852.1
2005-04-01,841.9
2005-05-01,843.6
2005-06-01,840.2
2005-07-01,837.4
2005-08-01,839.9
2005-09-01,833.6
2005-10-01,834.3
2005-11-01,831
2005-12-01,825
2006-01-01,834.7
2006-02-01,844.2
2006-03-01,841.5
2006-04-01,831
2006-05-01,833.5
2006-06-01,834.6
2006-07-01,833.4
2006-08-01,838.2
2006-09-01,833.1
2006-10-01,791.7
2006-11-01,786.8
2006-12-01,779.9
2007-01-01,785.4
2007-02-01,789.6
2007-03-01,813
2007-04-01,833.7
2007-05-01,841.4
2007-06-01,849.2
2007-07-01,839.4
2007-08-01,840.1
2007-09-01,828.6
2007-10-01,829
2007-11-01,826.5
2007-12-01,823.5
2008-01-01,828.8
2008-02-01,834.1
2008-03-01,849.4
2008-04-01,855.7
2008-05-01,879
2008-06-01,894.1
2008-07-01,899.8
2008-08-01,894
2008-09-01,861
2008-10-01,783
2008-11-01,767.3
2008-12-01,765.3
2009-01-01,773.5
2009-02-01,783.8
2009-03-01,797.9
2009-04-01,807
2009-05-01,814.6
2009-06-01,822
2009-07-01,833.7
2009-08-01,832.7
2009-09-01,838.8
2009-10-01,850.1
2009-11-01,831.3
2009-12-01,833
2010-01-01,842.2
2010-02-01,856.1
2010-03-01,866.7
2010-04-01,869.3
2010-05-01,880.1
2010-06-01,885.4
2010-07-01,896.6
2010-08-01,903.7
2010-09-01,905.4
2010-10-01,913
2010-11-01,914
2010-12-01,919.2
2011-01-01,926.6
2011-02-01,940
2011-03-01,952.9
2011-04-01,957.7
2011-05-01,971.4
2011-06-01,968.9
2011-07-01,975.6
2011-08-01,976.6
2011-09-01,977.9
2011-10-01,984.8
2011-11-01,986
2011-12-01,995.6
2012-01-01,995
2012-02-01,979.1
2012-03-01,987.8
2012-04-01,997.4
2012-05-01,1008.4
2012-06-01,1013.6
2012-07-01,1020.4
2012-08-01,1022.9
2012-09-01,1025.2
2012-10-01,1030
2012-11-01,944.7
2012-12-01,956.1
2013-01-01,972
2013-02-01,986.2
2013-03-01,993.4
2013-04-01,997.1
2013-05-01,1007.7
2013-06-01,1012.2
2013-07-01,1011.7
2013-08-01,1015
2013-09-01,1015.9
2013-10-01,1021.8
2013-11-01,1017.2
2013-12-01,1019.5
2014-01-01,1027.2
2014-02-01,1038.8
2014-03-01,1043.3
2014-04-01,1048.5
2014-05-01,1062.8
2014-06-01,1065
2014-07-01,1062.8
2014-08-01,1069.4
2014-09-01,1068.3
2014-10-01,1073.4
2014-11-01,1071.6
2014-12-01,1076.8
2015-01-01,1086.4
2015-02-01,1095.5
2015-03-01,1095.9
2015-04-01,1103.5
2015-05-01,1117.9
2015-06-01,1119.9
2015-07-01,1117.4
2015-08-01,1121.1
2015-09-01,1124
2015-10-01,1136.8
2015-11-01,1132.3
2015-12-01,1143.3
2016-01-01,1159.3
2016-02-01,1174
2016-03-01,1185.2
2016-04-01,1195.6
2016-05-01,1211
2016-06-01,1214.2
2016-07-01,1221.1
2016-08-01,1227.6
2016-09-01,1231.3
2016-10-01,1245.7
2016-11-01,1249
2016-12-01,1258.9
2017-01-01,1267.7
2017-02-01,1282.2
2017-03-01,1298.3
2017-04-01,1302
2017-05-01,1314.3
2017-06-01,1316.1
2017-07-01,1315.8
2017-08-01,1315.6
2017-09-01,1312.1
2017-10-01,1301.3
2017-11-01,1294.1
2017-12-01,1297.7
2018-01-01,1308.6
2018-02-01,1323.1
2018-03-01,1341.8
2018-04-01,1310.6
2018-05-01,1327
2018-06-01,1325.7
2018-07-01,1327
2018-08-01,1326.8
2018-09-01,1327.1
2018-10-01,1327.8
2018-11-01,1323
2018-12-01,1331.1
2019-01-01,1328.2
2019-02-01,1330.6
2019-03-01,1341.2
2019-04-01,1331.6
2019-05-01,1340.4
2019-06-01,1336.7
2019-07-01,1333.9
2019-08-01,1333.1
2019-09-01,1336.3
2019-10-01,1344.1
2019-11-01,1343.1
2019-12-01,1331.8
2020-01-01,1349
2020-02-01,1362.5
2020-03-01,1398.1
2020-04-01,1191.5
