"Date","M2MNS"
1977-10-01,817.7
1977-11-01,820.1
1977-12-01,829.7
1978-01-01,831.5
1978-02-01,822.4
1978-03-01,831
1978-04-01,846.9
1978-05-01,841.8
1978-06-01,849.7
1978-07-01,851.6
1978-08-01,847
1978-09-01,852.3
1978-10-01,854.2
1978-11-01,848.6
1978-12-01,851.4
1979-01-01,839.5
1979-02-01,823.3
1979-03-01,829.7
1979-04-01,844.5
1979-05-01,832.7
1979-06-01,846.5
1979-07-01,857.7
1979-08-01,856.3
1979-09-01,857
1979-10-01,851.9
1979-11-01,840.1
1979-12-01,845.9
1980-01-01,842.1
1980-02-01,832.4
1980-03-01,829.6
1980-04-01,821.7
1980-05-01,810.4
1980-06-01,835
1980-07-01,859.9
1980-08-01,873.8
1980-09-01,883.4
1980-10-01,890.9
1980-11-01,887.8
1980-12-01,876.9
1981-01-01,859.6
1981-02-01,849.5
1981-03-01,866.2
1981-04-01,898.7
1981-05-01,883.4
1981-06-01,886.1
1981-07-01,901
1981-08-01,898.8
1981-09-01,901.7
1981-10-01,907.1
1981-11-01,917
1981-12-01,937.3
1982-01-01,946.1
1982-02-01,929.9
1982-03-01,937.5
1982-04-01,958.2
1982-05-01,949.2
1982-06-01,961.2
1982-07-01,963
1982-08-01,968.9
1982-09-01,979.8
1982-10-01,1000.4
1982-11-01,1019.1
1982-12-01,1062.4
1983-01-01,1167.4
1983-02-01,1229.6
1983-03-01,1273.8
1983-04-01,1305.5
1983-05-01,1309.7
1983-06-01,1329.3
1983-07-01,1337.1
1983-08-01,1329.2
1983-09-01,1328.8
1983-10-01,1334.5
1983-11-01,1338.2
1983-12-01,1349.2
1984-01-01,1349.6
1984-02-01,1344.7
1984-03-01,1362.8
1984-04-01,1386.2
1984-05-01,1374.9
1984-06-01,1386.3
1984-07-01,1385.3
1984-08-01,1369.8
1984-09-01,1372
1984-10-01,1377.4
1984-11-01,1398.5
1984-12-01,1428.8
1985-01-01,1448.7
1985-02-01,1457.4
1985-03-01,1477.8
1985-04-01,1497.2
1985-05-01,1492
1985-06-01,1526
1985-07-01,1546.1
1985-08-01,1557.3
1985-09-01,1569.1
1985-10-01,1581.5
1985-11-01,1597.6
1985-12-01,1617.7
1986-01-01,1617.8
1986-02-01,1608.6
1986-03-01,1633.3
1986-04-01,1671.8
1986-05-01,1684.2
1986-06-01,1721.8
1986-07-01,1747.3
1986-08-01,1764.1
1986-09-01,1783.9
1986-10-01,1812.7
1986-11-01,1842
1986-12-01,1882.3
1987-01-01,1894.6
1987-02-01,1880.8
1987-03-01,1897.8
1987-04-01,1932.3
1987-05-01,1915.8
1987-06-01,1922.2
1987-07-01,1922.4
1987-08-01,1917.3
1987-09-01,1915.9
1987-10-01,1920.7
1987-11-01,1913.1
1987-12-01,1918.2
1988-01-01,1921.4
1988-02-01,1906.7
1988-03-01,1925.3
1988-04-01,1957.2
1988-05-01,1938.7
1988-06-01,1958.1
1988-07-01,1966.7
1988-08-01,1956.1
1988-09-01,1945
1988-10-01,1942.8
1988-11-01,1954.9
1988-12-01,1965.6
1989-01-01,1946.5
1989-02-01,1918
1989-03-01,1924.5
1989-04-01,1931.9
1989-05-01,1887.5
1989-06-01,1900.2
1989-07-01,1921
1989-08-01,1930.8
1989-09-01,1944.4
1989-10-01,1963.6
1989-11-01,1989.6
1989-12-01,2017.5
1990-01-01,2017.6
1990-02-01,2016.8
1990-03-01,2038.2
1990-04-01,2063.6
1990-05-01,2030.3
1990-06-01,2051.4
1990-07-01,2058.4
1990-08-01,2071.9
1990-09-01,2081.4
1990-10-01,2083.2
1990-11-01,2095.3
1990-12-01,2114.2
1991-01-01,2113.4
1991-02-01,2121.2
1991-03-01,2158.9
1991-04-01,2189.3
1991-05-01,2181
1991-06-01,2211.9
1991-07-01,2224.2
1991-08-01,2230.5
1991-09-01,2236.7
1991-10-01,2256.4
1991-11-01,2291
1991-12-01,2323.4
1992-01-01,2339
1992-02-01,2369.8
1992-03-01,2404.4
1992-04-01,2437.1
1992-05-01,2425
1992-06-01,2438.9
1992-07-01,2454.6
1992-08-01,2473
1992-09-01,2490.6
1992-10-01,2523.4
1992-11-01,2555.1
1992-12-01,2575.5
1993-01-01,2565.9
1993-02-01,2550.5
1993-03-01,2567.9
1993-04-01,2595.6
1993-05-01,2598.5
1993-06-01,2620.6
1993-07-01,2630.5
1993-08-01,2636.7
1993-09-01,2645.4
1993-10-01,2660.4
1993-11-01,2689.6
1993-12-01,2715.4
1994-01-01,2704.7
1994-02-01,2689.8
1994-03-01,2711.2
1994-04-01,2739.2
1994-05-01,2710.1
1994-06-01,2709.1
1994-07-01,2716.9
1994-08-01,2701.4
1994-09-01,2690.7
1994-10-01,2682
1994-11-01,2686.1
1994-12-01,2692
1995-01-01,2661.7
1995-02-01,2621
1995-03-01,2615
1995-04-01,2628.8
1995-05-01,2600
1995-06-01,2631.3
1995-07-01,2649.3
1995-08-01,2662.3
1995-09-01,2670
1995-10-01,2675.4
1995-11-01,2693.7
1995-12-01,2722.5
1996-01-01,2717.6
1996-02-01,2712.1
1996-03-01,2760
1996-04-01,2787.2
1996-05-01,2758.3
1996-06-01,2789.5
1996-07-01,2800.2
1996-08-01,2804.6
1996-09-01,2804.5
1996-10-01,2814.7
1996-11-01,2851.2
1996-12-01,2892.8
1997-01-01,2889.1
1997-02-01,2882.5
1997-03-01,2920.2
1997-04-01,2951.3
1997-05-01,2912
1997-06-01,2938.6
1997-07-01,2954.1
1997-08-01,2988.1
1997-09-01,2995.8
1997-10-01,3009.1
1997-11-01,3048.1
1997-12-01,3087.6
1998-01-01,3091.4
1998-02-01,3108.6
1998-03-01,3162.1
1998-04-01,3207.1
1998-05-01,3180
1998-06-01,3211.4
1998-07-01,3231.2
1998-08-01,3261.3
1998-09-01,3296.2
1998-10-01,3332.2
1998-11-01,3389.4
1998-12-01,3447.8
1999-01-01,3460.8
1999-02-01,3474.5
1999-03-01,3516.1
1999-04-01,3565.7
1999-05-01,3533.1
1999-06-01,3568
1999-07-01,3591
1999-08-01,3608.7
1999-09-01,3616.8
1999-10-01,3631.4
1999-11-01,3659.1
1999-12-01,3708.5
2000-01-01,3706.7
2000-02-01,3700.4
2000-03-01,3755.8
2000-04-01,3818.2
2000-05-01,3741
2000-06-01,3756.9
2000-07-01,3762.1
2000-08-01,3782.6
2000-09-01,3810.6
2000-10-01,3816.9
2000-11-01,3839.3
2000-12-01,3906
2001-01-01,3924.9
2001-02-01,3954
2001-03-01,4049.8
2001-04-01,4131.2
2001-05-01,4073.9
2001-06-01,4132.2
2001-07-01,4168.3
2001-08-01,4209.6
2001-09-01,4326.2
2001-10-01,4318.8
2001-11-01,4394.4
2001-12-01,4490
2002-01-01,4488.9
2002-02-01,4519.8
2002-03-01,4579.2
2002-04-01,4601.7
2002-05-01,4573.3
2002-06-01,4615.1
2002-07-01,4659.3
2002-08-01,4706
2002-09-01,4737.6
2002-10-01,4781
2002-11-01,4856.7
2002-12-01,4909.4
2003-01-01,4904.6
2003-02-01,4938.4
2003-03-01,5005.3
2003-04-01,5066.9
2003-05-01,5073.7
2003-06-01,5135.1
2003-07-01,5188.6
2003-08-01,5254.6
2003-09-01,5233.3
2003-10-01,5222.6
2003-11-01,5255.6
2003-12-01,5280.7
2004-01-01,5243.3
2004-02-01,5275.6
2004-03-01,5357.6
2004-04-01,5427.7
2004-05-01,5445
2004-06-01,5468.9
2004-07-01,5474.3
2004-08-01,5492.7
2004-09-01,5522.3
2004-10-01,5538.7
2004-11-01,5582.9
2004-12-01,5619
2005-01-01,5563.5
2005-02-01,5551.8
2005-03-01,5597
2005-04-01,5624.3
2005-05-01,5558.8
2005-06-01,5594.8
2005-07-01,5598.9
2005-08-01,5607.3
2005-09-01,5626.4
2005-10-01,5643.7
2005-11-01,5672.7
2005-12-01,5714.7
2006-01-01,5698
2006-02-01,5697.9
2006-03-01,5752.8
2006-04-01,5797.8
2006-05-01,5717.8
2006-06-01,5751.7
2006-07-01,5748.7
2006-08-01,5742.7
2006-09-01,5748.1
2006-10-01,5772
2006-11-01,5823.4
2006-12-01,5892.2
2007-01-01,5880.9
2007-02-01,5883.7
2007-03-01,5974.6
2007-04-01,6055.9
2007-05-01,5999.2
2007-06-01,6042.6
2007-07-01,6042.1
2007-08-01,6095.3
2007-09-01,6100.7
2007-10-01,6102.9
2007-11-01,6157.8
2007-12-01,6225.1
2008-01-01,6214.4
2008-02-01,6294.7
2008-03-01,6438.6
2008-04-01,6491.3
2008-05-01,6438.2
2008-06-01,6463.8
2008-07-01,6465.3
2008-08-01,6434.4
2008-09-01,6477.5
2008-10-01,6518.6
2008-11-01,6572
2008-12-01,6770.2
2009-01-01,6821.4
2009-02-01,6864
2009-03-01,7015.5
2009-04-01,7040
2009-05-01,7048.4
2009-06-01,7083.8
2009-07-01,7076.8
2009-08-01,7084
2009-09-01,7120.8
2009-10-01,7184
2009-11-01,7282.3
2009-12-01,7353.4
2010-01-01,7300.8
2010-02-01,7366.1
2010-03-01,7456.9
2010-04-01,7504
2010-05-01,7509.2
2010-06-01,7549.3
2010-07-01,7535.7
2010-08-01,7583.6
2010-09-01,7646.2
2010-10-01,7730.4
2010-11-01,7818.2
2010-12-01,7923.9
2011-01-01,7933.3
2011-02-01,7983.1
2011-03-01,8110.6
2011-04-01,8178.8
2011-05-01,8163.8
2011-06-01,8266.1
2011-07-01,8432.8
2011-08-01,8643.7
2011-09-01,8696.1
2011-10-01,8758.3
2011-11-01,8851.1
2011-12-01,8954.6
2012-01-01,8995.4
2012-02-01,9030.4
2012-03-01,9159.7
2012-04-01,9217.3
2012-05-01,9163.4
2012-06-01,9250.8
2012-07-01,9306
2012-08-01,9379.1
2012-09-01,9485.6
2012-10-01,9578.3
2012-11-01,9688.2
2012-12-01,9888.9
2013-01-01,9870.4
2013-02-01,9850.8
2013-03-01,9999.4
2013-04-01,10035.1
2013-05-01,9968.3
2013-06-01,10046.9
2013-07-01,10096.1
2013-08-01,10157.6
2013-09-01,10232.3
2013-10-01,10363
2013-11-01,10411.5
2013-12-01,10538.3
2014-01-01,10541.6
2014-02-01,10594.8
2014-03-01,10723
2014-04-01,10780.3
2014-05-01,10725.8
2014-06-01,10790.9
2014-07-01,10847.3
2014-08-01,10882.7
2014-09-01,10936.9
2014-10-01,11008.6
2014-11-01,11091.3
2014-12-01,11241.7
2015-01-01,11243.4
2015-02-01,11332.7
2015-03-01,11452.1
2015-04-01,11509.1
2015-05-01,11421.6
2015-06-01,11484.9
2015-07-01,11545.2
2015-08-01,11614.6
2015-09-01,11697.6
2015-10-01,11737.9
2015-11-01,11870.4
2015-12-01,12006.5
2016-01-01,12060.3
2016-02-01,12101.1
2016-03-01,12274.4
2016-04-01,12373
2016-05-01,12306.3
2016-06-01,12390.4
2016-07-01,12454.2
2016-08-01,12557.9
2016-09-01,12633.5
2016-10-01,12702.8
2016-11-01,12821.2
2016-12-01,12936.4
2017-01-01,12919.2
2017-02-01,12939.7
2017-03-01,13123.6
2017-04-01,13191
2017-05-01,13093.9
2017-06-01,13134.1
2017-07-01,13188.2
2017-08-01,13249.8
2017-09-01,13291
2017-10-01,13330.5
2017-11-01,13396.4
2017-12-01,13518.3
2018-01-01,13429.5
2018-02-01,13407.9
2018-03-01,13580
2018-04-01,13605.5
2018-05-01,13502.9
2018-06-01,13582.7
2018-07-01,13605.8
2018-08-01,13651.4
2018-09-01,13674.6
2018-10-01,13671.7
2018-11-01,13717.2
2018-12-01,13902.2
2019-01-01,13856
2019-02-01,13810.1
2019-03-01,13961
2019-04-01,13998.6
2019-05-01,13946.7
2019-06-01,14096.7
2019-07-01,14176.4
2019-08-01,14260.8
2019-09-01,14357.5
2019-10-01,14493
2019-11-01,14651.6
2019-12-01,14816
2020-01-01,14817.7
2020-02-01,14833.2
2020-03-01,15535.5
2020-04-01,16599.8
2020-05-01,17281.7
2020-06-01,17647.1
2020-07-01,17829.6
2020-08-01,17933.8
2020-09-01,18188.8
2020-10-01,18370.1
2020-11-01,18698.9
2020-12-01,18994.1
2021-01-01,19137.7
2021-02-01,19308.4
2021-03-01,19748.8
2021-04-01,20089
2021-05-01,20147
2021-06-01,20276.8
2021-07-01,20412
2021-08-01,20618.2
2021-09-01,20803.7
2021-10-01,20981
2021-11-01,21226.4
2021-12-01,21560.3
2022-01-01,21552.5
2022-02-01,21524.5
2022-03-01,21810.4
2022-04-01,21811.5
2022-05-01,21515.8
2022-06-01,21527.9
2022-07-01,21498.7
2022-08-01,21422.5
2022-09-01,21301.1
2022-10-01,21154.6
2022-11-01,21097
2022-12-01,21052.5
2023-01-01,20840.1
2023-02-01,20611.4
2023-03-01,20428.7
2023-04-01,20138.9
2023-05-01,19923.7
2023-06-01,19897.8
2023-07-01,19833.9
2023-08-01,19776.1
2023-09-01,19731.2
2023-10-01,19681.2
