"Date","M14162USM144SNBR"
1930-04-01,10934
1930-05-01,NA
1930-06-01,NA
1930-07-01,10998
1930-08-01,NA
1930-09-01,NA
1930-10-01,10803
1930-11-01,NA
1930-12-01,NA
1931-01-01,10597
1931-02-01,NA
1931-03-01,NA
1931-04-01,10521
1931-05-01,NA
1931-06-01,NA
1931-07-01,10334
1931-08-01,NA
1931-09-01,NA
1931-10-01,9841
1931-11-01,NA
1931-12-01,NA
1932-01-01,8904
1932-02-01,NA
1932-03-01,NA
1932-04-01,NA
1932-05-01,NA
1932-06-01,NA
1932-07-01,8071
1932-08-01,NA
1932-09-01,NA
1932-10-01,8156
1932-11-01,NA
1932-12-01,NA
1933-01-01,8060
1933-02-01,NA
1933-03-01,NA
1933-04-01,NA
1933-05-01,NA
1933-06-01,NA
1933-07-01,7735
1933-08-01,NA
1933-09-01,NA
1933-10-01,NA
1933-11-01,8083
1933-12-01,NA
1934-01-01,8312
1934-02-01,NA
1934-03-01,9155
1934-04-01,NA
1934-05-01,NA
1934-06-01,NA
1934-07-01,9803
1934-08-01,NA
1934-09-01,NA
1934-10-01,NA
1934-11-01,10289
1934-12-01,NA
1935-01-01,10760
1935-02-01,NA
1935-03-01,10863
1935-04-01,NA
1935-05-01,NA
1935-06-01,NA
1935-07-01,11381
1935-08-01,NA
1935-09-01,NA
1935-10-01,NA
1935-11-01,12181
1935-12-01,NA
1936-01-01,12477
1936-02-01,NA
1936-03-01,12524
1936-04-01,NA
1936-05-01,NA
1936-06-01,NA
1936-07-01,13652
1936-08-01,NA
1936-09-01,NA
1936-10-01,NA
1936-11-01,NA
1936-12-01,NA
1937-01-01,14514
1937-02-01,NA
1937-03-01,NA
1937-04-01,13817
1937-05-01,NA
1937-06-01,NA
1937-07-01,14304
1937-08-01,NA
1937-09-01,NA
1937-10-01,NA
1937-11-01,NA
1937-12-01,NA
1938-01-01,13872
1938-02-01,NA
1938-03-01,13787
1938-04-01,NA
1938-05-01,NA
1938-06-01,NA
1938-07-01,13998
1938-08-01,NA
1938-09-01,NA
1938-10-01,14419
1938-11-01,NA
1938-12-01,NA
1939-01-01,14852
1939-02-01,NA
1939-03-01,NA
1939-04-01,14609
1939-05-01,NA
1939-06-01,NA
1939-07-01,15399
1939-08-01,NA
1939-09-01,NA
1939-10-01,16204
1939-11-01,NA
1939-12-01,NA
1940-01-01,16593
1940-02-01,NA
1940-03-01,NA
1940-04-01,16627
1940-05-01,NA
1940-06-01,NA
1940-07-01,17410
1940-08-01,NA
1940-09-01,NA
1940-10-01,NA
1940-11-01,NA
1940-12-01,NA
1941-01-01,18958
1941-02-01,NA
1941-03-01,NA
1941-04-01,19431
1941-05-01,NA
1941-06-01,NA
1941-07-01,20621
1941-08-01,NA
1941-09-01,NA
1941-10-01,21824
1941-11-01,NA
1941-12-01,NA
1942-01-01,22646
1942-02-01,NA
1942-03-01,NA
1942-04-01,23306
1942-05-01,NA
1942-06-01,NA
1942-07-01,24868
1942-08-01,NA
1942-09-01,NA
1942-10-01,NA
1942-11-01,NA
1942-12-01,NA
1943-01-01,32788
1943-02-01,NA
1943-03-01,NA
1943-04-01,NA
1943-05-01,NA
1943-06-01,NA
1943-07-01,38018
1943-08-01,NA
1943-09-01,NA
1943-10-01,NA
1943-11-01,44704
1943-12-01,NA
1944-01-01,42768
1944-02-01,NA
1944-03-01,NA
1944-04-01,44603
1944-05-01,NA
1944-06-01,NA
1944-07-01,47795
1944-08-01,NA
1944-09-01,NA
1944-10-01,NA
1944-11-01,NA
1944-12-01,NA
1945-01-01,52546
1945-02-01,NA
1945-03-01,NA
1945-04-01,51531
1945-05-01,NA
1945-06-01,NA
1945-07-01,56091
1945-08-01,NA
1945-09-01,NA
1945-10-01,NA
1945-11-01,NA
1945-12-01,NA
1946-01-01,61395
1946-02-01,NA
1946-03-01,NA
1946-04-01,NA
1946-05-01,NA
1946-06-01,NA
1946-07-01,57008
