"Date","TCDNS"
2014-03-01,1574.2
2014-04-01,1601.8
2014-05-01,1568.6
2014-06-01,1608.1
2014-07-01,1620.2
2014-08-01,1565.7
2014-09-01,1608.6
2014-10-01,1633.8
2014-11-01,1619
2014-12-01,1734.7
2015-01-01,1678.6
2015-02-01,1703.9
2015-03-01,1735.8
2015-04-01,1741.8
2015-05-01,1677.9
2015-06-01,1722
2015-07-01,1734.6
2015-08-01,1713.5
2015-09-01,1699.8
2015-10-01,1687.8
2015-11-01,1723
2015-12-01,1798.1
2016-01-01,1752.2
2016-02-01,1743
2016-03-01,1811.6
2016-04-01,1858.7
2016-05-01,1852.1
2016-06-01,1861
2016-07-01,1853.3
2016-08-01,1924.8
2016-09-01,1897.4
2016-10-01,1922.1
2016-11-01,1913.7
2016-12-01,1959.6
2017-01-01,1963.2
2017-02-01,1922.4
2017-03-01,2022.2
2017-04-01,2022
2017-05-01,2041.1
2017-06-01,2045.8
2017-07-01,2060.5
2017-08-01,2095.9
2017-09-01,2040.6
2017-10-01,2092.1
2017-11-01,2086.6
2017-12-01,2123.4
2018-01-01,2121.6
2018-02-01,2026.3
2018-03-01,2131.5
2018-04-01,2131.7
2018-05-01,2078.3
2018-06-01,2070.6
2018-07-01,2089
2018-08-01,2093.2
2018-09-01,2067.4
2018-10-01,2108.5
2018-11-01,2060.1
2018-12-01,2172.6
2019-01-01,2124.9
2019-02-01,2076.6
2019-03-01,2115.8
2019-04-01,2173.6
2019-05-01,2135
2019-06-01,2170.5
2019-07-01,2196.4
2019-08-01,2178.3
2019-09-01,2193.2
2019-10-01,2231.7
2019-11-01,2220.9
2019-12-01,2329.3
2020-01-01,2268.4
2020-02-01,2222.1
2020-03-01,2540.6
2020-04-01,3065.1
2020-05-01,3193.2
2020-06-01,3363.2
2020-07-01,3447
2020-08-01,3459.7
2020-09-01,3524.7
2020-10-01,3595.6
2020-11-01,3987.6
2020-12-01,4700.5
2021-01-01,4768.5
