"Date","ALLMON"
1975-02-01,914.4
1975-03-01,925.3
1975-04-01,935.4
1975-05-01,948.2
1975-06-01,963.3
1975-07-01,975.5
1975-08-01,983.5
1975-09-01,991.9
1975-10-01,998.2
1975-11-01,1007.4
1975-12-01,1016.7
1976-01-01,1027.1
1976-02-01,1040.8
1976-03-01,1050.4
1976-04-01,1061.2
1976-05-01,1072.5
1976-06-01,1078
1976-07-01,1086.7
1976-08-01,1099.1
1976-09-01,1111.3
1976-10-01,1125.6
1976-11-01,1138.9
1976-12-01,1152.7
1977-01-01,1165.9
1977-02-01,1178.4
1977-03-01,1189.3
1977-04-01,1200.4
1977-05-01,1209.8
1977-06-01,1218.6
1977-07-01,1227.5
1977-08-01,1237.8
1977-09-01,1246.9
1977-10-01,1254.7
1977-11-01,1263.2
1977-12-01,1271.3
1978-01-01,1280.8
1978-02-01,1286.8
1978-03-01,1293.8
1978-04-01,1302.2
1978-05-01,1312.6
1978-06-01,1320.7
1978-07-01,1326.5
1978-08-01,1336.2
1978-09-01,1348
1978-10-01,1355.5
1978-11-01,1362.5
1978-12-01,1369.5
1979-01-01,1375.3
1979-02-01,1381.9
1979-03-01,1392.5
1979-04-01,1407.4
1979-05-01,1416.2
1979-06-01,1429.5
1979-07-01,1442
1979-08-01,1454.4
1979-09-01,1462.4
1979-10-01,1469.3
1979-11-01,1475.5
1979-12-01,1484.1
1980-01-01,1493.9
1980-02-01,1506.5
1980-03-01,1511.7
1980-04-01,1513.5
1980-05-01,1526.3
1980-06-01,1545.8
1980-07-01,1564.4
1980-08-01,1580.6
1980-09-01,1591.9
1980-10-01,1601.9
1980-11-01,1612.4
1980-12-01,1615.8
1981-01-01,1623.8
1981-02-01,1637.7
1981-03-01,1658.2
1981-04-01,1682.5
1981-05-01,1687.2
1981-06-01,1693.2
1981-07-01,1706.1
1981-08-01,1719.6
1981-09-01,1734.9
1981-10-01,1754.3
1981-11-01,1771.2
1981-12-01,1793.7
1982-01-01,1808.3
1982-02-01,1810.4
1982-03-01,1822.9
1982-04-01,1840.2
1982-05-01,1853.8
1982-06-01,1865.6
1982-07-01,1873.6
1982-08-01,1893.2
1982-09-01,1908.1
1982-10-01,1919.8
1982-11-01,1934.2
1982-12-01,1955.2
1983-01-01,2007.2
1983-02-01,2044.3
1983-03-01,2061
1983-04-01,2072.7
1983-05-01,2086.8
1983-06-01,2096.7
1983-07-01,2106.9
1983-08-01,2115.3
1983-09-01,2124.4
1983-10-01,2140.7
1983-11-01,2153.6
1983-12-01,2164.7
1984-01-01,2180.1
1984-02-01,2202
1984-03-01,2220
1984-04-01,2237.3
1984-05-01,2249.8
1984-06-01,2261.9
1984-07-01,2270.6
1984-08-01,2277.5
1984-09-01,2291.5
1984-10-01,2315.3
1984-11-01,2342.8
1984-12-01,2372.4
1985-01-01,2400.6
1985-02-01,2420.9
1985-03-01,2431.6
1985-04-01,2441.7
1985-05-01,2459.3
1985-06-01,2487.6
1985-07-01,2501.3
1985-08-01,2514.6
1985-09-01,2525.7
1985-10-01,2537.4
1985-11-01,2546.6
1985-12-01,2561.2
1986-01-01,2573.2
1986-02-01,2585.3
1986-03-01,2609
1986-04-01,2638.5
1986-05-01,2667.6
1986-06-01,2688.6
1986-07-01,2712.3
1986-08-01,2736.1
1986-09-01,2761.4
1986-10-01,2781
1986-11-01,2792.2
1986-12-01,2818.8
1987-01-01,2833.4
1987-02-01,2838.2
1987-03-01,2845.7
1987-04-01,2859.5
1987-05-01,2863.4
1987-06-01,2866.6
1987-07-01,2872.4
1987-08-01,2881.8
1987-09-01,2891.6
1987-10-01,2908.1
1987-11-01,2917
1987-12-01,2925.4
1988-01-01,2949.3
1988-02-01,2975.6
1988-03-01,2996.1
1988-04-01,3013.4
1988-05-01,3027.4
1988-06-01,3037.3
1988-07-01,3045.1
1988-08-01,3049.3
1988-09-01,3055.4
1988-10-01,3064.9
1988-11-01,3080.1
1988-12-01,3088.6
1989-01-01,3091.4
1989-02-01,3091.1
1989-03-01,3098.8
1989-04-01,3107.7
1989-05-01,3117.3
1989-06-01,3138.4
1989-07-01,3166.4
1989-08-01,3190.9
1989-09-01,3209.9
1989-10-01,3231.4
1989-11-01,3250.6
1989-12-01,3270.7
1990-01-01,3285.8
1990-02-01,3297.5
1990-03-01,3311.1
1990-04-01,3324.5
1990-05-01,3324.3
1990-06-01,3338.7
1990-07-01,3351.6
1990-08-01,3371.3
1990-09-01,3388.5
1990-10-01,3398
1990-11-01,3403.1
1990-12-01,3418.1
1991-01-01,3441.2
1991-02-01,3465.9
1991-03-01,3485.5
1991-04-01,3500
1991-05-01,3512.3
1991-06-01,3521.4
1991-07-01,3524.7
1991-08-01,3526.3
1991-09-01,3529.1
1991-10-01,3541.4
1991-11-01,3553.2
1991-12-01,3567.7
1992-01-01,3580.8
1992-02-01,3605.9
1992-03-01,3611.9
1992-04-01,3611.1
1992-05-01,3616.4
1992-06-01,3617.1
1992-07-01,3624
1992-08-01,3636.9
1992-09-01,3648.7
1992-10-01,3652.4
1992-11-01,3653.8
1992-12-01,3645.5
1993-01-01,3634.5
1993-02-01,3635.7
1993-03-01,3634.8
1993-04-01,3633.5
1993-05-01,3662.8
1993-06-01,3664.5
1993-07-01,3661.9
1993-08-01,3665
1993-09-01,3672.7
1993-10-01,3678.8
1993-11-01,3694.1
1993-12-01,3701.1
1994-01-01,3698.1
1994-02-01,3687
1994-03-01,3694.9
1994-04-01,3700.1
1994-05-01,3705.4
1994-06-01,3692.8
1994-07-01,3702.4
1994-08-01,3700.3
1994-09-01,3700.6
1994-10-01,3706
1994-11-01,3711.2
1994-12-01,3711.1
1995-01-01,3723.1
1995-02-01,3716.4
1995-03-01,3726.6
1995-04-01,3741
1995-05-01,3772.8
1995-06-01,3807.9
1995-07-01,3833.4
1995-08-01,3856.4
1995-09-01,3872
1995-10-01,3885.8
1995-11-01,3895.7
1995-12-01,3908.1
1996-01-01,3931.7
1996-02-01,3952.7
1996-03-01,3984.7
1996-04-01,3996.2
1996-05-01,4008.8
1996-06-01,4027.9
1996-07-01,4050.5
1996-08-01,4063.7
1996-09-01,4079
1996-10-01,4097.3
1996-11-01,4120.5
1996-12-01,4148.7
1997-01-01,4165.8
1997-02-01,4185.9
1997-03-01,4208.8
1997-04-01,4227.1
1997-05-01,4244.6
1997-06-01,4267.2
1997-07-01,4297.5
1997-08-01,4331.3
1997-09-01,4361.6
1997-10-01,4383.8
1997-11-01,4406.4
1997-12-01,4437
1998-01-01,4468.8
1998-02-01,4505.6
1998-03-01,4540
1998-04-01,4579.5
1998-05-01,4613.4
1998-06-01,4652.8
1998-07-01,4677.2
1998-08-01,4715.2
1998-09-01,4773.1
1998-10-01,4834.9
1998-11-01,4887.4
1998-12-01,4932.7
1999-01-01,4958.5
1999-02-01,4999.7
1999-03-01,5009.5
1999-04-01,5052.5
1999-05-01,5077.7
1999-06-01,5104.7
1999-07-01,5129.6
1999-08-01,5158.1
1999-09-01,5177.4
1999-10-01,5209
1999-11-01,5254.6
1999-12-01,5296.3
2000-01-01,5340
2000-02-01,5357.6
2000-03-01,5403.3
2000-04-01,5459.1
2000-05-01,5460.3
2000-06-01,5484
2000-07-01,5524.7
2000-08-01,5577
2000-09-01,5627.9
2000-10-01,5654.8
2000-11-01,5674.7
2000-12-01,5732.2
2001-01-01,5829.2
2001-02-01,5928
2001-03-01,6013.9
2001-04-01,6103.6
2001-05-01,6154.8
2001-06-01,6224.3
2001-07-01,6270.3
2001-08-01,6287.5
2001-09-01,6445.6
2001-10-01,6514.9
2001-11-01,6586.2
2001-12-01,6654.1
2002-01-01,6676.3
2002-02-01,6709.8
2002-03-01,6720.3
2002-04-01,6733.1
2002-05-01,6761.2
2002-06-01,6779.8
2002-07-01,6827.4
2002-08-01,6852
2002-09-01,6854.7
2002-10-01,6885.7
2002-11-01,7004.7
2002-12-01,7054.5
2003-01-01,7059.8
2003-02-01,7085.6
2003-03-01,7085.1
2003-04-01,7106.5
2003-05-01,7143.3
2003-06-01,7183.6
2003-07-01,7278.9
2003-08-01,7287.9
2003-09-01,7264.7
2003-10-01,7239.4
2003-11-01,7223.6
2003-12-01,7201
2004-01-01,7209.3
2004-02-01,7241.2
2004-03-01,7287.1
2004-04-01,7332.4
2004-05-01,7402.8
2004-06-01,7409.9
2004-07-01,7411
2004-08-01,7422.2
2004-09-01,7446.8
2004-10-01,7451.3
2004-11-01,7485.8
2004-12-01,7496.7
2005-01-01,7490.8
2005-02-01,7499.7
2005-03-01,7508.4
2005-04-01,7525.9
2005-05-01,7539.8
2005-06-01,7589.8
2005-07-01,7630.3
2005-08-01,7670.8
2005-09-01,7723.5
2005-10-01,7762.7
2005-11-01,7788.5
2005-12-01,7833.5
2006-01-01,7881.4
2006-02-01,7910.5
2006-03-01,7931.5
2006-04-01,7978.7
2006-05-01,8007.9
2006-06-01,8067.8
2006-07-01,8122.1
2006-08-01,8171.7
2006-09-01,8217.2
2006-10-01,8295.5
2006-11-01,8351.8
2006-12-01,8433.4
2007-01-01,8459.7
2007-02-01,8492.7
2007-03-01,8554.9
2007-04-01,8655.2
2007-05-01,8716.2
2007-06-01,8771.8
2007-07-01,8847.7
2007-08-01,8990.9
2007-09-01,9124.3
2007-10-01,9242.3
2007-11-01,9339
2007-12-01,9411.7
2008-01-01,9465.4
2008-02-01,9685
2008-03-01,9827.3
2008-04-01,9920.5
2008-05-01,9959.3
2008-06-01,9998.3
2008-07-01,10067.1
2008-08-01,10078.2
2008-09-01,10132.2
2008-10-01,10231.5
2008-11-01,10380.6
2008-12-01,10643.1
2009-01-01,10770.5
2009-02-01,10838.4
2009-03-01,10916.6
2009-04-01,10926.4
2009-05-01,10986.1
2009-06-01,10987.5
2009-07-01,10964.9
2009-08-01,10890.3
2009-09-01,10860.2
2009-10-01,10815.9
2009-11-01,10789.1
2009-12-01,10741.8
2010-01-01,10634.1
2010-02-01,10636.1
2010-03-01,10552.4
2010-04-01,10494.5
2010-05-01,10489.5
2010-06-01,10488.3
2010-07-01,10505.4
2010-08-01,10557
2010-09-01,10603.6
2010-10-01,10637.9
2010-11-01,10676.5
2010-12-01,10677
2011-01-01,10648.5
2011-02-01,10683.1
2011-03-01,10746.9
2011-04-01,10824.4
2011-05-01,10896.8
2011-06-01,10954.7
2011-07-01,11106.4
2011-08-01,11238
2011-09-01,11289.4
2011-10-01,11316.1
2011-11-01,11361.3
2011-12-01,11402.2
2012-01-01,11472.9
2012-02-01,11495.2
2012-03-01,11535.9
2012-04-01,11568.5
2012-05-01,11606.1
2012-06-01,11648.9
2012-07-01,11750.8
2012-08-01,11835
2012-09-01,11919.6
2012-10-01,11997
2012-11-01,12041.9
2012-12-01,12159.8
2013-01-01,12230.1
2013-02-01,12207.4
2013-03-01,12239.1
2013-04-01,12297.7
2013-05-01,12311
2013-06-01,12353.5
2013-07-01,12469.1
2013-08-01,12528.8
2013-09-01,12612
2013-10-01,12741.7
2013-11-01,12727.3
2013-12-01,12766.1
