"Date","M1425AUSM144SNBR"
1935-07-01,4687
1935-08-01,4752
1935-09-01,4805
1935-10-01,4838
1935-11-01,4875
1935-12-01,4879
1936-01-01,4924
1936-02-01,4982
1936-03-01,5016
1936-04-01,5005
1936-05-01,5030
1936-06-01,5250
1936-07-01,5222
1936-08-01,5225
1936-09-01,5278
1936-10-01,5316
1936-11-01,5378
1936-12-01,5466
1937-01-01,5469
1937-02-01,5490
1937-03-01,5480
1937-04-01,5521
1937-05-01,5501
1937-06-01,5512
1937-07-01,5547
1937-08-01,5616
1937-09-01,5608
1937-10-01,5589
1937-11-01,5573
1937-12-01,5524
1938-01-01,5485
1938-02-01,5451
1938-03-01,5460
1938-04-01,5433
1938-05-01,5451
1938-06-01,5428
1938-07-01,5453
1938-08-01,5455
1938-09-01,5531
1938-10-01,5553
1938-11-01,5582
1938-12-01,5598
1939-01-01,5682
1939-02-01,5749
1939-03-01,5807
1939-04-01,5900
1939-05-01,5904
1939-06-01,5946
1939-07-01,5980
1939-08-01,6073
1939-09-01,6136
1939-10-01,6169
1939-11-01,6201
1939-12-01,6214
1940-01-01,6291
1940-02-01,6359
1940-03-01,6414
1940-04-01,6449
1940-05-01,6505
1940-06-01,6610
1940-07-01,6664
1940-08-01,6748
1940-09-01,6841
1940-10-01,6966
1940-11-01,7069
1940-12-01,7278
1941-01-01,7401
1941-02-01,7561
1941-03-01,7705
1941-04-01,7830
1941-05-01,7968
1941-06-01,8174
1941-07-01,8389
1941-08-01,8586
1941-09-01,8734
1941-10-01,8867
1941-11-01,9101
1941-12-01,9544
1942-01-01,9787
1942-02-01,10026
1942-03-01,10227
1942-04-01,10447
1942-05-01,10742
1942-06-01,11067
1942-07-01,11495
1942-08-01,11860
1942-09-01,12285
1942-10-01,12649
1942-11-01,13173
1942-12-01,13744
1943-01-01,14100
1943-02-01,14600
1943-03-01,14900
1943-04-01,15200
1943-05-01,15700
1943-06-01,15900
1943-07-01,16500
1943-08-01,16900
1943-09-01,17200
1943-10-01,17500
1943-11-01,18100
1943-12-01,18600
1944-01-01,18900
1944-02-01,19200
1944-03-01,19600
1944-04-01,20100
1944-05-01,20600
1944-06-01,21000
1944-07-01,21300
1944-08-01,21700
1944-09-01,22200
1944-10-01,22700
1944-11-01,23100
1944-12-01,23300
1945-01-01,23700
1945-02-01,24100
1945-03-01,24400
1945-04-01,24700
1945-05-01,24900
1945-06-01,25300
1945-07-01,25600
1945-08-01,25800
1945-09-01,26100
1945-10-01,26200
1945-11-01,26000
1945-12-01,26200
1946-01-01,26200
1946-02-01,26200
1946-03-01,26300
1946-04-01,26400
1946-05-01,26400
1946-06-01,26700
1946-07-01,26500
1946-08-01,26500
1946-09-01,26400
1946-10-01,26400
1946-11-01,26400
1946-12-01,26300
