"Date","VALEXPUSM052N"
2015-03-01,1.3366e+11
2015-04-01,1.28508e+11
2015-05-01,1.28075e+11
2015-06-01,1.30904e+11
2015-07-01,1.24188e+11
2015-08-01,1.22684e+11
2015-09-01,1.24827e+11
2015-10-01,1.303e+11
2015-11-01,1.20385e+11
2015-12-01,1.19939e+11
2016-01-01,1.07968e+11
2016-02-01,1.13363e+11
2016-03-01,1.25425e+11
2016-04-01,1.18645e+11
2016-05-01,1.19625e+11
2016-06-01,1.25098e+11
2016-07-01,1.1581e+11
2016-08-01,1.22529e+11
2016-09-01,1.24431e+11
2016-10-01,1.2844e+11
2016-11-01,1.23034e+11
2016-12-01,1.26642e+11
2017-01-01,1.17458e+11
2017-02-01,1.19252e+11
2017-03-01,1.35905e+11
2017-04-01,1.23842e+11
2017-05-01,1.27782e+11
2017-06-01,1.32741e+11
2017-07-01,1.2214e+11
2017-08-01,1.29186e+11
2017-09-01,1.30278e+11
2017-10-01,1.36199e+11
2017-11-01,1.35477e+11
2017-12-01,1.36014e+11
2018-01-01,1.25219e+11
2018-02-01,1.28057e+11
2018-03-01,1.49164e+11
2018-04-01,1.37648e+11
2018-05-01,1.44593e+11
2018-06-01,1.45134e+11
2018-07-01,1.33429e+11
2018-08-01,1.3976e+11
2018-09-01,1.39262e+11
2018-10-01,1.46983e+11
2018-11-01,1.40373e+11
2018-12-01,1.3436e+11
2019-01-01,1.29608e+11
2019-02-01,1.29919e+11
2019-03-01,1.48472e+11
2019-04-01,1.34838e+11
2019-05-01,1.42237e+11
2019-06-01,1.3787e+11
2019-07-01,1.33129e+11
2019-08-01,1.3831e+11
2019-09-01,1.34162e+11
2019-10-01,1.42418e+11
2019-11-01,1.3694e+11
2019-12-01,1.35258e+11
2020-01-01,1.28767e+11
2020-02-01,1.30553e+11
2020-03-01,1.32921e+11
2020-04-01,9.4471e+10
2020-05-01,9.0738e+10
2020-06-01,1.04669e+11
2020-07-01,1.12711e+11
2020-08-01,1.17833e+11
2020-09-01,1.21115e+11
2020-10-01,1.32348e+11
2020-11-01,1.26614e+11
2020-12-01,1.32194e+11
2021-01-01,1.2786e+11
2021-02-01,1.2401e+11
2021-03-01,1.51723e+11
2021-04-01,1.44178e+11
2021-05-01,1.44725e+11
2021-06-01,1.47636e+11
2021-07-01,1.44103e+11
2021-08-01,1.48176e+11
2021-09-01,141862800000
2021-10-01,164418400000
2021-11-01,155890800000
2021-12-01,158974700000
2022-01-01,146981100000
2022-02-01,1.49907e+11
2022-03-01,179574900000
2022-04-01,1.75177e+11
2022-05-01,1.80407e+11
2022-06-01,1.84387e+11
2022-07-01,175103600000
2022-08-01,179628800000
2022-09-01,175316200000
2022-10-01,1.799e+11
2022-11-01,170141800000
2022-12-01,1.67755e+11
2023-01-01,1.65342e+11
2023-02-01,1.58851e+11
2023-03-01,1.84621e+11
2023-04-01,162063700000
2023-05-01,167127600000
2023-06-01,1.67303e+11
2023-07-01,159622700000
