"Date","H0M3M2NM"
1979-07-01,307.3
1979-08-01,317.5
1979-09-01,329.1
1979-10-01,334.8
1979-11-01,334.3
1979-12-01,336.2
1980-01-01,340.1
1980-02-01,349.2
1980-03-01,351.3
1980-04-01,348.3
1980-05-01,354.2
1980-06-01,352.9
1980-07-01,357.3
1980-08-01,363.2
1980-09-01,362.4
1980-10-01,368.3
1980-11-01,380.7
1980-12-01,396
1981-01-01,412.9
1981-02-01,422.5
1981-03-01,422.2
1981-04-01,423.2
1981-05-01,438.1
1981-06-01,445
1981-07-01,455
1981-08-01,467.5
1981-09-01,475.3
1981-10-01,483.1
1981-11-01,492
1981-12-01,498.8
1982-01-01,503.8
1982-02-01,511.1
1982-03-01,517.1
1982-04-01,520.3
1982-05-01,528
1982-06-01,530.3
1982-07-01,535.7
1982-08-01,551.8
1982-09-01,552.5
1982-10-01,561.1
1982-11-01,561.1
1982-12-01,550.9
1983-01-01,524.5
1983-02-01,518.1
1983-03-01,516.2
1983-04-01,518.7
1983-05-01,524.7
1983-06-01,524.9
1983-07-01,524.9
1983-08-01,535.4
1983-09-01,542
1983-10-01,544.4
1983-11-01,560.4
1983-12-01,571.4
1984-01-01,573.5
1984-02-01,582.4
1984-03-01,594.4
1984-04-01,602.8
1984-05-01,623
1984-06-01,628.1
1984-07-01,639.4
1984-08-01,653.7
1984-09-01,659.7
1984-10-01,669.4
1984-11-01,676.2
1984-12-01,682.5
1985-01-01,683.3
1985-02-01,684.9
1985-03-01,687.8
1985-04-01,679.4
1985-05-01,687
1985-06-01,682.9
1985-07-01,673.7
1985-08-01,684
1985-09-01,692.4
1985-10-01,697
1985-11-01,704.2
1985-12-01,714
1986-01-01,728.6
1986-02-01,736.4
1986-03-01,742.1
1986-04-01,741.8
1986-05-01,743.7
1986-06-01,739.9
1986-07-01,744.9
1986-08-01,757.6
1986-09-01,766.4
1986-10-01,764.8
1986-11-01,765.4
1986-12-01,768.3
1987-01-01,778.4
1987-02-01,784.6
1987-03-01,786.4
1987-04-01,784.9
1987-05-01,801.1
1987-06-01,810.4
1987-07-01,810.4
1987-08-01,829.5
1987-09-01,842.3
1987-10-01,850
1987-11-01,862.4
1987-12-01,855.3
1988-01-01,857.7
1988-02-01,864.1
1988-03-01,868
1988-04-01,865.5
1988-05-01,882.6
1988-06-01,887.6
1988-07-01,892.4
1988-08-01,908.9
1988-09-01,916
1988-10-01,920.1
1988-11-01,928.5
1988-12-01,934.3
1989-01-01,939.4
1989-02-01,944.3
1989-03-01,957.1
1989-04-01,950.8
1989-05-01,956.1
1989-06-01,959.2
1989-07-01,955.1
1989-08-01,950.3
1989-09-01,937.3
1989-10-01,927.8
1989-11-01,929.4
1989-12-01,918
1990-01-01,914.9
1990-02-01,912.8
1990-03-01,903.8
1990-04-01,891.3
1990-05-01,900.7
1990-06-01,895
1990-07-01,895.2
1990-08-01,901.1
1990-09-01,892.3
1990-10-01,890.2
1990-11-01,884.7
1990-12-01,874.2
1991-01-01,881.7
1991-02-01,887.7
1991-03-01,875.4
1991-04-01,863.7
1991-05-01,858
1991-06-01,848.1
1991-07-01,835.5
1991-08-01,838.9
1991-09-01,828.5
1991-10-01,826.4
1991-11-01,831.6
1991-12-01,829.4
1992-01-01,828.1
1992-02-01,837.3
1992-03-01,829.7
1992-04-01,814.4
1992-05-01,816.4
1992-06-01,815
1992-07-01,811.3
1992-08-01,824
1992-09-01,816.7
1992-10-01,801.6
1992-11-01,799.9
1992-12-01,788.3
1993-01-01,778.3
1993-02-01,792.3
1993-03-01,792.1
1993-04-01,786.9
1993-05-01,798.2
1993-06-01,790.7
1993-07-01,783.3
1993-08-01,787.3
1993-09-01,786.4
1993-10-01,791.1
1993-11-01,799.4
1993-12-01,800.1
1994-01-01,798.5
1994-02-01,788.7
1994-03-01,788.2
1994-04-01,788.8
1994-05-01,795.5
1994-06-01,804.5
1994-07-01,815.5
1994-08-01,824.3
1994-09-01,830
1994-10-01,846.2
1994-11-01,861.2
1994-12-01,870.4
1995-01-01,891.9
1995-02-01,902.3
1995-03-01,916.4
1995-04-01,922
1995-05-01,943.1
1995-06-01,954.6
1995-07-01,957.2
1995-08-01,973.4
1995-09-01,980.4
1995-10-01,992.2
1995-11-01,997.3
1995-12-01,995
1996-01-01,1015.1
1996-02-01,1037.9
1996-03-01,1042
1996-04-01,1039.6
1996-05-01,1069.5
1996-06-01,1075.9
1996-07-01,1081.9
1996-08-01,1095.4
1996-09-01,1112.1
1996-10-01,1146.1
1996-11-01,1155.7
1996-12-01,1172.4
1997-01-01,1188.6
1997-02-01,1219
1997-03-01,1234.1
1997-04-01,1245.5
1997-05-01,1264
1997-06-01,1270.9
1997-07-01,1300.9
1997-08-01,1328.7
1997-09-01,1350.8
1997-10-01,1384.6
1997-11-01,1411.6
1997-12-01,1436.4
1998-01-01,1460.6
1998-02-01,1475.2
1998-03-01,1508.6
1998-04-01,1508
1998-05-01,1531.7
1998-06-01,1538.5
1998-07-01,1528.7
1998-08-01,1569.3
1998-09-01,1593.6
1998-10-01,1631.3
1998-11-01,1663.7
1998-12-01,1681.6
1999-01-01,1687.5
1999-02-01,1725.6
1999-03-01,1708.2
1999-04-01,1700.3
1999-05-01,1715.6
1999-06-01,1720.1
1999-07-01,1707.9
1999-08-01,1719.4
1999-09-01,1723
1999-10-01,1766.6
1999-11-01,1849.9
1999-12-01,1922
2000-01-01,1946.2
2000-02-01,1976.2
2000-03-01,2006.7
2000-04-01,1998.2
2000-05-01,2025.5
2000-06-01,2041.7
2000-07-01,2055.1
2000-08-01,2092.4
2000-09-01,2108.2
2000-10-01,2120.2
2000-11-01,2154.1
2000-12-01,2211.1
2001-01-01,2269.1
2001-02-01,2311.3
2001-03-01,2313.7
2001-04-01,2357.6
2001-05-01,2427
2001-06-01,2455.9
2001-07-01,2437.6
2001-08-01,2412.5
2001-09-01,2441.9
2001-10-01,2500.2
2001-11-01,2574.7
2001-12-01,2619.8
2002-01-01,2613.2
2002-02-01,2637
2002-03-01,2634.5
2002-04-01,2619.1
2002-05-01,2638.6
2002-06-01,2624.7
2002-07-01,2600.2
2002-08-01,2623.1
2002-09-01,2615.5
2002-10-01,2608.5
2002-11-01,2730.6
2002-12-01,2801.3
2003-01-01,2782
2003-02-01,2789.6
2003-03-01,2787
2003-04-01,2748.9
2003-05-01,2765.9
2003-06-01,2772.7
2003-07-01,2787.4
2003-08-01,2781.9
2003-09-01,2780.2
2003-10-01,2780.1
2003-11-01,2798.7
2003-12-01,2815.9
2004-01-01,2859.9
2004-02-01,2892.5
2004-03-01,2927.3
2004-04-01,2926.1
2004-05-01,2972.6
2004-06-01,2993.5
2004-07-01,2964.2
2004-08-01,2987.5
2004-09-01,2989.6
2004-10-01,2965.7
2004-11-01,2982.5
2004-12-01,3025.4
2005-01-01,3063.8
2005-02-01,3096.3
2005-03-01,3107
2005-04-01,3136.6
2005-05-01,3186.4
2005-06-01,3215.5
2005-07-01,3206.5
2005-08-01,3291
2005-09-01,3344.9
2005-10-01,3386.3
2005-11-01,3416.4
2005-12-01,3488.3
2006-01-01,3515.2
2006-02-01,3560.7
