"Date","SMU55000005552210001SA"
2018-08-01,38.9539713532563
2018-09-01,38.925516579476
2018-10-01,38.8397208237238
2018-11-01,38.7930642919952
2018-12-01,38.8006548567588
2019-01-01,38.7513197652941
2019-02-01,38.742127204022
2019-03-01,38.6339624095226
2019-04-01,38.4711253713734
2019-05-01,38.4062078753714
2019-06-01,38.362721552711
2019-07-01,38.3952471300547
2019-08-01,38.2570313886306
2019-09-01,38.132051755385
2019-10-01,38.14520046019
2019-11-01,38.2058594955752
2019-12-01,38.1133155625754
2020-01-01,38.0648062300937
2020-02-01,37.9451160945065
2020-03-01,37.8243334786656
2020-04-01,37.2408767387341
2020-05-01,37.3006687629002
2020-06-01,37.3522133625577
2020-07-01,37.1908895417731
2020-08-01,37.0659571756288
2020-09-01,37.1487628878742
2020-10-01,37.043953901428
