"Date","DISAMBSL"
1958-02-01,38.282
1958-03-01,38.49
1958-04-01,38.369
1958-05-01,38.329
1958-06-01,38.499
1958-07-01,38.401
1958-08-01,38.417
1958-09-01,38.413
1958-10-01,38.451
1958-11-01,38.558
1958-12-01,38.624
1959-01-01,38.52
1959-02-01,38.82
1959-03-01,38.817
1959-04-01,38.924
1959-05-01,39.045
1959-06-01,39.048
1959-07-01,39.083
1959-08-01,39.013
1959-09-01,39.022
1959-10-01,38.987
1959-11-01,38.889
1959-12-01,38.957
1960-01-01,38.917
1960-02-01,38.856
1960-03-01,38.852
1960-04-01,38.993
1960-05-01,39.001
1960-06-01,39.024
1960-07-01,39.167
1960-08-01,39.294
1960-09-01,39.312
1960-10-01,39.285
1960-11-01,39.41
1960-12-01,39.451
1961-01-01,39.486
1961-02-01,39.603
1961-03-01,39.566
1961-04-01,39.522
1961-05-01,39.592
1961-06-01,39.774
1961-07-01,39.836
1961-08-01,40.041
1961-09-01,40.135
1961-10-01,40.341
1961-11-01,40.622
1961-12-01,40.613
1962-01-01,40.765
1962-02-01,40.787
1962-03-01,40.956
1962-04-01,41.102
1962-05-01,41.378
1962-06-01,41.357
1962-07-01,41.494
1962-08-01,41.626
1962-09-01,41.629
1962-10-01,42.407
1962-11-01,42.041
1962-12-01,42.192
1963-01-01,42.2
1963-02-01,42.38
1963-03-01,42.61
1963-04-01,42.833
1963-05-01,43.068
1963-06-01,43.132
1963-07-01,43.41
1963-08-01,43.627
1963-09-01,43.779
1963-10-01,43.949
1963-11-01,44.191
1963-12-01,44.584
1964-01-01,44.582
1964-02-01,44.594
1964-03-01,44.908
1964-04-01,45.036
1964-05-01,45.357
1964-06-01,45.648
1964-07-01,45.744
1964-08-01,46.135
1964-09-01,46.374
1964-10-01,46.53
1964-11-01,46.791
1964-12-01,46.973
1965-01-01,47.058
1965-02-01,47.18
1965-03-01,47.503
1965-04-01,47.598
1965-05-01,47.768
1965-06-01,48.039
1965-07-01,48.3
1965-08-01,48.601
1965-09-01,48.904
1965-10-01,49.242
1965-11-01,49.464
1965-12-01,49.898
1966-01-01,49.901
1966-02-01,50.08
1966-03-01,50.432
1966-04-01,50.752
1966-05-01,50.886
1966-06-01,50.906
1966-07-01,51.285
1966-08-01,51.415
1966-09-01,51.729
1966-10-01,51.631
1966-11-01,51.83
1966-12-01,52.113
1967-01-01,52.198
1967-02-01,52.644
1967-03-01,53.163
1967-04-01,53.105
1967-05-01,53.177
1967-06-01,53.719
1967-07-01,53.909
1967-08-01,54.226
1967-09-01,54.578
1967-10-01,54.812
1967-11-01,55.017
1967-12-01,55.26
1968-01-01,55.509
1968-02-01,55.891
1968-03-01,56.244
1968-04-01,56.521
1968-05-01,56.624
1968-06-01,57.117
1968-07-01,57.457
1968-08-01,57.748
1968-09-01,58.07
1968-10-01,58.534
1968-11-01,58.808
1968-12-01,59.493
1969-01-01,59.65
1969-02-01,59.918
1969-03-01,59.96
1969-04-01,59.834
1969-05-01,60.184
1969-06-01,60.434
1969-07-01,60.323
1969-08-01,60.771
1969-09-01,60.999
1969-10-01,61.265
1969-11-01,61.635
1969-12-01,61.997
1970-01-01,62.063
1970-02-01,62.238
1970-03-01,62.402
1970-04-01,62.662
1970-05-01,63.144
1970-06-01,63.559
1970-07-01,63.729
1970-08-01,64.374
1970-09-01,65.219
1970-10-01,65.362
1970-11-01,65.728
1970-12-01,66.176
1971-01-01,66.468
1971-02-01,67.187
1971-03-01,67.422
1971-04-01,67.545
1971-05-01,68.181
1971-06-01,68.787
1971-07-01,69.23
1971-08-01,69.836
1971-09-01,70.458
1971-10-01,70.49
1971-11-01,70.696
1971-12-01,70.861
1972-01-01,71.364
1972-02-01,71.889
1972-03-01,72.19
1972-04-01,72.544
1972-05-01,73.147
1972-06-01,73.668
1972-07-01,74.235
1972-08-01,74.837
1972-09-01,75.364
1972-10-01,75.967
1972-11-01,76.872
1972-12-01,77.483
1973-01-01,78.304
1973-02-01,78.669
1973-03-01,79.233
1973-04-01,79.763
1973-05-01,80.331
1973-06-01,80.705
1973-07-01,81.454
1973-08-01,81.64
1973-09-01,82.074
1973-10-01,82.547
1973-11-01,82.918
1973-12-01,83.247
1974-01-01,84.279
1974-02-01,85.003
1974-03-01,85.241
1974-04-01,86.263
1974-05-01,87.133
1974-06-01,87.43
1974-07-01,87.927
1974-08-01,88.478
1974-09-01,89.098
1974-10-01,89.78
1974-11-01,90.184
1974-12-01,90.812
1975-01-01,91.078
1975-02-01,91.648
1975-03-01,92.236
1975-04-01,92.294
1975-05-01,92.688
1975-06-01,93.841
1975-07-01,94.005
1975-08-01,94.373
1975-09-01,94.862
1975-10-01,95.063
1975-11-01,95.751
1975-12-01,96.432
1976-01-01,96.311
1976-02-01,97.303
1976-03-01,98.101
1976-04-01,98.79
1976-05-01,99.419
1976-06-01,99.961
1976-07-01,100.035
1976-08-01,100.577
1976-09-01,101.181
1976-10-01,101.677
1976-11-01,102.408
1976-12-01,103.029
1977-01-01,103.427
1977-02-01,104.142
1977-03-01,105.331
1977-04-01,106.146
1977-05-01,106.672
1977-06-01,107.094
1977-07-01,107.83
1977-08-01,108.676
1977-09-01,109.133
1977-10-01,109.839
1977-11-01,110.715
1977-12-01,111.446
1978-01-01,112.603
1978-02-01,113.879
1978-03-01,114.476
1978-04-01,115.298
1978-05-01,116.634
1978-06-01,117.61
1978-07-01,118.15
1978-08-01,118.19
1978-09-01,119.159
1978-10-01,120.124
1978-11-01,120.754
1978-12-01,121.271
1979-01-01,122.566
1979-02-01,122.835
1979-03-01,123.452
1979-04-01,124.224
1979-05-01,124.587
1979-06-01,125.673
1979-07-01,126.76
1979-08-01,127.389
1979-09-01,128.28
1979-10-01,129.95
1979-11-01,130.101
1979-12-01,131.105
1980-01-01,132.94
1980-02-01,133.5
1980-03-01,134.086
1980-04-01,133.211
1980-05-01,133.668
1980-06-01,134.85
1980-07-01,137.023
1980-08-01,138.373
1980-09-01,139.297
1980-10-01,140.666
1980-11-01,141.344
1980-12-01,141.941
1981-01-01,141.188
1981-02-01,142.682
1981-03-01,142.955
1981-04-01,144.426
1981-05-01,144.88
1981-06-01,144.849
1981-07-01,146.533
1981-08-01,147.214
1981-09-01,147.624
1981-10-01,148.349
1981-11-01,148.967
1981-12-01,150.015
1982-01-01,151.115
1982-02-01,152.308
1982-03-01,151.808
1982-04-01,153.215
1982-05-01,154.251
1982-06-01,154.768
1982-07-01,156.255
1982-08-01,157.631
1982-09-01,158.975
1982-10-01,160.851
1982-11-01,161.835
1982-12-01,163.28
1983-01-01,163.877
1983-02-01,166.482
1983-03-01,167.816
1983-04-01,169.779
1983-05-01,171.254
1983-06-01,171.814
1983-07-01,173.274
1983-08-01,175.018
1983-09-01,176.177
1983-10-01,178.799
1983-11-01,179.47
1983-12-01,180.291
1984-01-01,182.375
1984-02-01,183.472
1984-03-01,184.831
1984-04-01,186.272
1984-05-01,187.286
1984-06-01,188.159
1984-07-01,188.595
1984-08-01,189.077
1984-09-01,190.253
1984-10-01,190.73
1984-11-01,191.909
1984-12-01,192.667
1985-01-01,193.41
1985-02-01,195.341
1985-03-01,195.875
1985-04-01,196.921
1985-05-01,199.128
1985-06-01,200.919
1985-07-01,202.6
1985-08-01,204.294
1985-09-01,206.169
1985-10-01,207.412
1985-11-01,208.516
1985-12-01,211.201
1986-01-01,209.847
1986-02-01,211.125
1986-03-01,212.942
1986-04-01,214.513
1986-05-01,217.68
1986-06-01,219.355
1986-07-01,221.664
1986-08-01,223.597
1986-09-01,225.535
1986-10-01,227.024
1986-11-01,229.143
1986-12-01,232.648
1987-01-01,233.53
1987-02-01,235.033
1987-03-01,234.962
1987-04-01,237.28
1987-05-01,241.058
1987-06-01,240.241
1987-07-01,241.196
1987-08-01,243.001
1987-09-01,244.206
1987-10-01,246.568
1987-11-01,247.792
1987-12-01,248.756
1988-01-01,251.129
1988-02-01,250.57
1988-03-01,251.606
1988-04-01,255.118
1988-05-01,256.845
1988-06-01,259.382
1988-07-01,261.856
1988-08-01,261.72
1988-09-01,262.782
1988-10-01,264.287
1988-11-01,265.707
1988-12-01,266.205
1989-01-01,267.656
1989-02-01,264.998
1989-03-01,267.376
1989-04-01,269.019
1989-05-01,269.678
1989-06-01,271.197
1989-07-01,273.205
1989-08-01,272.361
1989-09-01,272.682
1989-10-01,274.867
1989-11-01,276.072
1989-12-01,277.419
1990-01-01,279.51
1990-02-01,278.072
1990-03-01,281.439
1990-04-01,285.197
1990-05-01,286.153
1990-06-01,289.928
1990-07-01,291.788
1990-08-01,294.455
1990-09-01,297.453
1990-10-01,299.069
1990-11-01,300.515
1990-12-01,305.049
1991-01-01,306.572
1991-02-01,309.191
1991-03-01,311.847
1991-04-01,313.585
1991-05-01,315.3
1991-06-01,317.42
1991-07-01,320.056
1991-08-01,320.785
1991-09-01,322.539
1991-10-01,324.157
1991-11-01,326.414
1991-12-01,331.345
1992-01-01,331.475
1992-02-01,333.872
1992-03-01,336.855
1992-04-01,339.847
1992-05-01,342.955
1992-06-01,344.492
1992-07-01,347.841
1992-08-01,351.699
1992-09-01,355.958
1992-10-01,359.553
1992-11-01,363.054
1992-12-01,365.982
1993-01-01,368.121
1993-02-01,371.663
1993-03-01,373.433
1993-04-01,377.101
1993-05-01,380.825
1993-06-01,384.943
1993-07-01,387.934
1993-08-01,391.287
1993-09-01,394.766
1993-10-01,398.931
1993-11-01,400.66
1993-12-01,403.943
1994-01-01,407.063
1994-02-01,411.528
1994-03-01,413.199
1994-04-01,416.206
1994-05-01,417.976
1994-06-01,420.848
1994-07-01,424.535
1994-08-01,425.51
1994-09-01,427.325
1994-10-01,429.959
1994-11-01,431.929
1994-12-01,432.689
1995-01-01,435.067
1995-02-01,437.167
1995-03-01,439.686
1995-04-01,442.302
1995-05-01,444.687
1995-06-01,443.746
1995-07-01,444.105
1995-08-01,445.363
1995-09-01,446.248
1995-10-01,447.228
1995-11-01,447.497
1995-12-01,448.897
1996-01-01,449.398
1996-02-01,448.345
1996-03-01,450.715
1996-04-01,450.431
1996-05-01,452.04
1996-06-01,454.02
1996-07-01,455.942
1996-08-01,457.847
1996-09-01,459.452
1996-10-01,460.474
1996-11-01,462.686
1996-12-01,465.516
1997-01-01,468.209
1997-02-01,471.447
1997-03-01,470.378
1997-04-01,471.388
1997-05-01,474.314
1997-06-01,475.866
1997-07-01,478.753
1997-08-01,480.951
1997-09-01,482.951
1997-10-01,485.829
1997-11-01,490.719
1997-12-01,493.694
1998-01-01,496.129
1998-02-01,499.49
1998-03-01,499.342
1998-04-01,499.537
1998-05-01,502.322
1998-06-01,504.2
1998-07-01,507.618
1998-08-01,511.031
1998-09-01,515.99
1998-10-01,520.807
1998-11-01,524.38
1998-12-01,526.458
1999-01-01,531.76
1999-02-01,538.19
1999-03-01,539.053
1999-04-01,539.608
1999-05-01,548.331
1999-06-01,549.796
1999-07-01,553.06
1999-08-01,556.711
1999-09-01,564.135
1999-10-01,572.99
1999-11-01,588.675
1999-12-01,612.073
2000-01-01,604.796
2000-02-01,589.984
2000-03-01,584.525
2000-04-01,583.053
2000-05-01,587.863
2000-06-01,587.22
2000-07-01,588.032
2000-08-01,588.436
2000-09-01,590.694
2000-10-01,593.063
2000-11-01,595.548
2000-12-01,596.637
2001-01-01,600.885
2001-02-01,607.232
2001-03-01,606.423
2001-04-01,605.798
2001-05-01,613.257
2001-06-01,613.757
2001-07-01,619.437
2001-08-01,627.452
2001-09-01,654.416
2001-10-01,644.247
2001-11-01,644.414
2001-12-01,648.113
2002-01-01,655.865
2002-02-01,667.212
2002-03-01,666.914
2002-04-01,667.693
2002-05-01,676.063
2002-06-01,678.612
2002-07-01,682.347
2002-08-01,684.566
2002-09-01,687.433
2002-10-01,690.455
2002-11-01,693.678
2002-12-01,695.533
2003-01-01,701.452
2003-02-01,713.738
2003-03-01,713.024
2003-04-01,713.751
2003-05-01,720.444
2003-06-01,719.237
