"Date","MBCURRCIR"
1968-09-01,48500
1968-10-01,48700
1968-11-01,49500
1968-12-01,50700
1969-01-01,49900
1969-02-01,49300
1969-03-01,49500
1969-04-01,49800
1969-05-01,50000
1969-06-01,50800
1969-07-01,51300
1969-08-01,51400
1969-09-01,51500
1969-10-01,51800
1969-11-01,52600
1969-12-01,53700
1970-01-01,52800
1970-02-01,52200
1970-03-01,52500
1970-04-01,52900
1970-05-01,53600
1970-06-01,54200
1970-07-01,54800
1970-08-01,54900
1970-09-01,55000
1970-10-01,55200
1970-11-01,55900
1970-12-01,57100
1971-01-01,56300
1971-02-01,55800
1971-03-01,56200
1971-04-01,56800
1971-05-01,57200
1971-06-01,58000
1971-07-01,58900
1971-08-01,59000
1971-09-01,59100
1971-10-01,59300
1971-11-01,60000
1971-12-01,61100
1972-01-01,60200
1972-02-01,59700
1972-03-01,60100
1972-04-01,60700
1972-05-01,61200
1972-06-01,61900
1972-07-01,62700
1972-08-01,62700
1972-09-01,62900
1972-10-01,63400
1972-11-01,64500
1972-12-01,66100
1973-01-01,65300
1973-02-01,64600
1973-03-01,65100
1973-04-01,66100
1973-05-01,66700
1973-06-01,67600
1973-07-01,68400
1973-08-01,68400
1973-09-01,68600
1973-10-01,68900
1973-11-01,70000
1973-12-01,71700
1974-01-01,71000
1974-02-01,70400
1974-03-01,71100
1974-04-01,72200
1974-05-01,72900
1974-06-01,73800
1974-07-01,74600
1974-08-01,74800
1974-09-01,75100
1974-10-01,75700
1974-11-01,77100
1974-12-01,79000
1975-01-01,77800
1975-02-01,77000
1975-03-01,77800
1975-04-01,78500
1975-05-01,79300
1975-06-01,80800
1975-07-01,81800
1975-08-01,81900
1975-09-01,82000
1975-10-01,82400
1975-11-01,83900
1975-12-01,85900
1976-01-01,84800
1976-02-01,84100
1976-03-01,85000
1976-04-01,86500
1976-05-01,87300
1976-06-01,88400
1976-07-01,89300
1976-08-01,89500
1976-09-01,89800
1976-10-01,90200
1976-11-01,91800
1976-12-01,93600
1977-01-01,92500
1977-02-01,91700
1977-03-01,92800
1977-04-01,94200
1977-05-01,94900
1977-06-01,96000
1977-07-01,97400
1977-08-01,97700
1977-09-01,98100
1977-10-01,98800
1977-11-01,100600
1977-12-01,102800
1978-01-01,102100
1978-02-01,101100
1978-03-01,102000
1978-04-01,103200
1978-05-01,104300
1978-06-01,105700
1978-07-01,107000
1978-08-01,107200
1978-09-01,108000
1978-10-01,108800
1978-11-01,110900
1978-12-01,113400
1979-01-01,112300
1979-02-01,111000
1979-03-01,111900
1979-04-01,113400
1979-05-01,114300
1979-06-01,115900
1979-07-01,117800
1979-08-01,118400
1979-09-01,119300
1979-10-01,119900
1979-11-01,121500
1979-12-01,124000
1980-01-01,123100
1980-02-01,121800
1980-03-01,122600
1980-04-01,123800
1980-05-01,124900
1980-06-01,126600
1980-07-01,128400
1980-08-01,129300
1980-09-01,130000
1980-10-01,130900
1980-11-01,133100
1980-12-01,136000
1981-01-01,133900
1981-02-01,132300
1981-03-01,133000
1981-04-01,135000
1981-05-01,136200
1981-06-01,137300
1981-07-01,138900
1981-08-01,139100
1981-09-01,139100
1981-10-01,139200
1981-11-01,141200
1981-12-01,144400
1982-01-01,143000
1982-02-01,141400
1982-03-01,141800
1982-04-01,144000
1982-05-01,145700
1982-06-01,147400
1982-07-01,148900
1982-08-01,149300
1982-09-01,149700
1982-10-01,150400
1982-11-01,152500
1982-12-01,155500
1983-01-01,154000
1983-02-01,153000
1983-03-01,154600
1983-04-01,156800
1983-05-01,158700
1983-06-01,160700
1983-07-01,162300
1983-08-01,162600
1983-09-01,163500
1983-10-01,164400
1983-11-01,167100
1983-12-01,170200
1984-01-01,169000
1984-02-01,167200
1984-03-01,168400
1984-04-01,170400
1984-05-01,172000
1984-06-01,174300
1984-07-01,176200
1984-08-01,176200
1984-09-01,176500
1984-10-01,176600
1984-11-01,178600
1984-12-01,181800
1985-01-01,180000
1985-02-01,178300
1985-03-01,179200
1985-04-01,181000
1985-05-01,182900
1985-06-01,185500
1985-07-01,187400
1985-08-01,187900
1985-09-01,188500
1985-10-01,189000
1985-11-01,191400
1985-12-01,195200
1986-01-01,193300
1986-02-01,191300
1986-03-01,192500
1986-04-01,194400
1986-05-01,196400
1986-06-01,198700
1986-07-01,200800
1986-08-01,201200
1986-09-01,201500
1986-10-01,202200
1986-11-01,205100
1986-12-01,209100
1987-01-01,208000
1987-02-01,206500
1987-03-01,207400
1987-04-01,209600
1987-05-01,212000
1987-06-01,214400
1987-07-01,216400
1987-08-01,217000
1987-09-01,217600
1987-10-01,218800
1987-11-01,223000
1987-12-01,227200
1988-01-01,226500
1988-02-01,224400
1988-03-01,225500
1988-04-01,228200
1988-05-01,230500
1988-06-01,233500
1988-07-01,236000
1988-08-01,236000
1988-09-01,236200
1988-10-01,237100
1988-11-01,240300
1988-12-01,244400
1989-01-01,243600
1989-02-01,240600
1989-03-01,242100
1989-04-01,243800
1989-05-01,245600
1989-06-01,248000
1989-07-01,249900
1989-08-01,249200
1989-09-01,248800
1989-10-01,249200
1989-11-01,251800
1989-12-01,256800
1990-01-01,256800
1990-02-01,254700
1990-03-01,256800
1990-04-01,259900
1990-05-01,262400
1990-06-01,266000
1990-07-01,268900
1990-08-01,270600
1990-09-01,272700
1990-10-01,274600
1990-11-01,278300
1990-12-01,282900
1991-01-01,284600
1991-02-01,284300
1991-03-01,286400
1991-04-01,287500
1991-05-01,288800
1991-06-01,291200
1991-07-01,293400
1991-08-01,293900
1991-09-01,294600
1991-10-01,295800
1991-11-01,299100
1991-12-01,304500
1992-01-01,303300
1992-02-01,301700
1992-03-01,302800
1992-04-01,305500
1992-05-01,308100
1992-06-01,310500
1992-07-01,313500
1992-08-01,315800
1992-09-01,318500
1992-10-01,320400
1992-11-01,324400
1992-12-01,330500
1993-01-01,330300
1993-02-01,329500
1993-03-01,331600
1993-04-01,335400
1993-05-01,338600
1993-06-01,343000
1993-07-01,346200
1993-08-01,348200
1993-09-01,351100
1993-10-01,353300
1993-11-01,356600
1993-12-01,362400
1994-01-01,362900
1994-02-01,363800
1994-03-01,366800
1994-04-01,370900
1994-05-01,374200
1994-06-01,379100
1994-07-01,383100
1994-08-01,384300
1994-09-01,386600
1994-10-01,389000
1994-11-01,393600
1994-12-01,399000
1995-01-01,399200
1995-02-01,396700
1995-03-01,400600
1995-04-01,405100
1995-05-01,408200
1995-06-01,409400
1995-07-01,410700
1995-08-01,410400
1995-09-01,411100
1995-10-01,411500
1995-11-01,413800
1995-12-01,419700
1996-01-01,417800
1996-02-01,412900
1996-03-01,416000
1996-04-01,418200
1996-05-01,420000
1996-06-01,423700
1996-07-01,428100
1996-08-01,429700
1996-09-01,431700
1996-10-01,432700
1996-11-01,437100
1996-12-01,444300
1997-01-01,443300
1997-02-01,441000
1997-03-01,443500
1997-04-01,445900
1997-05-01,448700
1997-06-01,451900
1997-07-01,455800
1997-08-01,456700
1997-09-01,458600
1997-10-01,460700
1997-11-01,466900
1997-12-01,475400
1998-01-01,474100
1998-02-01,471700
1998-03-01,473800
1998-04-01,476200
1998-05-01,478900
1998-06-01,481500
1998-07-01,485900
1998-08-01,488300
1998-09-01,492500
1998-10-01,496400
1998-11-01,502700
1998-12-01,510500
1999-01-01,510500
1999-02-01,510600
1999-03-01,514900
1999-04-01,519200
1999-05-01,523600
1999-06-01,528400
1999-07-01,533900
1999-08-01,536500
1999-09-01,542100
1999-10-01,551000
1999-11-01,569500
1999-12-01,599900
2000-01-01,589000
2000-02-01,565700
2000-03-01,563700
2000-04-01,564700
2000-05-01,566000
2000-06-01,568600
2000-07-01,570800
2000-08-01,569800
2000-09-01,570200
2000-10-01,571500
2000-11-01,575900
2000-12-01,584300
2001-01-01,584500
2001-02-01,582400
2001-03-01,585300
2001-04-01,588000
2001-05-01,591400
2001-06-01,594900
2001-07-01,601100
2001-08-01,607400
2001-09-01,613100
2001-10-01,615200
2001-11-01,622200
2001-12-01,632300
2002-01-01,634600
2002-02-01,636000
2002-03-01,640200
2002-04-01,643700
2002-05-01,649500
2002-06-01,655800
2002-07-01,661000
2002-08-01,661100
2002-09-01,661400
2002-10-01,662700
2002-11-01,668200
2002-12-01,678300
2003-01-01,678200
2003-02-01,680200
2003-03-01,683900
2003-04-01,687200
2003-05-01,690700
2003-06-01,692500
2003-07-01,694200
2003-08-01,695500
2003-09-01,696900
2003-10-01,701700
2003-11-01,707200
2003-12-01,716400
2004-01-01,713700
2004-02-01,713500
2004-03-01,714000
2004-04-01,716900
2004-05-01,720800
2004-06-01,727200
2004-07-01,734000
2004-08-01,734700
2004-09-01,738900
2004-10-01,741200
2004-11-01,748100
2004-12-01,753500
2005-01-01,749500
2005-02-01,751200
2005-03-01,752200
2005-04-01,753700
2005-05-01,755500
2005-06-01,760700
2005-07-01,763100
2005-08-01,763300
2005-09-01,768000
2005-10-01,768900
2005-11-01,775200
2005-12-01,784700
2006-01-01,784900
2006-02-01,787000
2006-03-01,789100
2006-04-01,790900
2006-05-01,794300
2006-06-01,795200
2006-07-01,794800
2006-08-01,793900
2006-09-01,794300
2006-10-01,794500
2006-11-01,801400
2006-12-01,811100
2007-01-01,807300
2007-02-01,805400
2007-03-01,806400
2007-04-01,807600
2007-05-01,809800
2007-06-01,811800
2007-07-01,813900
2007-08-01,811700
2007-09-01,812000
2007-10-01,813900
2007-11-01,819100
2007-12-01,822300
2008-01-01,815200
2008-02-01,814600
2008-03-01,816400
2008-04-01,813900
2008-05-01,818000
2008-06-01,823500
2008-07-01,830400
2008-08-01,831000
2008-09-01,835100
2008-10-01,851800
2008-11-01,865400
2008-12-01,878300
2009-01-01,886600
2009-02-01,895100
2009-03-01,901400
2009-04-01,903600
2009-05-01,905800
2009-06-01,907500
2009-07-01,910000
2009-08-01,911100
2009-09-01,913200
2009-10-01,915100
2009-11-01,919400
2009-12-01,924400
2010-01-01,921300
2010-02-01,928600
2010-03-01,932900
2010-04-01,935000
2010-05-01,938500
2010-06-01,940900
2010-07-01,944800
2010-08-01,947000
2010-09-01,952100
2010-10-01,960800
2010-11-01,973000
2010-12-01,979700
2011-01-01,979300
2011-02-01,990000
2011-03-01,1001600
2011-04-01,1009900
2011-05-01,1018200
2011-06-01,1023600
2011-07-01,1029900
2011-08-01,1034000
2011-09-01,1038100
2011-10-01,1042700
2011-11-01,1056800
2011-12-01,1067000
2012-01-01,1069600
2012-02-01,1082600
2012-03-01,1095400
2012-04-01,1100000
2012-05-01,1104300
2012-06-01,1109200
2012-07-01,1113600
2012-08-01,1117800
2012-09-01,1126200
2012-10-01,1135000
2012-11-01,1149300
2012-12-01,1158500
2013-01-01,1159200
2013-02-01,1165200
2013-03-01,1174700
2013-04-01,1178800
2013-05-01,1186200
2013-06-01,1190900
2013-07-01,1196700
2013-08-01,1199900
2013-09-01,1205800
2013-10-01,1214600
2013-11-01,1221600
2013-12-01,1232200
2014-01-01,1230300
2014-02-01,1239500
2014-03-01,1262900
2014-04-01,1270300
2014-05-01,1276300
2014-06-01,1280300
2014-07-01,1285100
2014-08-01,1288200
2014-09-01,1289900
2014-10-01,1295800
2014-11-01,1310800
2014-12-01,1327800
2015-01-01,1333400
2015-02-01,1343600
2015-03-01,1355400
2015-04-01,1360400
2015-05-01,1365000
2015-06-01,1366500
2015-07-01,1370400
2015-08-01,1375800
2015-09-01,1384500
2015-10-01,1392300
2015-11-01,1404600
2015-12-01,1416000
2016-01-01,1416600
2016-02-01,1423700
2016-03-01,1438000
2016-04-01,1445200
2016-05-01,1452400
2016-06-01,1458400
2016-07-01,1462900
2016-08-01,1464400
2016-09-01,1470600
2016-10-01,1477000
2016-11-01,1489500
2016-12-01,1500600
2017-01-01,1502700
2017-02-01,1508400
2017-03-01,1530000
2017-04-01,1540300
2017-05-01,1548600
2017-06-01,1556200
2017-07-01,1562100
2017-08-01,1566000
2017-09-01,1578800
2017-10-01,1584200
2017-11-01,1593300
2017-12-01,1606700
2018-01-01,1610200
2018-02-01,1616300
2018-03-01,1633600
2018-04-01,1640900
2018-05-01,1652300
2018-06-01,1662300
2018-07-01,1668500
2018-08-01,1673300
2018-09-01,1686000
2018-10-01,1690800
2018-11-01,1701000
2018-12-01,1709400
2019-01-01,1707800
2019-02-01,1708200
2019-03-01,1720200
2019-04-01,1727200
2019-05-01,1733200
2019-06-01,1739000
2019-07-01,1746800
2019-08-01,1750500
2019-09-01,1762900
2019-10-01,1771300
2019-11-01,1786200
2019-12-01,1796400
2020-01-01,1797200
2020-02-01,1797500
2020-03-01,1838000
2020-04-01,1891300
2020-05-01,1931800
2020-06-01,1958300
2020-07-01,1981700
2020-08-01,2007600
2020-09-01,2027500
2020-10-01,2040500
2020-11-01,2058300
2020-12-01,2071600
2021-01-01,2094200
2021-02-01,2100900
2021-03-01,2117800
2021-04-01,2154800
2021-05-01,2169500
2021-06-01,2179000
2021-07-01,2186300
2021-08-01,2188600
2021-09-01,2195600
2021-10-01,2202800
2021-11-01,2214100
2021-12-01,2225100
2022-01-01,2232700
2022-02-01,2235400
2022-03-01,2259700
2022-04-01,2269700
2022-05-01,2273600
2022-06-01,2278000
2022-07-01,2278500
2022-08-01,2276300
2022-09-01,2279400
2022-10-01,2284500
2022-11-01,2293100
2022-12-01,2298700
2023-01-01,2299100
2023-02-01,2299800
2023-03-01,2313100
2023-04-01,2323700
2023-05-01,2334000
2023-06-01,2342900
2023-07-01,2339100
2023-08-01,2331100
2023-09-01,2327700
2023-10-01,2324900
