"Date","MSIM1P"
1996-07-01,1230.8
1996-08-01,1233.5
1996-09-01,1239
1996-10-01,1243.6
1996-11-01,1249.8
1996-12-01,1256
1997-01-01,1261.9
1997-02-01,1266.8
1997-03-01,1271
1997-04-01,1273.7
1997-05-01,1282.7
1997-06-01,1288.7
1997-07-01,1293.4
1997-08-01,1308
1997-09-01,1313.7
1997-10-01,1320.8
1997-11-01,1329.8
1997-12-01,1336.8
1998-01-01,1344.2
1998-02-01,1352.4
1998-03-01,1355.5
1998-04-01,1362.6
1998-05-01,1368.1
1998-06-01,1373.5
1998-07-01,1379.7
1998-08-01,1385.8
1998-09-01,1396.4
1998-10-01,1406.1
1998-11-01,1416.8
1998-12-01,1424.7
1999-01-01,1429.1
1999-02-01,1433.6
1999-03-01,1436.4
1999-04-01,1445.9
1999-05-01,1455.5
1999-06-01,1457.3
1999-07-01,1462.7
1999-08-01,1469.4
1999-09-01,1468.6
1999-10-01,1475.2
1999-11-01,1486.8
1999-12-01,1501.5
2000-01-01,1501.3
2000-02-01,1492.7
2000-03-01,1494.5
2000-04-01,1506.4
2000-05-01,1500.6
2000-06-01,1500.9
2000-07-01,1505.1
2000-08-01,1508.6
2000-09-01,1511.6
2000-10-01,1514.2
2000-11-01,1510.7
2000-12-01,1508.9
2001-01-01,1521.1
2001-02-01,1527.6
2001-03-01,1538.8
2001-04-01,1551.1
2001-05-01,1556
2001-06-01,1564.5
2001-07-01,1583.1
2001-08-01,1601.5
2001-09-01,1661.5
2001-10-01,1633.6
2001-11-01,1641.2
2001-12-01,1656.9
2002-01-01,1671.2
2002-02-01,1675.2
2002-03-01,1683.2
2002-04-01,1695.7
2002-05-01,1702.5
2002-06-01,1708
2002-07-01,1718.4
2002-08-01,1721.9
2002-09-01,1734.8
2002-10-01,1744.5
2002-11-01,1750.7
2002-12-01,1763.7
2003-01-01,1771.9
2003-02-01,1783.9
2003-03-01,1785.9
2003-04-01,1801.6
2003-05-01,1821.3
2003-06-01,1838.1
2003-07-01,1854.7
2003-08-01,1869.1
2003-09-01,1881.1
2003-10-01,1883.9
2003-11-01,1893.3
2003-12-01,1910.2
2004-01-01,1910
2004-02-01,1934.8
2004-03-01,1958.7
2004-04-01,1964.2
2004-05-01,1978.3
2004-06-01,1991.2
2004-07-01,1991
2004-08-01,2006.8
2004-09-01,2020.6
2004-10-01,2020.4
2004-11-01,2036.7
2004-12-01,2039.7
2005-01-01,2031.8
2005-02-01,2038.7
2005-03-01,2047.4
2005-04-01,2036.6
2005-05-01,2049.1
2005-06-01,2067.6
2005-07-01,2060
2005-08-01,2074
2005-09-01,2077.4
2005-10-01,2077.8
2005-11-01,2081.4
2005-12-01,2083.1
2006-01-01,2091.2
2006-02-01,2094.9
2006-03-01,2102.2
2006-04-01,2102.6
2006-05-01,2111.9
2006-06-01,2100.8
2006-07-01,2102.8
2006-08-01,2109
2006-09-01,2103.6
2006-10-01,2110.2
2006-11-01,2109.2
2006-12-01,2107.3
2007-01-01,2116.7
2007-02-01,2111.4
2007-03-01,2116.3
2007-04-01,2134.3
2007-05-01,2139.3
2007-06-01,2125.6
2007-07-01,2133.3
2007-08-01,2144.7
2007-09-01,2145.7
2007-10-01,2154.5
2007-11-01,2147.2
2007-12-01,2151.5
2008-01-01,2157.4
2008-02-01,2160.6
2008-03-01,2169
2008-04-01,2177.7
2008-05-01,2180.1
2008-06-01,2189.3
2008-07-01,2209.4
2008-08-01,2196.9
2008-09-01,2255.4
2008-10-01,2262.9
2008-11-01,2276.2
2008-12-01,2374.3
2009-01-01,2378.6
2009-02-01,2378.1
2009-03-01,2389.4
2009-04-01,2423.2
2009-05-01,2427.6
2009-06-01,2465.7
2009-07-01,2466.8
2009-08-01,2465.9
2009-09-01,2475.9
2009-10-01,2492.3
2009-11-01,2494.7
2009-12-01,2509.9
2010-01-01,2488.4
2010-02-01,2515.6
2010-03-01,2527.1
2010-04-01,2514.7
2010-05-01,2526.1
2010-06-01,2544.6
2010-07-01,2537.9
2010-08-01,2565.5
2010-09-01,2584
2010-10-01,2600.8
2010-11-01,2646.9
2010-12-01,2657.7
2011-01-01,2675.6
2011-02-01,2697.9
2011-03-01,2712.7
2011-04-01,2724.9
2011-05-01,2763.6
2011-06-01,2775
2011-07-01,2822.4
2011-08-01,2938.8
2011-09-01,2950.1
2011-10-01,2969.3
2011-11-01,2987.7
2011-12-01,2989.1
2012-01-01,3030.6
2012-02-01,3046
2012-03-01,3052.9
2012-04-01,3082.5
2012-05-01,3092.7
2012-06-01,3097.5
2012-07-01,3144.5
2012-08-01,3172.1
2012-09-01,3206.6
2012-10-01,3254.4
2012-11-01,3239.5
2012-12-01,3279
2013-01-01,3299.6
2013-02-01,3312.3
2013-03-01,3298.3
2013-04-01,3357.7
2013-05-01,3369
2013-06-01,3356.3
2013-07-01,3383
2013-08-01,3386.8
2013-09-01,3409.2
2013-10-01,3468.6
2013-11-01,3444.4
2013-12-01,3483.7
