"Date","BOGAMBNS"
1987-01-01,226.283
1987-02-01,223.929
1987-03-01,225.038
1987-04-01,228.798
1987-05-01,229.805
1987-06-01,232.107
1987-07-01,234.065
1987-08-01,234.226
1987-09-01,234.217
1987-10-01,235.787
1987-11-01,239.192
1987-12-01,243.221
1988-01-01,242.84
1988-02-01,240.14
1988-03-01,241.73
1988-04-01,245.61
1988-05-01,246.688
1988-06-01,250.259
1988-07-01,253.004
1988-08-01,252.641
1988-09-01,252.396
1988-10-01,253.134
1988-11-01,256.197
1988-12-01,260.369
1989-01-01,258.786
1989-02-01,255.702
1989-03-01,257.161
1989-04-01,259.661
1989-05-01,259.578
1989-06-01,262.114
1989-07-01,264.036
1989-08-01,263.171
1989-09-01,262.677
1989-10-01,263.357
1989-11-01,266.07
1989-12-01,271.141
1990-01-01,270.481
1990-02-01,268.716
1990-03-01,271.157
1990-04-01,275.435
1990-05-01,276.156
1990-06-01,279.942
1990-07-01,282.577
1990-08-01,284.232
1990-09-01,286.194
1990-10-01,287.716
1990-11-01,291.406
1990-12-01,296.626
1991-01-01,298.579
1991-02-01,298.627
1991-03-01,300.977
1991-04-01,303.326
1991-05-01,303.692
1991-06-01,306.499
1991-07-01,308.59
1991-08-01,309.166
1991-09-01,309.664
1991-10-01,311.464
1991-11-01,315.126
1991-12-01,321.048
1992-01-01,320.395
1992-02-01,320.328
1992-03-01,322.669
1992-04-01,327.419
1992-05-01,328.37
1992-06-01,330.932
1992-07-01,334.073
1992-08-01,336.565
1992-09-01,340.093
1992-10-01,343.62
1992-11-01,347.9
1992-12-01,354.565
1993-01-01,354.421
1993-02-01,353.167
1993-03-01,355.996
1993-04-01,361.622
1993-05-01,364.049
1993-06-01,368.7
1993-07-01,371.958
1993-08-01,374.075
1993-09-01,377.727
1993-10-01,380.802
1993-11-01,384.272
1993-12-01,390.562
1994-01-01,390.987
1994-02-01,390.869
1994-03-01,394.183
1994-04-01,399.851
1994-05-01,400.363
1994-06-01,404.897
1994-07-01,408.375
1994-08-01,409.221
1994-09-01,411.375
1994-10-01,413.129
1994-11-01,417.063
1994-12-01,422.519
1995-01-01,421.816
1995-02-01,419.228
1995-03-01,423.227
1995-04-01,428.721
1995-05-01,429.278
1995-06-01,430.247
1995-07-01,431.271
1995-08-01,431.073
1995-09-01,431.625
1995-10-01,431.584
1995-11-01,433.206
1995-12-01,439.027
1996-01-01,436.035
1996-02-01,430.362
1996-03-01,434.896
1996-04-01,437.143
1996-05-01,436.154
1996-06-01,439.879
1996-07-01,443.19
1996-08-01,444.653
1996-09-01,445.531
1996-10-01,445.399
1996-11-01,449.159
1996-12-01,456.633
1997-01-01,455.477
1997-02-01,452.47
1997-03-01,455.085
1997-04-01,457.985
1997-05-01,458.147
1997-06-01,461.632
1997-07-01,465.308
1997-08-01,466.943
1997-09-01,468.313
1997-10-01,470.351
1997-11-01,476.559
1997-12-01,484.986
1998-01-01,484.347
1998-02-01,481.372
1998-03-01,483.947
1998-04-01,486.754
1998-05-01,487.891
1998-06-01,491.117
1998-07-01,495.254
1998-08-01,497.5
1998-09-01,501.008
1998-10-01,504.896
1998-11-01,510.302
1998-12-01,518.274
1999-01-01,519.98
1999-02-01,519.908
1999-03-01,523.574
1999-04-01,527.819
1999-05-01,533.119
1999-06-01,535.964
1999-07-01,540.92
1999-08-01,543.907
1999-09-01,548.49
1999-10-01,555.755
1999-11-01,572.038
1999-12-01,600.717
2000-01-01,597.383
2000-02-01,571.992
2000-03-01,570.427
2000-04-01,571.667
2000-05-01,573.394
2000-06-01,574.809
2000-07-01,577.493
2000-08-01,576.693
2000-09-01,576.827
2000-10-01,578.215
2000-11-01,582.259
2000-12-01,589.955
2001-01-01,591.33
2001-02-01,588.8
2001-03-01,591.209
2001-04-01,594.895
2001-05-01,598.559
2001-06-01,601.554
2001-07-01,608.229
2001-08-01,614.545
2001-09-01,637.968
2001-10-01,627.787
2001-11-01,629.659
2001-12-01,639.899
2002-01-01,644.265
2002-02-01,645.685
2002-03-01,649.187
2002-04-01,653.262
2002-05-01,657.978
2002-06-01,662.82
2002-07-01,668.677
2002-08-01,669.244
2002-09-01,669.645
2002-10-01,671.43
2002-11-01,676.72
2002-12-01,686.225
2003-01-01,688.32
2003-02-01,690.211
2003-03-01,693.84
2003-04-01,697.74
2003-05-01,701.457
2003-06-01,703.35
2003-07-01,705.642
2003-08-01,709.008
2003-09-01,708.978
2003-10-01,712.574
2003-11-01,717.138
2003-12-01,725.21
2004-01-01,725.154
2004-02-01,723.958
2004-03-01,725.656
2004-04-01,729.951
2004-05-01,733.5
2004-06-01,738.973
2004-07-01,746.526
2004-08-01,746.651
2004-09-01,750.546
2004-10-01,752.755
2004-11-01,758.337
2004-12-01,764.656
2005-01-01,763.776
2005-02-01,763.186
2005-03-01,764.669
2005-04-01,766.243
2005-05-01,766.796
2005-06-01,770.803
2005-07-01,774.3
2005-08-01,774.303
2005-09-01,777.508
2005-10-01,778.267
2005-11-01,783.957
2005-12-01,793.375
2006-01-01,795.221
2006-02-01,796.175
2006-03-01,798.237
2006-04-01,800.949
2006-05-01,804.82
2006-06-01,805.019
2006-07-01,804.752
2006-08-01,802.778
2006-09-01,803.22
2006-10-01,802.332
2006-11-01,808.514
2006-12-01,818.4
2007-01-01,816.772
2007-02-01,812.799
2007-03-01,813.847
2007-04-01,815.886
2007-05-01,818.495
2007-06-01,820.001
2007-07-01,821.901
2007-08-01,822.984
2007-09-01,819.942
2007-10-01,821.833
2007-11-01,826.591
2007-12-01,829.762
2008-01-01,824.362
2008-02-01,822.542
2008-03-01,826.027
2008-04-01,823.914
2008-05-01,827.895
2008-06-01,832.831
2008-07-01,840.354
2008-08-01,841.065
2008-09-01,900.921
2008-10-01,1125.882
2008-11-01,1435.144
2008-12-01,1659.219
2009-01-01,1707.2
2009-02-01,1557.229
2009-03-01,1642.374
2009-04-01,1748.051
2009-05-01,1770.142
2009-06-01,1679.351
2009-07-01,1667.929
2009-08-01,1700.855
2009-09-01,1795.704
2009-10-01,1931.73
2009-11-01,2018.275
2009-12-01,2022.131
2010-01-01,1991.831
2010-02-01,2111.731
2010-03-01,2076.989
2010-04-01,2011.834
2010-05-01,2008.493
2010-06-01,1998.889
2010-07-01,1991.467
2010-08-01,1991.046
2010-09-01,1957.773
2010-10-01,1958.709
2010-11-01,1968.065
2010-12-01,2013.656
2011-01-01,2045.428
2011-02-01,2208.457
2011-03-01,2392.149
2011-04-01,2493.691
2011-05-01,2563.449
2011-06-01,2644.908
2011-07-01,2680.628
2011-08-01,2653.654
2011-09-01,2633.697
2011-10-01,2633.986
2011-11-01,2598.521
2011-12-01,2614.495
2012-01-01,2638.41
2012-02-01,2692.502
2012-03-01,2652.41
2012-04-01,2637.985
2012-05-01,2614.113
2012-06-01,2615.85
2012-07-01,2647.786
2012-08-01,2649.885
2012-09-01,2593.19
2012-10-01,2610.851
2012-11-01,2641.159
2012-12-01,2674.312
2013-01-01,2742.199
2013-02-01,2846.047
2013-03-01,2934.144
2013-04-01,3011.567
2013-05-01,3115.215
