"Date","OCALLP"
1981-04-01,0.0614
1981-05-01,0.0753
1981-06-01,0.0774
1981-07-01,0.0803
1981-08-01,0.0717
1981-09-01,0.0683
1981-10-01,0.0639
1981-11-01,0.0509
1981-12-01,0.0563
1982-01-01,0.059
1982-02-01,0.0593
1982-03-01,0.056
1982-04-01,0.058
1982-05-01,0.0588
1982-06-01,0.0631
1982-07-01,0.0572
1982-08-01,0.0478
1982-09-01,0.0539
1982-10-01,0.0423
1982-11-01,0.0392
1982-12-01,0.0377
1983-01-01,0.0345
1983-02-01,0.0357
1983-03-01,0.0356
1983-04-01,0.0344
1983-05-01,0.0331
1983-06-01,0.0383
1983-07-01,0.0405
1983-08-01,0.0415
1983-09-01,0.0372
1983-10-01,0.0354
1983-11-01,0.0364
1983-12-01,0.0389
1984-01-01,0.0366
1984-02-01,0.0373
1984-03-01,0.0411
1984-04-01,0.0435
1984-05-01,0.0492
1984-06-01,0.0502
1984-07-01,0.0505
1984-08-01,0.0454
1984-09-01,0.0445
1984-10-01,0.0398
1984-11-01,0.0349
1984-12-01,0.0337
1985-01-01,0.0312
1985-02-01,0.0371
1985-03-01,0.0401
1985-04-01,0.0339
1985-05-01,0.0305
1985-06-01,0.0282
1985-07-01,0.0309
1985-08-01,0.0321
1985-09-01,0.0333
1985-10-01,0.0317
1985-11-01,0.0307
1985-12-01,0.0328
1986-01-01,0.0308
1986-02-01,0.0297
1986-03-01,0.0281
1986-04-01,0.0259
1986-05-01,0.0254
1986-06-01,0.0266
1986-07-01,0.0246
1986-08-01,0.0227
1986-09-01,0.0221
1986-10-01,0.0218
1986-11-01,0.0229
1986-12-01,0.0353
1987-01-01,0.0257
1987-02-01,0.026
1987-03-01,0.0269
1987-04-01,0.0309
1987-05-01,0.0348
1987-06-01,0.0329
1987-07-01,0.03
1987-08-01,0.031
1987-09-01,0.036
1987-10-01,0.0391
1987-11-01,0.031
1987-12-01,0.0362
1988-01-01,0.0297
1988-02-01,0.0272
1988-03-01,0.028
1988-04-01,0.0309
1988-05-01,0.0336
1988-06-01,0.0348
1988-07-01,0.038
1988-08-01,0.0409
1988-09-01,0.0385
1988-10-01,0.0382
1988-11-01,0.0402
1988-12-01,0.044
1989-01-01,0.0425
1989-02-01,0.0448
1989-03-01,0.0485
1989-04-01,0.0454
1989-05-01,0.0409
1989-06-01,0.0404
1989-07-01,0.0393
1989-08-01,0.0366
1989-09-01,0.0372
1989-10-01,0.0362
1989-11-01,0.0346
1989-12-01,0.0363
1990-01-01,0.0337
1990-02-01,0.0343
1990-03-01,0.0362
1990-04-01,0.0367
1990-05-01,0.0358
1990-06-01,0.0342
1990-07-01,0.0329
1990-08-01,0.0321
1990-09-01,0.033
1990-10-01,0.0333
1990-11-01,0.0332
1990-12-01,0.0366
1991-01-01,0.0297
1991-02-01,0.0278
1991-03-01,0.026
1991-04-01,0.0258
1991-05-01,0.0247
1991-06-01,0.0266
1991-07-01,0.0268
1991-08-01,0.0239
1991-09-01,0.0233
1991-10-01,0.0221
1991-11-01,0.021
1991-12-01,0.0224
1992-01-01,0.0216
1992-02-01,0.0204
1992-03-01,0.0233
1992-04-01,0.0214
1992-05-01,0.0208
1992-06-01,0.0215
1992-07-01,0.0189
1992-08-01,0.0192
1992-09-01,0.0185
1992-10-01,0.02
1992-11-01,0.0233
1992-12-01,0.0235
1993-01-01,0.0204
1993-02-01,0.02
1993-03-01,0.0201
1993-04-01,0.02
1993-05-01,0.0204
1993-06-01,0.0222
1993-07-01,0.022
1993-08-01,0.022
1993-09-01,0.0214
1993-10-01,0.0217
1993-11-01,0.0232
1993-12-01,0.0231
1994-01-01,0.0223
1994-02-01,0.0252
1994-03-01,0.0291
1994-04-01,0.0316
1994-05-01,0.0354
1994-06-01,0.034
1994-07-01,0.036
1994-08-01,0.036
1994-09-01,0.0365
1994-10-01,0.0391
1994-11-01,0.0407
1994-12-01,0.0448
1995-01-01,0.0441
1995-02-01,0.0409
1995-03-01,0.0397
1995-04-01,0.0386
1995-05-01,0.0375
1995-06-01,0.0363
1995-07-01,0.0351
1995-08-01,0.0355
1995-09-01,0.0349
1995-10-01,0.0354
1995-11-01,0.0348
1995-12-01,0.0354
1996-01-01,0.0334
1996-02-01,0.0319
1996-03-01,0.033
1996-04-01,0.0341
1996-05-01,0.0346
1996-06-01,0.0359
1996-07-01,0.0365
1996-08-01,0.035
1996-09-01,0.0363
1996-10-01,0.0343
1996-11-01,0.0339
1996-12-01,0.0356
1997-01-01,0.0348
1997-02-01,0.0343
1997-03-01,0.0359
1997-04-01,0.0373
1997-05-01,0.0369
1997-06-01,0.036
1997-07-01,0.0352
1997-08-01,0.0351
1997-09-01,0.035
1997-10-01,0.0349
1997-11-01,0.0356
1997-12-01,0.0362
1998-01-01,0.0341
1998-02-01,0.034
1998-03-01,0.0346
1998-04-01,0.0349
1998-05-01,0.0354
1998-06-01,0.0352
1998-07-01,0.0352
1998-08-01,0.0348
1998-09-01,0.0345
1998-10-01,0.0329
1998-11-01,0.0338
1998-12-01,0.0365
1999-01-01,0.0317
1999-02-01,0.0325
1999-03-01,0.0329
1999-04-01,0.0328
1999-05-01,0.0338
1999-06-01,0.0363
1999-07-01,0.0383
1999-08-01,0.0401
1999-09-01,0.0404
1999-10-01,0.042
1999-11-01,0.0406
1999-12-01,0.0427
2000-01-01,0.0411
2000-02-01,0.0417
2000-03-01,0.0425
2000-04-01,0.0429
2000-05-01,0.0465
2000-06-01,0.0451
2000-07-01,0.0439
2000-08-01,0.0429
2000-09-01,0.0421
2000-10-01,0.042
2000-11-01,0.0417
2000-12-01,0.0416
2001-01-01,0.0379
2001-02-01,0.035
2001-03-01,0.0349
2001-04-01,0.0321
2001-05-01,0.0288
2001-06-01,0.0275
2001-07-01,0.0268
2001-08-01,0.0265
2001-09-01,0.0246
2001-10-01,0.0216
2001-11-01,0.02
2001-12-01,0.02
2002-01-01,0.0201
2002-02-01,0.02
2002-03-01,0.0219
2002-04-01,0.0215
2002-05-01,0.0204
2002-06-01,0.0201
2002-07-01,0.0199
2002-08-01,0.0188
2002-09-01,0.019
2002-10-01,0.0191
2002-11-01,0.0174
2002-12-01,0.0174
2003-01-01,0.0178
2003-02-01,0.0176
2003-03-01,0.0171
2003-04-01,0.017
2003-05-01,0.0172
2003-06-01,0.017
2003-07-01,0.0163
2003-08-01,0.0171
2003-09-01,0.0171
2003-10-01,0.0173
2003-11-01,0.0175
2003-12-01,0.0175
2004-01-01,0.0171
2004-02-01,0.017
2004-03-01,0.0169
2004-04-01,0.0181
2004-05-01,0.0206
2004-06-01,0.0233
2004-07-01,0.0237
2004-08-01,0.0236
2004-09-01,0.0245
2004-10-01,0.0254
2004-11-01,0.0275
2004-12-01,0.0287
2005-01-01,0.03
2005-02-01,0.0308
2005-03-01,0.0324
2005-04-01,0.0326
2005-05-01,0.033
2005-06-01,0.0338
2005-07-01,0.0355
2005-08-01,0.0367
2005-09-01,0.0364
2005-10-01,0.0388
2005-11-01,0.0402
2005-12-01,0.0406
2006-01-01,0.041
2006-02-01,0.0422
2006-03-01,0.0429
2006-04-01,0.0437
2006-05-01,0.0441
2006-06-01,0.0457
2006-07-01,0.0458
2006-08-01,0.0443
2006-09-01,0.0436
2006-10-01,0.0434
2006-11-01,0.0432
2006-12-01,0.0431
2007-01-01,0.0434
2007-02-01,0.0434
2007-03-01,0.0429
2007-04-01,0.0429
2007-05-01,0.0431
2007-06-01,0.0434
2007-07-01,0.0431
2007-08-01,0.0448
2007-09-01,0.0449
2007-10-01,0.0419
2007-11-01,0.0416
2007-12-01,0.0443
2008-01-01,0.0328
2008-02-01,0.0286
2008-03-01,0.0278
2008-04-01,0.0316
2008-05-01,0.0314
2008-06-01,0.034
2008-07-01,0.0343
2008-08-01,0.0352
2008-09-01,0.0436
2008-10-01,0.0564
2008-11-01,0.0425
2008-12-01,0.0356
2009-01-01,0.0315
2009-02-01,0.0337
2009-03-01,0.0328
2009-04-01,0.0317
2009-05-01,0.0291
2009-06-01,0.0246
2009-07-01,0.0214
2009-08-01,0.0196
2009-09-01,0.018
2009-10-01,0.0177
2009-11-01,0.0175
2009-12-01,0.0175
2010-01-01,0.0174
2010-02-01,0.0172
2010-03-01,0.0168
2010-04-01,0.0167
2010-05-01,0.0173
2010-06-01,0.0181
2010-07-01,0.0178
2010-08-01,0.017
2010-09-01,0.0167
2010-10-01,0.0166
2010-11-01,0.0166
2010-12-01,0.0162
2011-01-01,0.0161
2011-02-01,0.0162
2011-03-01,0.0162
2011-04-01,0.0161
2011-05-01,0.016
2011-06-01,0.0159
2011-07-01,0.0158
2011-08-01,0.0159
2011-09-01,0.0168
2011-10-01,0.0177
2011-11-01,0.0179
2011-12-01,0.0181
2012-01-01,0.0182
2012-02-01,0.0178
2012-03-01,0.0174
2012-04-01,0.0173
2012-05-01,0.0172
2012-06-01,0.0172
2012-07-01,0.0172
2012-08-01,0.0172
2012-09-01,0.0168
2012-10-01,0.0166
2012-11-01,0.0166
2012-12-01,0.0163
2013-01-01,0.0158
2013-02-01,0.0154
2013-03-01,0.0151
2013-04-01,0.0151
2013-05-01,0.015
2013-06-01,0.015
2013-07-01,0.015
2013-08-01,0.015
2013-09-01,0.015
2013-10-01,0.0149
2013-11-01,0.0149
2013-12-01,0.0149
