"Date","M2MSL"
1972-11-01,565.5
1972-12-01,570.7
1973-01-01,574.1
1973-02-01,575.2
1973-03-01,575.2
1973-04-01,576.5
1973-05-01,580
1973-06-01,583.3
1973-07-01,584.9
1973-08-01,583.7
1973-09-01,582.9
1973-10-01,584.5
1973-11-01,586.9
1973-12-01,589.7
1974-01-01,591.5
1974-02-01,593.2
1974-03-01,595.6
1974-04-01,596.9
1974-05-01,597.5
1974-06-01,599.1
1974-07-01,601.4
1974-08-01,602.7
1974-09-01,604.3
1974-10-01,607.5
1974-11-01,611.2
1974-12-01,614.2
1975-01-01,616.7
1975-02-01,621.1
1975-03-01,627.2
1975-04-01,632.1
1975-05-01,640.6
1975-06-01,650.7
1975-07-01,656.9
1975-08-01,660.8
1975-09-01,665.8
1975-10-01,668.4
1975-11-01,673.8
1975-12-01,678.3
1976-01-01,685.1
1976-02-01,695.6
1976-03-01,703.4
1976-04-01,710.5
1976-05-01,716.3
1976-06-01,718.2
1976-07-01,722.6
1976-08-01,729.4
1976-09-01,735
1976-10-01,743.6
1976-11-01,752.5
1976-12-01,761.3
1977-01-01,769.1
1977-02-01,776.6
1977-03-01,781.9
1977-04-01,787.6
1977-05-01,791.4
1977-06-01,794.8
1977-07-01,799.2
1977-08-01,805.6
1977-09-01,810.9
1977-10-01,815.3
1977-11-01,821
1977-12-01,824.9
1978-01-01,830.9
1978-02-01,833.7
1978-03-01,836.7
1978-04-01,840.9
1978-05-01,847.2
1978-06-01,848.2
1978-07-01,845
1978-08-01,847.6
1978-09-01,851.3
1978-10-01,851.1
1978-11-01,849.1
1978-12-01,845
1979-01-01,838.3
1979-02-01,834.9
1979-03-01,835.5
1979-04-01,838.8
1979-05-01,839
1979-06-01,845.4
1979-07-01,851.9
1979-08-01,856.8
1979-09-01,855.3
1979-10-01,849.3
1979-11-01,840.2
1979-12-01,839.4
1980-01-01,841.2
1980-02-01,844
1980-03-01,834.2
1980-04-01,816
1980-05-01,816.2
1980-06-01,834.4
1980-07-01,854.4
1980-08-01,873.1
1980-09-01,883.4
1980-10-01,889.1
1980-11-01,886.7
1980-12-01,871.3
1981-01-01,858.2
1981-02-01,860.7
1981-03-01,871
1981-04-01,891.7
1981-05-01,888.7
1981-06-01,886
1981-07-01,895.8
1981-08-01,898
1981-09-01,901.7
1981-10-01,906
1981-11-01,915.5
1981-12-01,932.4
1982-01-01,945.7
1982-02-01,941.4
1982-03-01,942.5
1982-04-01,950.7
1982-05-01,954.9
1982-06-01,960.6
1982-07-01,957.6
1982-08-01,968.9
1982-09-01,980.8
1982-10-01,999.4
1982-11-01,1016.9
1982-12-01,1055
1983-01-01,1164.6
1983-02-01,1241.8
1983-03-01,1278.6
1983-04-01,1296.7
1983-05-01,1316.5
1983-06-01,1327.5
1983-07-01,1331.2
1983-08-01,1332
1983-09-01,1332.9
1983-10-01,1336
1983-11-01,1336.3
1983-12-01,1339.4
1984-01-01,1344.9
1984-02-01,1356
1984-03-01,1367.6
1984-04-01,1377.9
1984-05-01,1382.1
1984-06-01,1383
1984-07-01,1380.3
1984-08-01,1372.8
1984-09-01,1375.6
1984-10-01,1380.8
1984-11-01,1397
1984-12-01,1417.6
1985-01-01,1444.4
1985-02-01,1469.4
1985-03-01,1482.3
1985-04-01,1489.3
1985-05-01,1499.5
1985-06-01,1520.9
1985-07-01,1540.7
1985-08-01,1560
1985-09-01,1574.1
1985-10-01,1586.2
1985-11-01,1595.9
1985-12-01,1606.4
1986-01-01,1612.4
1986-02-01,1621.2
1986-03-01,1638.1
1986-04-01,1662.2
1986-05-01,1693.1
1986-06-01,1718
1986-07-01,1741.8
1986-08-01,1765.3
1986-09-01,1790.2
1986-10-01,1817.5
1986-11-01,1839.5
1986-12-01,1869.6
1987-01-01,1888
1987-02-01,1895.3
1987-03-01,1903.6
1987-04-01,1919.8
1987-05-01,1925.5
1987-06-01,1920.7
1987-07-01,1916.8
1987-08-01,1918.2
1987-09-01,1921.7
1987-10-01,1925.1
1987-11-01,1910.8
1987-12-01,1905.4
1988-01-01,1914.4
1988-02-01,1920.9
1988-03-01,1929.8
1988-04-01,1942.2
1988-05-01,1951.3
1988-06-01,1959
1988-07-01,1961.8
1988-08-01,1958.5
1988-09-01,1950.9
1988-10-01,1946.2
1988-11-01,1952
1988-12-01,1951.1
1989-01-01,1941.7
1989-02-01,1930.5
1989-03-01,1926.1
1989-04-01,1914.9
1989-05-01,1901.3
1989-06-01,1903.7
1989-07-01,1919.3
1989-08-01,1934.3
1989-09-01,1949.8
1989-10-01,1968.4
1989-11-01,1985.7
1989-12-01,2001.2
1990-01-01,2016.2
1990-02-01,2027.6
1990-03-01,2035.6
1990-04-01,2044.5
1990-05-01,2042.1
1990-06-01,2052.2
1990-07-01,2059.8
1990-08-01,2076
1990-09-01,2087.8
1990-10-01,2090.4
1990-11-01,2092.1
1990-12-01,2098.5
1991-01-01,2113.4
1991-02-01,2130.5
1991-03-01,2152.9
1991-04-01,2171.2
1991-05-01,2192.2
1991-06-01,2212.5
1991-07-01,2227.5
1991-08-01,2235.3
1991-09-01,2245.3
1991-10-01,2264.2
1991-11-01,2284.3
1991-12-01,2306.9
1992-01-01,2337.9
1992-02-01,2379.9
1992-03-01,2403
1992-04-01,2417.3
1992-05-01,2434.7
1992-06-01,2443
1992-07-01,2457
1992-08-01,2476.4
1992-09-01,2500.8
1992-10-01,2529.4
1992-11-01,2547
1992-12-01,2557
1993-01-01,2562
1993-02-01,2564.3
1993-03-01,2569.1
1993-04-01,2576.2
1993-05-01,2609.3
1993-06-01,2623.3
1993-07-01,2631.3
1993-08-01,2642.4
1993-09-01,2654.8
1993-10-01,2665
1993-11-01,2683.7
1993-12-01,2693.1
1994-01-01,2699.7
1994-02-01,2705.9
1994-03-01,2714.3
1994-04-01,2717.6
1994-05-01,2726
1994-06-01,2711.6
1994-07-01,2714.9
1994-08-01,2706.1
1994-09-01,2699.9
1994-10-01,2688.1
1994-11-01,2680
1994-12-01,2668.9
1995-01-01,2659
1995-02-01,2636.4
1995-03-01,2614.9
1995-04-01,2606.1
1995-05-01,2617.3
1995-06-01,2635.3
1995-07-01,2648.3
1995-08-01,2666.3
1995-09-01,2676.8
1995-10-01,2686.3
1995-11-01,2689.3
1995-12-01,2697.2
1996-01-01,2714.7
1996-02-01,2727.4
1996-03-01,2753.8
1996-04-01,2764.9
1996-05-01,2777.4
1996-06-01,2791.1
1996-07-01,2803.7
1996-08-01,2806.4
1996-09-01,2812.5
1996-10-01,2828.8
1996-11-01,2848.6
1996-12-01,2870.7
1997-01-01,2885.6
1997-02-01,2895.5
1997-03-01,2909.2
1997-04-01,2922.9
1997-05-01,2930.7
1997-06-01,2944
1997-07-01,2958.9
1997-08-01,2991.1
1997-09-01,3006.3
1997-10-01,3024.8
1997-11-01,3047.7
1997-12-01,3065.4
1998-01-01,3087.3
1998-02-01,3119.7
1998-03-01,3145.5
1998-04-01,3172.6
1998-05-01,3198.7
1998-06-01,3218.6
1998-07-01,3240.2
1998-08-01,3268.1
1998-09-01,3308.7
1998-10-01,3349.9
1998-11-01,3391.5
1998-12-01,3424
1999-01-01,3456.5
1999-02-01,3483.6
1999-03-01,3493.1
1999-04-01,3524.3
1999-05-01,3552.2
1999-06-01,3577.5
1999-07-01,3603.7
1999-08-01,3619.5
1999-09-01,3631.1
1999-10-01,3650
1999-11-01,3661.7
1999-12-01,3683
2000-01-01,3703
2000-02-01,3707.5
2000-03-01,3730.1
2000-04-01,3777.2
2000-05-01,3760.4
2000-06-01,3767.7
2000-07-01,3775.2
2000-08-01,3794.3
2000-09-01,3823.9
2000-10-01,3834.4
2000-11-01,3840.2
2000-12-01,3879
2001-01-01,3923.9
2001-02-01,3961.9
2001-03-01,4023.2
2001-04-01,4091.8
2001-05-01,4093.7
2001-06-01,4142.4
2001-07-01,4180.5
2001-08-01,4221.1
2001-09-01,4338.4
2001-10-01,4336.1
2001-11-01,4392.6
2001-12-01,4459.3
2002-01-01,4493.3
2002-02-01,4533.6
2002-03-01,4554.7
2002-04-01,4562.8
2002-05-01,4593.7
2002-06-01,4622.3
2002-07-01,4668.5
2002-08-01,4715.9
2002-09-01,4747.9
2002-10-01,4797.6
2002-11-01,4851.2
2002-12-01,4877.2
2003-01-01,4916.1
2003-02-01,4958.5
2003-03-01,4984
2003-04-01,5026.5
2003-05-01,5093.9
2003-06-01,5137.7
2003-07-01,5195.3
2003-08-01,5264.1
2003-09-01,5243.2
2003-10-01,5239.3
2003-11-01,5248.7
2003-12-01,5248.9
2004-01-01,5259.8
2004-02-01,5300.8
2004-03-01,5338.7
2004-04-01,5382.6
2004-05-01,5462.6
2004-06-01,5465.6
2004-07-01,5478.6
2004-08-01,5502.7
2004-09-01,5534.8
2004-10-01,5558.1
2004-11-01,5578.9
2004-12-01,5589.6
2005-01-01,5584.1
2005-02-01,5579.3
2005-03-01,5573.8
2005-04-01,5571.4
2005-05-01,5570.4
2005-06-01,5586.6
2005-07-01,5603.6
2005-08-01,5621.7
2005-09-01,5644.4
2005-10-01,5670.2
2005-11-01,5674.6
2005-12-01,5688.2
2006-01-01,5716.9
2006-02-01,5723.6
2006-03-01,5719.2
2006-04-01,5736.8
2006-05-01,5722.6
2006-06-01,5740.3
2006-07-01,5757.4
2006-08-01,5764.8
2006-09-01,5774.1
2006-10-01,5807.1
2006-11-01,5831.7
2006-12-01,5865.8
2007-01-01,5896.4
2007-02-01,5902.2
2007-03-01,5926.8
2007-04-01,5988.7
2007-05-01,5997.6
2007-06-01,6029.9
2007-07-01,6057.7
2007-08-01,6129
2007-09-01,6137.3
2007-10-01,6146.4
2007-11-01,6169.1
2007-12-01,6195.9
2008-01-01,6222.8
2008-02-01,6304
2008-03-01,6376.7
2008-04-01,6420.7
2008-05-01,6433.8
2008-06-01,6454.6
2008-07-01,6490.1
2008-08-01,6477.1
2008-09-01,6521.7
2008-10-01,6566
2008-11-01,6581.9
2008-12-01,6734.7
2009-01-01,6824.9
2009-02-01,6866.8
2009-03-01,6945.5
2009-04-01,6969.5
2009-05-01,7044
2009-06-01,7077.4
2009-07-01,7109.8
2009-08-01,7138.2
2009-09-01,7169.8
2009-10-01,7230.8
2009-11-01,7285.7
2009-12-01,7307.4
2010-01-01,7298.5
2010-02-01,7368.7
2010-03-01,7386.6
2010-04-01,7437.1
2010-05-01,7511.8
2010-06-01,7549.1
2010-07-01,7575.9
2010-08-01,7642.8
2010-09-01,7695.9
2010-10-01,7769.2
2010-11-01,7813.5
2010-12-01,7867.6
2011-01-01,7907
2011-02-01,7985.6
2011-03-01,8057.7
2011-04-01,8133
2011-05-01,8216.7
2011-06-01,8304.3
2011-07-01,8483.6
2011-08-01,8688
2011-09-01,8721.5
2011-10-01,8766.8
2011-11-01,8826.4
2011-12-01,8881.4
2012-01-01,8965.8
2012-02-01,9030.8
2012-03-01,9091.9
2012-04-01,9158.2
2012-05-01,9212.8
2012-06-01,9290.2
2012-07-01,9353.6
2012-08-01,9430.3
2012-09-01,9518.6
2012-10-01,9597.1
2012-11-01,9679.1
2012-12-01,9812
2013-01-01,9847.5
2013-02-01,9874.4
2013-03-01,9934.9
2013-04-01,9969.4
2013-05-01,10013.9
2013-06-01,10083.5
2013-07-01,10135.6
2013-08-01,10195.9
2013-09-01,10259.6
2013-10-01,10388.3
2013-11-01,10400.3
2013-12-01,10463.5
2014-01-01,10520.7
2014-02-01,10622.4
2014-03-01,10655.6
2014-04-01,10708.9
2014-05-01,10774.6
2014-06-01,10830.7
2014-07-01,10889
2014-08-01,10919.6
2014-09-01,10963.3
2014-10-01,11033.4
2014-11-01,11077.8
2014-12-01,11161.3
2015-01-01,11228.3
2015-02-01,11366.1
2015-03-01,11383.5
2015-04-01,11434.7
2015-05-01,11473.6
2015-06-01,11526.5
2015-07-01,11587.5
2015-08-01,11647.9
2015-09-01,11719.5
2015-10-01,11761
2015-11-01,11854.6
2015-12-01,11921.2
2016-01-01,12048.9
2016-02-01,12140.7
2016-03-01,12206
2016-04-01,12295.3
2016-05-01,12365.7
2016-06-01,12433.8
2016-07-01,12496
2016-08-01,12586.7
2016-09-01,12652.3
2016-10-01,12723.7
2016-11-01,12800.5
2016-12-01,12844.6
2017-01-01,12916.9
2017-02-01,12991.2
2017-03-01,13057.6
2017-04-01,13111.3
2017-05-01,13159.7
2017-06-01,13175.1
2017-07-01,13227.4
2017-08-01,13273.5
2017-09-01,13306.6
2017-10-01,13350.1
2017-11-01,13373.3
2017-12-01,13424.2
2018-01-01,13430.1
2018-02-01,13466.9
2018-03-01,13516.5
2018-04-01,13524.9
2018-05-01,13572.8
2018-06-01,13618.4
2018-07-01,13642.9
2018-08-01,13673.6
2018-09-01,13693.6
2018-10-01,13693.3
2018-11-01,13693.6
2018-12-01,13805.8
2019-01-01,13852.9
2019-02-01,13870.4
2019-03-01,13893.4
2019-04-01,13916.1
2019-05-01,14020.9
2019-06-01,14130.7
2019-07-01,14213.4
2019-08-01,14287.2
2019-09-01,14385.8
2019-10-01,14522.1
2019-11-01,14627.5
2019-12-01,14713
2020-01-01,14807.3
2020-02-01,14893.2
2020-03-01,15457.3
2020-04-01,16498.2
2020-05-01,17376.2
2020-06-01,17688
2020-07-01,17875.1
2020-08-01,17969.3
2020-09-01,18231.1
2020-10-01,18414.8
2020-11-01,18669.6
2020-12-01,18861.4
2021-01-01,19123.7
2021-02-01,19387.6
2021-03-01,19646.7
2021-04-01,19942.1
2021-05-01,20269.9
2021-06-01,20354.6
2021-07-01,20521.2
2021-08-01,20718.7
2021-09-01,20846.9
2021-10-01,21008.7
2021-11-01,21217.9
2021-12-01,21461.6
2022-01-01,21485.2
2022-02-01,21511.9
2022-03-01,21651.9
2022-04-01,21640.4
2022-05-01,21629.4
2022-06-01,21616.6
2022-07-01,21624.8
2022-08-01,21530.7
2022-09-01,21351.9
2022-10-01,21198.9
2022-11-01,21093.2
2022-12-01,20974
2023-01-01,20768.2
2023-02-01,20572.8
2023-03-01,20260.8
2023-04-01,19984.8
2023-05-01,20019.1
2023-06-01,19989.5
2023-07-01,19957.3
2023-08-01,19884.4
2023-09-01,19789
2023-10-01,19735.4
