"Date","CURRDD"
1993-11-01,703.4
1993-12-01,707
1994-01-01,711.1
1994-02-01,716.4
1994-03-01,719.1
1994-04-01,721.2
1994-05-01,722.4
1994-06-01,724.6
1994-07-01,729.1
1994-08-01,731.1
1994-09-01,734.6
1994-10-01,735.9
1994-11-01,737.6
1994-12-01,738.1
1995-01-01,741.9
1995-02-01,741.9
1995-03-01,743.6
1995-04-01,745.7
1995-05-01,749.5
1995-06-01,752.5
1995-07-01,754.9
1995-08-01,757.5
1995-09-01,758.5
1995-10-01,761.8
1995-11-01,761.7
1995-12-01,761.8
1996-01-01,768
1996-02-01,769.5
1996-03-01,777
1996-04-01,781.7
1996-05-01,785.2
1996-06-01,790.2
1996-07-01,794.3
1996-08-01,791.6
1996-09-01,793.9
1996-10-01,790.8
1996-11-01,795.6
1996-12-01,796.7
1997-01-01,798.9
1997-02-01,800.9
1997-03-01,802.5
1997-04-01,799.2
1997-05-01,802
1997-06-01,806.5
1997-07-01,808.3
1997-08-01,817.7
1997-09-01,809.8
1997-10-01,809
1997-11-01,816.2
1997-12-01,818.8
1998-01-01,820.2
1998-02-01,822.9
1998-03-01,820.6
1998-04-01,821.1
1998-05-01,824.7
1998-06-01,822.8
1998-07-01,820.6
1998-08-01,822.4
1998-09-01,827.5
1998-10-01,830.1
1998-11-01,835.6
1998-12-01,836.7
1999-01-01,839
1999-02-01,839.5
1999-03-01,840.3
1999-04-01,845.6
1999-05-01,847.8
1999-06-01,845
1999-07-01,847.4
1999-08-01,848.8
1999-09-01,847.2
1999-10-01,853.2
1999-11-01,860.3
1999-12-01,870.4
2000-01-01,871.2
2000-02-01,858.1
2000-03-01,857.2
2000-04-01,862.5
2000-05-01,854.7
2000-06-01,854.2
2000-07-01,855.7
2000-08-01,851.4
2000-09-01,851.7
2000-10-01,849.1
2000-11-01,844.3
2000-12-01,841.8
2001-01-01,848.6
2001-02-01,851.4
2001-03-01,855.5
2001-04-01,859.9
2001-05-01,861.8
2001-06-01,864.7
2001-07-01,873.1
2001-08-01,885.7
2001-09-01,940.5
2001-10-01,905.9
2001-11-01,909.3
2001-12-01,917.5
2002-01-01,923.3
2002-02-01,923.2
2002-03-01,925.4
2002-04-01,917.8
2002-05-01,918.1
2002-06-01,921.8
2002-07-01,925.7
2002-08-01,913.1
2002-09-01,918.7
2002-10-01,922.3
2002-11-01,924.8
2002-12-01,933.1
2003-01-01,939.5
2003-02-01,947.2
2003-03-01,947.7
2003-04-01,958.4
2003-05-01,973.1
2003-06-01,981
2003-07-01,982.2
2003-08-01,987.4
2003-09-01,983.3
2003-10-01,984.2
2003-11-01,985
2003-12-01,988.3
2004-01-01,984.8
2004-02-01,994.8
2004-03-01,1000.3
2004-04-01,1005
2004-05-01,1005.1
2004-06-01,1009.1
2004-07-01,1006.7
2004-08-01,1018.4
2004-09-01,1029.7
2004-10-01,1027.5
2004-11-01,1037.3
2004-12-01,1040.7
2005-01-01,1036
2005-02-01,1041.4
2005-03-01,1042.3
2005-04-01,1029.3
2005-05-01,1036.5
2005-06-01,1053.2
2005-07-01,1042.8
2005-08-01,1049.4
2005-09-01,1051
2005-10-01,1049.3
2005-11-01,1048.2
2005-12-01,1048.9
2006-01-01,1053.6
2006-02-01,1054.3
2006-03-01,1059.2
2006-04-01,1058.3
2006-05-01,1066.1
2006-06-01,1058.6
2006-07-01,1056.6
2006-08-01,1057.7
2006-09-01,1051.2
2006-10-01,1056.9
2006-11-01,1059.2
2006-12-01,1055.1
2007-01-01,1056.7
2007-02-01,1051.9
2007-03-01,1051.5
2007-04-01,1060.5
2007-05-01,1064.3
2007-06-01,1062.3
2007-07-01,1065.5
2007-08-01,1068.1
2007-09-01,1065.9
2007-10-01,1069.4
2007-11-01,1067.2
2007-12-01,1062.3
2008-01-01,1063.4
2008-02-01,1064.3
2008-03-01,1072.9
2008-04-01,1073.9
2008-05-01,1076.3
2008-06-01,1085.9
2008-07-01,1100
2008-08-01,1093.5
2008-09-01,1142.9
2008-10-01,1158.4
2008-11-01,1206.7
2008-12-01,1286.1
2009-01-01,1266.2
2009-02-01,1241.3
2009-03-01,1250.8
2009-04-01,1272.8
2009-05-01,1276.8
2009-06-01,1302.4
2009-07-01,1300.4
2009-08-01,1294.8
2009-09-01,1296.2
2009-10-01,1299
2009-11-01,1300.4
2009-12-01,1309.6
2010-01-01,1298.8
2010-02-01,1317
2010-03-01,1325.2
2010-04-01,1328.7
2010-05-01,1336.7
2010-06-01,1351.1
2010-07-01,1344.9
2010-08-01,1366.7
2010-09-01,1378.9
2010-10-01,1389.7
2010-11-01,1425.5
2010-12-01,1435.3
2011-01-01,1448.1
2011-02-01,1470.9
2011-03-01,1494.9
2011-04-01,1498.5
2011-05-01,1539.8
2011-06-01,1558.3
2011-07-01,1594.2
2011-08-01,1703.7
2011-09-01,1709.1
2011-10-01,1717.9
2011-11-01,1762.2
2011-12-01,1753.5
2012-01-01,1788.1
2012-02-01,1791.5
2012-03-01,1809.3
2012-04-01,1818.1
2012-05-01,1833.3
2012-06-01,1854
2012-07-01,1891.3
2012-08-01,1923.6
2012-09-01,1954.9
2012-10-01,1982.9
2012-11-01,2003.2
2012-12-01,2017.5
2013-01-01,2026.7
2013-02-01,2021.7
2013-03-01,2028.9
2013-04-01,2051.3
2013-05-01,2069.1
2013-06-01,2069.1
2013-07-01,2084
2013-08-01,2091.2
2013-09-01,2120.4
2013-10-01,2162.8
2013-11-01,2169.9
2013-12-01,2204.1
2014-01-01,2224.6
2014-02-01,2248.9
2014-03-01,2274.5
2014-04-01,2293
2014-05-01,2309.5
2014-06-01,2339.5
2014-07-01,2358.4
2014-08-01,2319.3
2014-09-01,2389.1
2014-10-01,2396.3
2014-11-01,2411.9
2014-12-01,2459.7
2015-01-01,2451.7
2015-02-01,2504.7
2015-03-01,2497.2
2015-04-01,2495.2
2015-05-01,2479
2015-06-01,2511.8
2015-07-01,2531.6
2015-08-01,2521.5
2015-09-01,2536.5
2015-10-01,2511.5
2015-11-01,2573.1
2015-12-01,2582.7
2016-01-01,2582.3
2016-02-01,2608.2
2016-03-01,2634.9
2016-04-01,2679
2016-05-01,2714.7
2016-06-01,2715.8
2016-07-01,2715.2
2016-08-01,2777.3
2016-09-01,2783.8
2016-10-01,2787.6
2016-11-01,2804.1
2016-12-01,2796.7
2017-01-01,2831.5
2017-02-01,2839.1
2017-03-01,2887.2
2017-04-01,2888.4
2017-05-01,2941.6
2017-06-01,2954.5
2017-07-01,2975.7
2017-08-01,3005
2017-09-01,2988.8
2017-10-01,3018.9
2017-11-01,3030.7
2017-12-01,3022.7
2018-01-01,3046.7
2018-02-01,3009.8
2018-03-01,3062.8
2018-04-01,3048
2018-05-01,3043
2018-06-01,3042
2018-07-01,3064.6
2018-08-01,3068.6
2018-09-01,3077.9
2018-10-01,3090.6
2018-11-01,3073.5
2018-12-01,3140.4
2019-01-01,3110.2
2019-02-01,3118.9
2019-03-01,3102.7
2019-04-01,3128.5
2019-05-01,3135.7
2019-06-01,3178.1
2019-07-01,3203
2019-08-01,3195.7
2019-09-01,3233.9
2019-10-01,3264.1
2019-11-01,3286.9
2019-12-01,3343.1
2020-01-01,3300.5
2020-02-01,3301.5
2020-03-01,3565.3
2020-04-01,3802.6
2020-05-01,3950.7
2020-06-01,4068.4
2020-07-01,4137.9
2020-08-01,4194.1
2020-09-01,4343.1
2020-10-01,4389.1
2020-11-01,4746
2020-12-01,5312.9
2021-01-01,5354.7
2021-02-01,5558.7
2021-03-01,5775
2021-04-01,5849.5
2021-05-01,6075.6
2021-06-01,6315.8
2021-07-01,6444.5
2021-08-01,6542.1
2021-09-01,6580.5
2021-10-01,6699.4
2021-11-01,6775.2
2021-12-01,6884.4
2022-01-01,6875.3
2022-02-01,6835.2
2022-03-01,6947.6
2022-04-01,6996.6
2022-05-01,7095.4
2022-06-01,7099
2022-07-01,7118.9
2022-08-01,7368.8
2022-09-01,7331.7
2022-10-01,7324.9
2022-11-01,7339
2022-12-01,7347.8
2023-01-01,7247.7
2023-02-01,7241.6
2023-03-01,7257
2023-04-01,7163.3
2023-05-01,7193.7
2023-06-01,7188
2023-07-01,7164.3
2023-08-01,7144.1
2023-09-01,7166.3
2023-10-01,7224.6
