"Date","M1445AUSM144SNBR"
1930-10-01,41460
1930-11-01,41066
1930-12-01,40245
1931-01-01,39835
1931-02-01,40119
1931-03-01,40021
1931-04-01,39563
1931-05-01,39019
1931-06-01,38603
1931-07-01,38252
1931-08-01,37397
1931-09-01,36644
1931-10-01,34818
1931-11-01,33951
1931-12-01,32735
1932-01-01,31670
1932-02-01,31289
1932-03-01,31019
1932-04-01,30674
1932-05-01,30145
1932-06-01,29521
1932-07-01,29083
1932-08-01,29054
1932-09-01,29016
1932-10-01,29237
1932-11-01,29469
1932-12-01,29201
1933-01-01,29175
1933-02-01,27019
1933-03-01,24461
1933-04-01,24545
1933-05-01,25081
1933-06-01,25138
1933-07-01,25274
1933-08-01,25342
1933-09-01,25431
1933-10-01,25584
1933-11-01,25719
1933-12-01,25968
1934-01-01,26463
1934-02-01,27101
1934-03-01,27690
1934-04-01,28015
1934-05-01,28232
1934-06-01,28489
1934-07-01,28957
1934-08-01,29606
1934-09-01,29470
1934-10-01,30155
1934-11-01,30547
1934-12-01,30502
1935-01-01,31414
1935-02-01,32065
1935-03-01,32103
1935-04-01,32669
1935-05-01,32866
1935-06-01,33341
1935-07-01,33612
1935-08-01,34906
1935-09-01,34547
1935-10-01,34911
1935-11-01,35476
1935-12-01,35459
1936-01-01,35463
1936-02-01,35922
1936-03-01,35950
1936-04-01,36785
1936-05-01,37566
1936-06-01,38091
1936-07-01,38402
1936-08-01,38388
1936-09-01,38918
1936-10-01,38894
1936-11-01,39065
1936-12-01,39514
1937-01-01,39363
1937-02-01,39816
1937-03-01,39972
1937-04-01,39870
1937-05-01,39663
1937-06-01,39683
1937-07-01,39715
1937-08-01,39536
1937-09-01,39513
1937-10-01,38927
1937-11-01,38653
1937-12-01,38440
1938-01-01,38764
1938-02-01,39063
1938-03-01,39042
1938-04-01,38904
1938-05-01,38487
1938-06-01,38672
1938-07-01,38864
1938-08-01,39649
1938-09-01,39855
1938-10-01,40228
1938-11-01,40729
1938-12-01,40978
1939-01-01,40894
1939-02-01,40739
1939-03-01,41187
1939-04-01,41456
1939-05-01,41623
1939-06-01,41735
1939-07-01,42594
1939-08-01,43390
1939-09-01,44039
1939-10-01,44459
1939-11-01,45317
1939-12-01,45036
1940-01-01,45496
1940-02-01,46032
1940-03-01,46623
1940-04-01,46373
1940-05-01,47156
1940-06-01,47718
1940-07-01,48106
1940-08-01,48222
1940-09-01,48680
1940-10-01,49217
1940-11-01,49733
1940-12-01,50398
1941-01-01,51029
1941-02-01,52137
1941-03-01,52700
1941-04-01,52855
1941-05-01,53570
1941-06-01,53122
1941-07-01,54160
1941-08-01,54101
1941-09-01,54535
1941-10-01,54351
1941-11-01,54791
1941-12-01,54543
1942-01-01,55312
1942-02-01,55693
1942-03-01,55974
1942-04-01,56987
1942-05-01,57762
1942-06-01,57931
1942-07-01,59533
1942-08-01,60638
1942-09-01,61691
1942-10-01,63520
1942-11-01,64190
1942-12-01,65123
1943-01-01,66939
1943-02-01,69341
1943-03-01,71098
1943-04-01,70086
1943-05-01,70700
1943-06-01,74460
1943-07-01,77080
1943-08-01,80728
1943-09-01,73053
1943-10-01,74225
1943-11-01,77277
1943-12-01,80403
1944-01-01,78991
1944-02-01,79905
1944-03-01,81185
1944-04-01,82857
1944-05-01,84861
1944-06-01,83568
1944-07-01,84472
1944-08-01,87127
1944-09-01,88941
1944-10-01,91771
1944-11-01,93928
1944-12-01,91653
1945-01-01,94731
1945-02-01,96480
1945-03-01,98593
1945-04-01,99658
1945-05-01,100505
1945-06-01,99371
1945-07-01,101397
1945-08-01,103127
1945-09-01,104889
1945-10-01,106065
1945-11-01,107008
1945-12-01,106463
