"Date","MZMOWN"
1991-09-01,3.908
1991-10-01,3.791
1991-11-01,3.617
1991-12-01,3.387
1992-01-01,3.083
1992-02-01,2.92
1992-03-01,2.86
1992-04-01,2.785
1992-05-01,2.72
1992-06-01,2.679
1992-07-01,2.473
1992-08-01,2.375
1992-09-01,2.257
1992-10-01,2.186
1992-11-01,2.171
1992-12-01,2.151
1993-01-01,2.135
1993-02-01,2.081
1993-03-01,2.025
1993-04-01,1.985
1993-05-01,1.959
1993-06-01,1.935
1993-07-01,1.921
1993-08-01,1.893
1993-09-01,1.866
1993-10-01,1.849
1993-11-01,1.838
1993-12-01,1.832
1994-01-01,1.827
1994-02-01,1.811
1994-03-01,1.836
1994-04-01,1.881
1994-05-01,1.953
1994-06-01,2.026
1994-07-01,2.064
1994-08-01,2.129
1994-09-01,2.184
1994-10-01,2.238
1994-11-01,2.345
1994-12-01,2.474
1995-01-01,2.525
1995-02-01,2.586
1995-03-01,2.645
1995-04-01,2.68
1995-05-01,2.683
1995-06-01,2.687
1995-07-01,2.699
1995-08-01,2.673
1995-09-01,2.669
1995-10-01,2.68
1995-11-01,2.697
1995-12-01,2.683
1996-01-01,2.643
1996-02-01,2.575
1996-03-01,2.548
1996-04-01,2.547
1996-05-01,2.526
1996-06-01,2.532
1996-07-01,2.585
1996-08-01,2.586
1996-09-01,2.59
1996-10-01,2.614
1996-11-01,2.62
1996-12-01,2.623
1997-01-01,2.604
1997-02-01,2.606
1997-03-01,2.623
1997-04-01,2.662
1997-05-01,2.694
1997-06-01,2.715
1997-07-01,2.77
1997-08-01,2.779
1997-09-01,2.811
1997-10-01,2.852
1997-11-01,2.843
1997-12-01,2.888
1998-01-01,2.832
1998-02-01,2.834
1998-03-01,2.846
1998-04-01,2.865
1998-05-01,2.868
1998-06-01,2.898
1998-07-01,2.894
1998-08-01,2.904
1998-09-01,2.891
1998-10-01,2.848
1998-11-01,2.775
1998-12-01,2.717
1999-01-01,2.677
1999-02-01,2.655
1999-03-01,2.621
1999-04-01,2.617
1999-05-01,2.601
1999-06-01,2.63
1999-07-01,2.683
1999-08-01,2.761
1999-09-01,2.797
1999-10-01,2.876
1999-11-01,2.972
1999-12-01,3.016
2000-01-01,3.045
2000-02-01,3.129
2000-03-01,3.179
2000-04-01,3.198
2000-05-01,3.352
2000-06-01,3.446
2000-07-01,3.542
2000-08-01,3.572
2000-09-01,3.58
2000-10-01,3.61
2000-11-01,3.64
2000-12-01,3.633
2001-01-01,3.487
2001-02-01,3.295
2001-03-01,3.143
2001-04-01,2.91
2001-05-01,2.619
2001-06-01,2.501
2001-07-01,2.341
2001-08-01,2.231
2001-09-01,1.95
2001-10-01,1.727
2001-11-01,1.485
2001-12-01,1.327
2002-01-01,1.195
2002-02-01,1.147
2002-03-01,1.124
2002-04-01,1.118
2002-05-01,1.098
2002-06-01,1.098
2002-07-01,1.097
2002-08-01,1.072
2002-09-01,1.054
2002-10-01,1.092
2002-11-01,0.945
2002-12-01,0.856
2003-01-01,0.752
2003-02-01,0.727
2003-03-01,0.728
2003-04-01,0.68
2003-05-01,0.687
2003-06-01,0.663
2003-07-01,0.593
2003-08-01,0.558
2003-09-01,0.567
2003-10-01,0.582
2003-11-01,0.582
2003-12-01,0.579
2004-01-01,0.598
2004-02-01,0.591
2004-03-01,0.562
2004-04-01,0.522
2004-05-01,0.529
2004-06-01,0.594
2004-07-01,0.641
2004-08-01,0.705
2004-09-01,0.772
2004-10-01,0.815
2004-11-01,0.895
2004-12-01,0.981
2005-01-01,1.008
2005-02-01,1.092
2005-03-01,1.184
2005-04-01,1.258
2005-05-01,1.338
2005-06-01,1.388
2005-07-01,1.476
2005-08-01,1.571
2005-09-01,1.644
2005-10-01,1.734
2005-11-01,1.833
2005-12-01,1.896
2006-01-01,2.047
2006-02-01,2.128
2006-03-01,2.157
2006-04-01,2.28
2006-05-01,2.368
2006-06-01,2.428
2006-07-01,2.566
2006-08-01,2.622
2006-09-01,2.636
2006-10-01,2.726
2006-11-01,2.708
2006-12-01,2.733
2007-01-01,2.66
2007-02-01,2.678
2007-03-01,2.768
2007-04-01,2.808
2007-05-01,2.815
2007-06-01,2.818
2007-07-01,2.885
2007-08-01,2.825
2007-09-01,2.865
2007-10-01,2.827
2007-11-01,2.726
2007-12-01,2.632
2008-01-01,2.372
2008-02-01,2.003
2008-03-01,1.691
2008-04-01,1.505
2008-05-01,1.395
2008-06-01,1.36
2008-07-01,1.293
2008-08-01,1.29
2008-09-01,1.239
2008-10-01,1.289
2008-11-01,1.041
2008-12-01,0.807
2009-01-01,0.527
2009-02-01,0.454
2009-03-01,0.405
2009-04-01,0.391
2009-05-01,0.359
2009-06-01,0.325
2009-07-01,0.32
2009-08-01,0.303
2009-09-01,0.296
2009-10-01,0.329
2009-11-01,0.312
2009-12-01,0.284
2010-01-01,0.265
2010-02-01,0.262
2010-03-01,0.255
2010-04-01,0.259
2010-05-01,0.254
2010-06-01,0.253
2010-07-01,0.267
2010-08-01,0.251
2010-09-01,0.241
2010-10-01,0.238
2010-11-01,0.229
2010-12-01,0.225
2011-01-01,0.226
2011-02-01,0.216
2011-03-01,0.209
2011-04-01,0.205
2011-05-01,0.201
2011-06-01,0.195
2011-07-01,0.201
2011-08-01,0.195
2011-09-01,0.178
2011-10-01,0.179
2011-11-01,0.173
2011-12-01,0.166
2012-01-01,0.14
2012-02-01,0.14
2012-03-01,0.138
2012-04-01,0.136
2012-05-01,0.132
2012-06-01,0.131
2012-07-01,0.122
2012-08-01,0.124
2012-09-01,0.125
2012-10-01,0.12
2012-11-01,0.116
2012-12-01,0.115
2013-01-01,0.118
2013-02-01,0.11
2013-03-01,0.105
2013-04-01,0.106
2013-05-01,0.101
2013-06-01,0.096
2013-07-01,0.096
2013-08-01,0.097
2013-09-01,0.095
2013-10-01,0.089
2013-11-01,0.086
2013-12-01,0.091
2014-01-01,0.089
2014-02-01,0.087
2014-03-01,0.086
2014-04-01,0.088
2014-05-01,0.088
2014-06-01,0.087
2014-07-01,0.088
2014-08-01,0.088
2014-09-01,0.088
2014-10-01,0.086
2014-11-01,0.087
2014-12-01,0.086
2015-01-01,0.089
2015-02-01,0.09
2015-03-01,0.089
2015-04-01,0.09
2015-05-01,0.089
2015-06-01,0.088
2015-07-01,0.088
2015-08-01,0.086
2015-09-01,0.085
2015-10-01,0.085
2015-11-01,0.086
2015-12-01,0.093
2016-01-01,0.105
2016-02-01,0.109
2016-03-01,0.108
2016-04-01,0.112
2016-05-01,0.115
2016-06-01,0.115
2016-07-01,0.118
2016-08-01,0.116
2016-09-01,0.117
2016-10-01,0.123
2016-11-01,0.128
2016-12-01,0.141
2017-01-01,0.154
2017-02-01,0.157
2017-03-01,0.176
2017-04-01,0.2
2017-05-01,0.209
2017-06-01,0.229
2017-07-01,0.259
2017-08-01,0.271
2017-09-01,0.278
2017-10-01,0.29
2017-11-01,0.295
2017-12-01,0.328
2018-01-01,0.347
2018-02-01,0.369
2018-03-01,0.413
2018-04-01,0.441
2018-05-01,0.463
2018-06-01,0.501
2018-07-01,0.532
2018-08-01,0.546
2018-09-01,0.562
2018-10-01,0.598
2018-11-01,0.622
2018-12-01,0.663
2019-01-01,0.828
2019-02-01,0.701
2019-03-01,0.724
2019-04-01,0.732
2019-05-01,0.724
2019-06-01,0.724
