"Date","OCMZMP"
1977-05-01,0.0247
1977-06-01,0.0247
1977-07-01,0.0245
1977-08-01,0.0269
1977-09-01,0.0285
1977-10-01,0.0322
1977-11-01,0.0317
1977-12-01,0.0323
1978-01-01,0.0332
1978-02-01,0.0332
1978-03-01,0.0361
1978-04-01,0.0338
1978-05-01,0.0362
1978-06-01,0.0395
1978-07-01,0.0408
1978-08-01,0.0397
1978-09-01,0.0426
1978-10-01,0.0484
1978-11-01,0.0556
1978-12-01,0.0566
1979-01-01,0.0551
1979-02-01,0.0515
1979-03-01,0.0507
1979-04-01,0.05
1979-05-01,0.0507
1979-06-01,0.049
1979-07-01,0.0499
1979-08-01,0.0533
1979-09-01,0.0589
1979-10-01,0.0685
1979-11-01,0.0702
1979-12-01,0.0678
1980-01-01,0.0668
1980-02-01,0.072
1980-03-01,0.0876
1980-04-01,0.0826
1980-05-01,0.0609
1980-06-01,0.0435
1980-07-01,0.0434
1980-08-01,0.0529
1980-09-01,0.0591
1980-10-01,0.0642
1980-11-01,0.0782
1980-12-01,0.0972
1981-01-01,0.0916
1981-02-01,0.0795
1981-03-01,0.0711
1981-04-01,0.0747
1981-05-01,0.0896
1981-06-01,0.0876
1981-07-01,0.0909
1981-08-01,0.0869
1981-09-01,0.0833
1981-10-01,0.0772
1981-11-01,0.0642
1981-12-01,0.0662
1982-01-01,0.072
1982-02-01,0.0753
1982-03-01,0.07
1982-04-01,0.0711
1982-05-01,0.0706
1982-06-01,0.0741
1982-07-01,0.0704
1982-08-01,0.0587
1982-09-01,0.0611
1982-10-01,0.0499
1982-11-01,0.0465
1982-12-01,0.0453
1983-01-01,0.0419
1983-02-01,0.0438
1983-03-01,0.0437
1983-04-01,0.0431
1983-05-01,0.0413
1983-06-01,0.0472
1983-07-01,0.0501
1983-08-01,0.0516
1983-09-01,0.047
1983-10-01,0.0458
1983-11-01,0.0464
1983-12-01,0.0487
1984-01-01,0.0463
1984-02-01,0.0472
1984-03-01,0.0513
1984-04-01,0.0538
1984-05-01,0.0601
1984-06-01,0.0613
1984-07-01,0.0625
1984-08-01,0.0581
1984-09-01,0.0567
1984-10-01,0.0513
1984-11-01,0.045
1984-12-01,0.0425
1985-01-01,0.0397
1985-02-01,0.0455
1985-03-01,0.049
1985-04-01,0.0426
1985-05-01,0.0385
1985-06-01,0.0354
1985-07-01,0.0378
1985-08-01,0.039
1985-09-01,0.0402
1985-10-01,0.0389
1985-11-01,0.0379
1985-12-01,0.0396
1986-01-01,0.0378
1986-02-01,0.0368
1986-03-01,0.0346
1986-04-01,0.0316
1986-05-01,0.0311
1986-06-01,0.0323
1986-07-01,0.0299
1986-08-01,0.0276
1986-09-01,0.0269
1986-10-01,0.0264
1986-11-01,0.0275
1986-12-01,0.0397
1987-01-01,0.0301
1987-02-01,0.0306
1987-03-01,0.0315
1987-04-01,0.0357
1987-05-01,0.0404
1987-06-01,0.0388
1987-07-01,0.0362
1987-08-01,0.0373
1987-09-01,0.0429
1987-10-01,0.0463
1987-11-01,0.0382
1987-12-01,0.0432
1988-01-01,0.0369
1988-02-01,0.034
1988-03-01,0.0346
1988-04-01,0.0374
1988-05-01,0.0406
1988-06-01,0.0417
1988-07-01,0.0451
1988-08-01,0.0486
1988-09-01,0.0465
1988-10-01,0.0464
1988-11-01,0.0489
1988-12-01,0.0527
1989-01-01,0.0517
1989-02-01,0.0542
1989-03-01,0.0587
1989-04-01,0.0562
1989-05-01,0.0516
1989-06-01,0.0506
1989-07-01,0.0488
1989-08-01,0.046
1989-09-01,0.0465
1989-10-01,0.0454
1989-11-01,0.0437
1989-12-01,0.045
1990-01-01,0.0425
1990-02-01,0.0432
1990-03-01,0.045
1990-04-01,0.0455
1990-05-01,0.0449
1990-06-01,0.0433
1990-07-01,0.0419
1990-08-01,0.041
1990-09-01,0.0417
1990-10-01,0.0418
1990-11-01,0.0414
1990-12-01,0.0442
1991-01-01,0.037
1991-02-01,0.0345
1991-03-01,0.0323
1991-04-01,0.0319
1991-05-01,0.0304
1991-06-01,0.0322
1991-07-01,0.0322
1991-08-01,0.029
1991-09-01,0.028
1991-10-01,0.0266
1991-11-01,0.0251
1991-12-01,0.0259
1992-01-01,0.0248
1992-02-01,0.0238
1992-03-01,0.0269
1992-04-01,0.0251
1992-05-01,0.0244
1992-06-01,0.0252
1992-07-01,0.0222
1992-08-01,0.0224
1992-09-01,0.0215
1992-10-01,0.023
1992-11-01,0.0266
1992-12-01,0.0268
1993-01-01,0.0235
1993-02-01,0.0232
1993-03-01,0.0233
1993-04-01,0.0232
1993-05-01,0.0236
1993-06-01,0.0255
1993-07-01,0.0252
1993-08-01,0.0252
1993-09-01,0.0246
1993-10-01,0.0249
1993-11-01,0.0266
1993-12-01,0.0264
1994-01-01,0.0256
1994-02-01,0.0287
1994-03-01,0.0329
1994-04-01,0.0356
1994-05-01,0.0399
1994-06-01,0.0386
1994-07-01,0.0408
1994-08-01,0.041
1994-09-01,0.0416
1994-10-01,0.0446
1994-11-01,0.0467
1994-12-01,0.0513
1995-01-01,0.0509
1995-02-01,0.0479
1995-03-01,0.0467
1995-04-01,0.0457
1995-05-01,0.0447
1995-06-01,0.0432
1995-07-01,0.0418
1995-08-01,0.0423
1995-09-01,0.0417
1995-10-01,0.0422
1995-11-01,0.0415
1995-12-01,0.042
1996-01-01,0.0399
1996-02-01,0.0381
1996-03-01,0.0394
1996-04-01,0.0406
1996-05-01,0.0412
1996-06-01,0.0426
1996-07-01,0.0434
1996-08-01,0.0419
1996-09-01,0.0434
1996-10-01,0.0414
1996-11-01,0.0409
1996-12-01,0.0426
1997-01-01,0.0418
1997-02-01,0.0413
1997-03-01,0.0431
1997-04-01,0.0446
1997-05-01,0.0442
1997-06-01,0.0432
1997-07-01,0.0424
1997-08-01,0.0422
1997-09-01,0.0422
1997-10-01,0.042
1997-11-01,0.0428
1997-12-01,0.0435
1998-01-01,0.0411
1998-02-01,0.0409
1998-03-01,0.0415
1998-04-01,0.0418
1998-05-01,0.0423
1998-06-01,0.0421
1998-07-01,0.0421
1998-08-01,0.0417
1998-09-01,0.0413
1998-10-01,0.0393
1998-11-01,0.04
1998-12-01,0.043
1999-01-01,0.0378
1999-02-01,0.0388
1999-03-01,0.0393
1999-04-01,0.0392
1999-05-01,0.0403
1999-06-01,0.043
1999-07-01,0.0453
1999-08-01,0.0473
1999-09-01,0.0477
1999-10-01,0.0495
1999-11-01,0.048
1999-12-01,0.0505
2000-01-01,0.0488
2000-02-01,0.0496
2000-03-01,0.0505
2000-04-01,0.051
2000-05-01,0.055
2000-06-01,0.0537
2000-07-01,0.0522
2000-08-01,0.0511
2000-09-01,0.0503
2000-10-01,0.0503
2000-11-01,0.0499
2000-12-01,0.0497
2001-01-01,0.0451
2001-02-01,0.0418
2001-03-01,0.0415
2001-04-01,0.0382
2001-05-01,0.0343
2001-06-01,0.0329
2001-07-01,0.0322
2001-08-01,0.0318
2001-09-01,0.0294
2001-10-01,0.0255
2001-11-01,0.0235
2001-12-01,0.0236
2002-01-01,0.0236
2002-02-01,0.0236
2002-03-01,0.0258
2002-04-01,0.0253
2002-05-01,0.0241
2002-06-01,0.0238
2002-07-01,0.0235
2002-08-01,0.0222
2002-09-01,0.0223
2002-10-01,0.0224
2002-11-01,0.0204
2002-12-01,0.0203
2003-01-01,0.0208
2003-02-01,0.0206
2003-03-01,0.0199
2003-04-01,0.0198
2003-05-01,0.02
2003-06-01,0.0197
2003-07-01,0.0189
2003-08-01,0.0199
2003-09-01,0.0199
2003-10-01,0.0201
2003-11-01,0.0204
2003-12-01,0.0204
2004-01-01,0.0199
2004-02-01,0.0198
2004-03-01,0.0197
2004-04-01,0.021
2004-05-01,0.0239
2004-06-01,0.027
2004-07-01,0.0275
2004-08-01,0.0274
2004-09-01,0.0285
2004-10-01,0.0295
2004-11-01,0.032
2004-12-01,0.0335
2005-01-01,0.0351
2005-02-01,0.036
2005-03-01,0.038
2005-04-01,0.0383
2005-05-01,0.0387
2005-06-01,0.0396
2005-07-01,0.0416
2005-08-01,0.0429
2005-09-01,0.0426
2005-10-01,0.0453
2005-11-01,0.0469
2005-12-01,0.0474
2006-01-01,0.0477
2006-02-01,0.0491
2006-03-01,0.0501
2006-04-01,0.051
2006-05-01,0.0515
2006-06-01,0.0533
2006-07-01,0.0535
2006-08-01,0.052
2006-09-01,0.0512
2006-10-01,0.051
2006-11-01,0.0508
2006-12-01,0.0506
2007-01-01,0.051
2007-02-01,0.051
2007-03-01,0.0504
2007-04-01,0.0505
2007-05-01,0.0507
2007-06-01,0.0509
2007-07-01,0.0506
2007-08-01,0.0525
2007-09-01,0.0525
2007-10-01,0.0492
2007-11-01,0.0488
2007-12-01,0.0519
2008-01-01,0.0388
2008-02-01,0.0337
2008-03-01,0.0327
2008-04-01,0.0368
2008-05-01,0.0366
2008-06-01,0.0396
2008-07-01,0.0401
2008-08-01,0.0412
2008-09-01,0.0507
2008-10-01,0.0656
2008-11-01,0.05
2008-12-01,0.0418
2009-01-01,0.0368
2009-02-01,0.0393
2009-03-01,0.0382
2009-04-01,0.037
2009-05-01,0.034
2009-06-01,0.0288
2009-07-01,0.0251
2009-08-01,0.0229
2009-09-01,0.021
2009-10-01,0.0206
2009-11-01,0.0203
2009-12-01,0.0203
2010-01-01,0.0202
2010-02-01,0.0199
2010-03-01,0.0195
2010-04-01,0.0193
2010-05-01,0.02
2010-06-01,0.0209
2010-07-01,0.0205
2010-08-01,0.0196
2010-09-01,0.0192
2010-10-01,0.0191
2010-11-01,0.0192
2010-12-01,0.0187
2011-01-01,0.0185
2011-02-01,0.0187
2011-03-01,0.0187
2011-04-01,0.0185
2011-05-01,0.0184
2011-06-01,0.0183
2011-07-01,0.0181
2011-08-01,0.0183
2011-09-01,0.0193
2011-10-01,0.0204
2011-11-01,0.0205
2011-12-01,0.0208
2012-01-01,0.0209
2012-02-01,0.0204
2012-03-01,0.0199
2012-04-01,0.0199
2012-05-01,0.0197
2012-06-01,0.0197
2012-07-01,0.0198
2012-08-01,0.0198
2012-09-01,0.0193
2012-10-01,0.019
2012-11-01,0.019
2012-12-01,0.0187
2013-01-01,0.0181
2013-02-01,0.0176
2013-03-01,0.0174
2013-04-01,0.0173
2013-05-01,0.0172
2013-06-01,0.0172
2013-07-01,0.0172
2013-08-01,0.0172
2013-09-01,0.0172
2013-10-01,0.0171
2013-11-01,0.017
2013-12-01,0.017
