"Date","BOGUMBNS"
1981-08-01,165.82
1981-09-01,164.4
1981-10-01,164.882
1981-11-01,166.817
1981-12-01,170.31
1982-01-01,169.789
1982-02-01,167.482
1982-03-01,166.075
1982-04-01,168.333
1982-05-01,169.864
1982-06-01,171.28
1982-07-01,173.2
1982-08-01,173.644
1982-09-01,173.174
1982-10-01,174.682
1982-11-01,176.951
1982-12-01,180.353
1983-01-01,179.003
1983-02-01,177.164
1983-03-01,177.178
1983-04-01,179.763
1983-05-01,181.17
1983-06-01,183.033
1983-07-01,185.193
1983-08-01,185.288
1983-09-01,184.997
1983-10-01,186.476
1983-11-01,188.844
1983-12-01,192.231
1984-01-01,192.188
1984-02-01,187.692
1984-03-01,189.222
1984-04-01,191.978
1984-05-01,192.539
1984-06-01,195.06
1984-07-01,197.185
1984-08-01,197.144
1984-09-01,197.438
1984-10-01,198.091
1984-11-01,200.233
1984-12-01,204.154
1985-01-01,203.097
1985-02-01,201.613
1985-03-01,202.889
1985-04-01,205.266
1985-05-01,206.395
1985-06-01,209.963
1985-07-01,212.277
1985-08-01,213.136
1985-09-01,214.493
1985-10-01,216.144
1985-11-01,218.9
1985-12-01,223.465
1986-01-01,221.482
1986-02-01,219.475
1986-03-01,221.603
1986-04-01,224.837
1986-05-01,226.101
1986-06-01,229.57
1986-07-01,232.453
1986-08-01,233.225
1986-09-01,235.013
1986-10-01,237.2
1986-11-01,241.159
1986-12-01,247.429
1987-01-01,246.617
1987-02-01,244.108
1987-03-01,244.882
1987-04-01,249.092
1987-05-01,249.798
1987-06-01,252.412
1987-07-01,254.589
1987-08-01,254.324
1987-09-01,255.594
1987-10-01,257.993
1987-11-01,261.59
1987-12-01,266.034
1988-01-01,265.55
1988-02-01,262.39
1988-03-01,263.787
1988-04-01,267.939
1988-05-01,268.673
1988-06-01,272.532
1988-07-01,275.33
1988-08-01,274.882
1988-09-01,274.676
1988-10-01,275.499
1988-11-01,278.432
1988-12-01,282.876
1989-01-01,281.043
1989-02-01,277.408
1989-03-01,278.735
1989-04-01,281.314
1989-05-01,280.382
1989-06-01,283.061
1989-07-01,285.225
1989-08-01,284.097
1989-09-01,283.612
1989-10-01,284.293
1989-11-01,287.128
1989-12-01,292.484
1990-01-01,292.114
1990-02-01,289.98
1990-03-01,292.352
1990-04-01,296.831
1990-05-01,297.001
1990-06-01,300.968
1990-07-01,303.37
1990-08-01,304.968
1990-09-01,307.171
1990-10-01,308.811
1990-11-01,312.676
1990-12-01,313.648
1991-01-01,309.228
1991-02-01,308.491
1991-03-01,311.02
1991-04-01,313.909
1991-05-01,314.236
1991-06-01,317.233
1991-07-01,319.443
1991-08-01,320.052
1991-09-01,320.679
1991-10-01,322.687
1991-11-01,326.86
1991-12-01,333.593
1992-01-01,333.06
1992-02-01,333.14
1992-03-01,335.799
1992-04-01,332.674
1992-05-01,333.806
1992-06-01,336.443
1992-07-01,339.863
1992-08-01,342.485
1992-09-01,346.22
1992-10-01,349.804
1992-11-01,354.262
1992-12-01,360.914
1993-01-01,360.882
1993-02-01,359.543
1993-03-01,362.588
1993-04-01,368.168
1993-05-01,370.441
1993-06-01,375.174
1993-07-01,378.442
1993-08-01,380.524
1993-09-01,384.248
1993-10-01,387.512
1993-11-01,391.13
1993-12-01,397.592
1994-01-01,397.868
1994-02-01,397.917
1994-03-01,400.775
1994-04-01,406.287
1994-05-01,406.544
1994-06-01,410.935
1994-07-01,414.387
1994-08-01,414.93
1994-09-01,416.705
1994-10-01,418.166
1994-11-01,421.891
1994-12-01,427.252
1995-01-01,426.286
1995-02-01,423.545
1995-03-01,427.511
1995-04-01,432.766
1995-05-01,433.452
1995-06-01,434.544
1995-07-01,435.527
1995-08-01,435.57
1995-09-01,436.191
1995-10-01,436.326
1995-11-01,438.177
1995-12-01,444.451
1996-01-01,441.986
1996-02-01,436.346
1996-03-01,440.821
1996-04-01,443.007
1996-05-01,442.224
1996-06-01,445.976
1996-07-01,449.303
1996-08-01,450.885
1996-09-01,451.76
1996-10-01,451.933
1996-11-01,455.86
1996-12-01,463.403
1997-01-01,462.648
1997-02-01,459.588
1997-03-01,462.117
1997-04-01,464.993
1997-05-01,465.219
1997-06-01,468.735
1997-07-01,472.536
1997-08-01,473.951
1997-09-01,475.258
1997-10-01,477.222
1997-11-01,483.446
1997-12-01,491.79
1998-01-01,491.548
1998-02-01,488.441
1998-03-01,490.923
1998-04-01,493.519
1998-05-01,494.587
1998-06-01,497.894
1998-07-01,502.132
1998-08-01,504.434
1998-09-01,507.858
1998-10-01,511.79
1998-11-01,517.121
1998-12-01,525.057
1999-01-01,527.552
1999-02-01,527.04
1999-03-01,530.491
1999-04-01,534.485
1999-05-01,539.919
1999-06-01,542.822
1999-07-01,547.909
1999-08-01,550.785
1999-09-01,555.42
1999-10-01,562.738
1999-11-01,579.001
1999-12-01,608.019
2000-01-01,605.108
2000-02-01,579.331
2000-03-01,577.305
2000-04-01,578.478
2000-05-01,580.221
2000-06-01,581.685
2000-07-01,584.283
2000-08-01,583.43
2000-09-01,583.51
2000-10-01,584.938
2000-11-01,589.022
2000-12-01,596.873
2001-01-01,598.21
2001-02-01,595.355
2001-03-01,598.046
2001-04-01,601.821
2001-05-01,605.474
2001-06-01,608.699
2001-07-01,615.57
2001-08-01,622.032
2001-09-01,645.725
2001-10-01,635.896
2001-11-01,637.611
2001-12-01,648.73
2002-01-01,653.279
2002-02-01,654.907
2002-03-01,658.735
2002-04-01,663.347
2002-05-01,668.12
2002-06-01,672.966
2002-07-01,678.899
2002-08-01,679.479
2002-09-01,679.886
2002-10-01,681.778
2002-11-01,687.29
2002-12-01,697.148
2003-01-01,699.244
2003-02-01,701.03
2003-03-01,705.025
2003-04-01,709.097
2003-05-01,712.761
2003-06-01,714.363
2003-07-01,717.037
2003-08-01,720.54
2003-09-01,720.717
2003-10-01,724.359
2003-11-01,729.464
2003-12-01,737.623
2004-01-01,736.277
2004-02-01,734.913
2004-03-01,736.44
2004-04-01,740.313
2004-05-01,743.749
2004-06-01,749.475
2004-07-01,757.004
2004-08-01,757.142
2004-09-01,760.96
2004-10-01,763.577
2004-11-01,768.775
2004-12-01,774.771
2005-01-01,773.242
2005-02-01,772.437
2005-03-01,773.81
2005-04-01,775.25
2005-05-01,775.555
2005-06-01,779.468
2005-07-01,783.151
2005-08-01,783.339
2005-09-01,786.23
2005-10-01,787.159
2005-11-01,792.953
2005-12-01,802.303
2006-01-01,804.292
2006-02-01,804.423
2006-03-01,806.244
2006-04-01,808.443
2006-05-01,811.969
2006-06-01,812.292
2006-07-01,811.821
2006-08-01,809.788
2006-09-01,810.042
2006-10-01,809.212
2006-11-01,815.298
2006-12-01,825.288
2007-01-01,823.668
2007-02-01,819.589
2007-03-01,820.708
2007-04-01,822.577
2007-05-01,824.993
2007-06-01,826.504
2007-07-01,828.326
2007-08-01,829.666
2007-09-01,826.536
2007-10-01,828.362
2007-11-01,833.046
2007-12-01,836.352
2008-01-01,831.053
2008-02-01,829.325
2008-03-01,832.836
2008-04-01,831.049
2008-05-01,835.018
2008-06-01,839.976
2008-07-01,847.641
2008-08-01,848.263
2008-09-01,908.363
2008-10-01,1132.504
2008-11-01,1441.06
2008-12-01,1663.923
2009-01-01,1711.661
2009-02-01,1561.745
2009-03-01,1646.949
2009-04-01,1752.663
2009-05-01,1774.77
2009-06-01,1683.937
2009-07-01,1673.12
2009-08-01,1706.207
2009-09-01,1800.22
2009-10-01,1935.885
2009-11-01,2022.303
2009-12-01,2026.214
2010-01-01,1994.818
2010-02-01,2114.506
2010-03-01,2079.752
2010-04-01,2014.622
2010-05-01,2011.261
2010-06-01,2001.537
2010-07-01,1994.101
2010-08-01,1993.693
2010-09-01,1960.414
2010-10-01,1961.335
2010-11-01,1970.686
2010-12-01,2016.277
2011-01-01,2047.858
2011-02-01,2210.869
2011-03-01,2394.699
2011-04-01,2496.492
2011-05-01,2566.366
2011-06-01,2647.87
2011-07-01,2683.67
2011-08-01,2656.773
2011-09-01,2636.911
2011-10-01,2637.325
2011-11-01,2601.982
2011-12-01,2617.944
2012-01-01,2640.756
2012-02-01,2694.53
2012-03-01,2654.466
2012-04-01,2640.107
2012-05-01,2616.307
2012-06-01,2618.073
2012-07-01,2648.865
2012-08-01,2650.395
2012-09-01,2593.767
2012-10-01,2611.517
2012-11-01,2641.911
2012-12-01,2675.025
2013-01-01,2742.337
2013-02-01,2846.128
2013-03-01,2934.281
2013-04-01,3011.808
2013-05-01,3115.564
