"Date","SVGCBSL"
1989-02-01,531.9
1989-03-01,527.4
1989-04-01,522.8
1989-05-01,515.6
1989-06-01,513.9
1989-07-01,516.6
1989-08-01,521
1989-09-01,525
1989-10-01,529.5
1989-11-01,536
1989-12-01,541.1
1990-01-01,548.1
1990-02-01,551.4
1990-03-01,553.5
1990-04-01,555.5
1990-05-01,557.3
1990-06-01,561.8
1990-07-01,565.5
1990-08-01,569.9
1990-09-01,572.7
1990-10-01,575.7
1990-11-01,578.1
1990-12-01,581.3
1991-01-01,585.2
1991-02-01,590.8
1991-03-01,597.4
1991-04-01,603.6
1991-05-01,610.7
1991-06-01,619
1991-07-01,625.9
1991-08-01,632.3
1991-09-01,637.9
1991-10-01,646.9
1991-11-01,655.3
1991-12-01,664.8
1992-01-01,677.3
1992-02-01,690.6
1992-03-01,698.8
1992-04-01,705.6
1992-05-01,710.5
1992-06-01,715.2
1992-07-01,720.7
1992-08-01,727.3
1992-09-01,736.9
1992-10-01,745.3
1992-11-01,750.7
1992-12-01,754.2
1993-01-01,753.7
1993-02-01,758.2
1993-03-01,758.2
1993-04-01,759
1993-05-01,767.4
1993-06-01,771.8
1993-07-01,771.7
1993-08-01,775.1
1993-09-01,777.2
1993-10-01,778.2
1993-11-01,783.3
1993-12-01,785.3
1994-01-01,790.1
1994-02-01,792.8
1994-03-01,791.6
1994-04-01,787.2
1994-05-01,786.5
1994-06-01,780.1
1994-07-01,777.9
1994-08-01,775.9
1994-09-01,773.7
1994-10-01,766.7
1994-11-01,761.2
1994-12-01,752.8
1995-01-01,744.6
1995-02-01,734.9
1995-03-01,722.8
1995-04-01,714.3
1995-05-01,720.1
1995-06-01,729.5
1995-07-01,731.7
1995-08-01,741
1995-09-01,748.4
1995-10-01,757.3
1995-11-01,762.4
1995-12-01,774.8
1996-01-01,792.8
1996-02-01,803.2
1996-03-01,816.1
1996-04-01,819.4
1996-05-01,829.1
1996-06-01,837.4
1996-07-01,845.9
1996-08-01,859.3
1996-09-01,867.9
1996-10-01,881.6
1996-11-01,895
1996-12-01,906
1997-01-01,914.3
1997-02-01,921.4
1997-03-01,933.3
1997-04-01,943.9
1997-05-01,946.8
1997-06-01,952.9
1997-07-01,959.6
1997-08-01,969.3
1997-09-01,985.4
1997-10-01,1000
1997-11-01,1010.2
1997-12-01,1022.5
1998-01-01,1034.2
1998-02-01,1047.1
1998-03-01,1058.5
1998-04-01,1074.8
1998-05-01,1080.2
1998-06-01,1091.9
1998-07-01,1107.5
1998-08-01,1120.9
1998-09-01,1135.7
1998-10-01,1151.5
1998-11-01,1168.4
1998-12-01,1187.4
1999-01-01,1201.1
1999-02-01,1211.9
1999-03-01,1217
1999-04-01,1232.1
1999-05-01,1241
1999-06-01,1252.4
1999-07-01,1265.7
1999-08-01,1273
1999-09-01,1281.8
1999-10-01,1289.3
1999-11-01,1288.9
1999-12-01,1288.9
2000-01-01,1291.8
2000-02-01,1300.9
2000-03-01,1308.5
2000-04-01,1328.3
2000-05-01,1322.8
2000-06-01,1332.6
2000-07-01,1346.3
2000-08-01,1358.8
2000-09-01,1379.7
2000-10-01,1385.3
2000-11-01,1396.5
2000-12-01,1425.1
2001-01-01,1443.9
2001-02-01,1466.8
2001-03-01,1495.3
2001-04-01,1528.2
2001-05-01,1540.5
2001-06-01,1567
2001-07-01,1581.8
2001-08-01,1609.3
2001-09-01,1651.3
2001-10-01,1666.6
2001-11-01,1705.2
2001-12-01,1740.1
2002-01-01,1767
2002-02-01,1796.5
2002-03-01,1812.3
2002-04-01,1826
2002-05-01,1858.8
2002-06-01,1879.9
2002-07-01,1900.7
2002-08-01,1950.9
2002-09-01,1975.8
2002-10-01,2005.6
2002-11-01,2046.2
2002-12-01,2057.5
2003-01-01,2087
2003-02-01,2109
2003-03-01,2125.1
2003-04-01,2151.8
2003-05-01,2184.8
2003-06-01,2216.6
2003-07-01,2265.1
2003-08-01,2311.7
2003-09-01,2295.1
2003-10-01,2306.3
2003-11-01,2328.4
2003-12-01,2334.6
2004-01-01,2364.6
2004-02-01,2392.2
2004-03-01,2418.2
2004-04-01,2460.4
2004-05-01,2521.5
2004-06-01,2518.6
2004-07-01,2538.5
2004-08-01,2549.6
2004-09-01,2570.1
2004-10-01,2603.7
2004-11-01,2621.3
2004-12-01,2633.2
2005-01-01,2641.4
2005-02-01,2646.1
2005-03-01,2656.1
2005-04-01,2671.1
2005-05-01,2660.2
2005-06-01,2668.8
2005-07-01,2699.9
2005-08-01,2708.3
2005-09-01,2730.3
2005-10-01,2751
2005-11-01,2755.4
2005-12-01,2776.7
2006-01-01,2785.9
2006-02-01,2782.4
2006-03-01,2774.3
2006-04-01,2796.4
2006-05-01,2768.3
2006-06-01,2781.6
2006-07-01,2792.3
2006-08-01,2785.6
2006-09-01,2798.8
2006-10-01,2856.2
2006-11-01,2874.6
2006-12-01,2912.8
2007-01-01,2922.2
2007-02-01,2926.9
2007-03-01,2916
2007-04-01,2934.1
2007-05-01,2925
2007-06-01,2947.5
2007-07-01,2968.9
2007-08-01,3011.6
2007-09-01,3023.4
2007-10-01,3020
2007-11-01,3034.5
2007-12-01,3042.4
2008-01-01,3040.2
2008-02-01,3075.3
2008-03-01,3114.4
2008-04-01,3123.9
2008-05-01,3124.3
2008-06-01,3126.5
2008-07-01,3136.3
2008-08-01,3146.6
2008-09-01,3181.4
2008-10-01,3262.6
2008-11-01,3258.8
2008-12-01,3322.7
2009-01-01,3429.3
2009-02-01,3491.7
2009-03-01,3548.4
2009-04-01,3544.9
2009-05-01,3628.7
2009-06-01,3642.1
2009-07-01,3683.2
2009-08-01,3741
2009-09-01,3787.8
2009-10-01,3854.9
2009-11-01,3943.4
2009-12-01,3977.2
2010-01-01,3996.9
2010-02-01,4035.7
2010-03-01,4051.4
2010-04-01,4123.6
2010-05-01,4178.2
2010-06-01,4187.1
2010-07-01,4216.2
2010-08-01,4261.1
2010-09-01,4304.2
2010-10-01,4363.8
2010-11-01,4364.2
2010-12-01,4411.8
2011-01-01,4440.3
2011-02-01,4480.8
2011-03-01,4513.2
2011-04-01,4587
2011-05-01,4614.2
2011-06-01,4680.8
2011-07-01,4819.1
2011-08-01,4894.1
2011-09-01,4926.8
2011-10-01,4957.9
2011-11-01,4965.9
2011-12-01,5034.6
2012-01-01,5089
2012-02-01,5169.6
2012-03-01,5203.9
2012-04-01,5253.2
2012-05-01,5282.4
2012-06-01,5338.2
2012-07-01,5360.1
2012-08-01,5397.6
2012-09-01,5453.4
2012-10-01,5496.3
2012-11-01,5635.4
2012-12-01,5728.4
2013-01-01,5723.5
2013-02-01,5753.8
2013-03-01,5797.9
2013-04-01,5801.8
2013-05-01,5823.2
2013-06-01,5876
2013-07-01,5900.4
2013-08-01,5951.3
2013-09-01,5980
2013-10-01,6058.5
2013-11-01,6075
2013-12-01,6104
2014-01-01,6137.1
2014-02-01,6197.7
2014-03-01,6203.2
2014-04-01,6229.6
2014-05-01,6264.4
2014-06-01,6286.1
2014-07-01,6333
2014-08-01,6392.3
2014-09-01,6378.5
2014-10-01,6428.3
2014-11-01,6462.8
2014-12-01,6492.5
2015-01-01,6560.4
2015-02-01,6626.7
2015-03-01,6653.8
2015-04-01,6698.8
2015-05-01,6746
2015-06-01,6754.7
2015-07-01,6794.4
2015-08-01,6859.4
2015-09-01,6900
2015-10-01,6955.1
2015-11-01,6987.2
2015-12-01,7012.8
2016-01-01,7051.7
2016-02-01,7084.1
2016-03-01,7126.9
2016-04-01,7168.8
2016-05-01,7187.4
2016-06-01,7254
2016-07-01,7317.4
2016-08-01,7347.4
2016-09-01,7420.6
2016-10-01,7466.3
2016-11-01,7498.7
2016-12-01,7543.7
2017-01-01,7568.8
2017-02-01,7619
2017-03-01,7611.9
2017-04-01,7655.4
2017-05-01,7626.8
2017-06-01,7633.3
2017-07-01,7662.8
2017-08-01,7665.5
2017-09-01,7716.3
2017-10-01,7736.2
2017-11-01,7744.8
2017-12-01,7797.3
2018-01-01,7762.8
2018-02-01,7811.4
2018-03-01,7785.4
2018-04-01,7826.4
2018-05-01,7851.3
2018-06-01,7889.7
2018-07-01,7881.2
2018-08-01,7894.2
2018-09-01,7896.6
2018-10-01,7862.9
2018-11-01,7881.4
2018-12-01,7901.5
2019-01-01,7943.1
2019-02-01,7944.3
2019-03-01,7958.2
2019-04-01,7928.4
2019-05-01,8008.6
2019-06-01,8069.8
2019-07-01,8104.1
2019-08-01,8167.6
2019-09-01,8203.4
2019-10-01,8279.7
2019-11-01,8358.7
2019-12-01,8391.8
2020-01-01,8515.3
2020-02-01,8586.4
2020-03-01,8790.1
2020-04-01,9423
