"Date","STDCBSL"
1967-06-01,45.1
1967-07-01,46.5
1967-08-01,47.4
1967-09-01,48.5
1967-10-01,49.3
1967-11-01,49.7
1967-12-01,50.7
1968-01-01,51.7
1968-02-01,52.8
1968-03-01,53.4
1968-04-01,54.3
1968-05-01,55.2
1968-06-01,56.2
1968-07-01,57.6
1968-08-01,58.9
1968-09-01,60.5
1968-10-01,61.8
1968-11-01,62.6
1968-12-01,63.5
1969-01-01,64.3
1969-02-01,65.1
1969-03-01,66
1969-04-01,66.9
1969-05-01,67.4
1969-06-01,68
1969-07-01,69.3
1969-08-01,69.7
1969-09-01,70.1
1969-10-01,70.4
1969-11-01,70.8
1969-12-01,71.6
1970-01-01,71.3
1970-02-01,71.3
1970-03-01,71.5
1970-04-01,71.5
1970-05-01,72.4
1970-06-01,73.9
1970-07-01,74.4
1970-08-01,75.1
1970-09-01,76.2
1970-10-01,77.3
1970-11-01,78.2
1970-12-01,79.3
1971-01-01,80.2
1971-02-01,82
1971-03-01,83.8
1971-04-01,86
1971-05-01,87.3
1971-06-01,88.1
1971-07-01,89.1
1971-08-01,89.9
1971-09-01,91.3
1971-10-01,92.3
1971-11-01,93.8
1971-12-01,94.7
1972-01-01,95.5
1972-02-01,96.5
1972-03-01,97.8
1972-04-01,97.8
1972-05-01,98.4
1972-06-01,99.6
1972-07-01,101.9
1972-08-01,103
1972-09-01,104.8
1972-10-01,106.4
1972-11-01,107
1972-12-01,108.2
1973-01-01,110.3
1973-02-01,110.8
1973-03-01,110.6
1973-04-01,112
1973-05-01,113.3
1973-06-01,114.4
1973-07-01,114.4
1973-08-01,115.7
1973-09-01,114.3
1973-10-01,113.8
1973-11-01,115.2
1973-12-01,116.8
1974-01-01,117.4
1974-02-01,118.5
1974-03-01,120.3
1974-04-01,120.5
1974-05-01,120.5
1974-06-01,120.7
1974-07-01,120.6
1974-08-01,121.1
1974-09-01,122.2
1974-10-01,123.5
1974-11-01,124
1974-12-01,123.1
1975-01-01,123.6
1975-02-01,125.4
1975-03-01,127.8
1975-04-01,130.2
1975-05-01,131.6
1975-06-01,133.5
1975-07-01,136.1
1975-08-01,137.2
1975-09-01,138.1
1975-10-01,139.2
1975-11-01,140.4
1975-12-01,142.3
1976-01-01,142.9
1976-02-01,142.9
1976-03-01,141.5
1976-04-01,141.5
1976-05-01,143.4
1976-06-01,144
1976-07-01,145.5
1976-08-01,147.9
1976-09-01,151
1976-10-01,153.1
1976-11-01,154.3
1976-12-01,155.5
1977-01-01,156.8
1977-02-01,158.2
1977-03-01,160.4
1977-04-01,162.2
1977-05-01,163.9
1977-06-01,165.3
1977-07-01,166.1
1977-08-01,166.1
1977-09-01,166.2
1977-10-01,166.3
1977-11-01,166.4
1977-12-01,167.5
1978-01-01,168.4
1978-02-01,169.4
1978-03-01,170.4
1978-04-01,171
1978-05-01,171.7
1978-06-01,173.1
1978-07-01,174.5
1978-08-01,175.7
1978-09-01,178.1
1978-10-01,180
1978-11-01,181.9
1978-12-01,185.1
1979-01-01,189.2
1979-02-01,191.4
1979-03-01,194.1
1979-04-01,198.7
1979-05-01,202.6
1979-06-01,206.4
1979-07-01,209.4
1979-08-01,213.4
1979-09-01,217.3
1979-10-01,222.7
1979-11-01,230.7
1979-12-01,235.5
1980-01-01,240
1980-02-01,245.7
1980-03-01,254.8
1980-04-01,266.7
1980-05-01,270.2
1980-06-01,269.1
1980-07-01,267.8
1980-08-01,266.6
1980-09-01,267.8
1980-10-01,270.5
1980-11-01,276.8
1980-12-01,286.2
1981-01-01,296.7
1981-02-01,302.1
1981-03-01,306.5
1981-04-01,308.8
1981-05-01,313
1981-06-01,318
1981-07-01,320.8
1981-08-01,327.5
1981-09-01,333.3
1981-10-01,340.6
1981-11-01,345.1
1981-12-01,347.7
1982-01-01,350.9
1982-02-01,356.6
1982-03-01,363.7
1982-04-01,369.8
1982-05-01,374.9
1982-06-01,378.6
1982-07-01,384.5
1982-08-01,387.1
1982-09-01,388.9
1982-10-01,386.8
1982-11-01,385.9
1982-12-01,379.9
1983-01-01,356.8
1983-02-01,339.9
1983-03-01,330.6
1983-04-01,326.2
1983-05-01,323.5
1983-06-01,323.4
1983-07-01,327.3
1983-08-01,331.2
1983-09-01,335.4
1983-10-01,342
1983-11-01,347.7
1983-12-01,350.9
1984-01-01,353.8
1984-02-01,356.4
1984-03-01,358.6
1984-04-01,361.4
1984-05-01,364.9
1984-06-01,368.8
1984-07-01,372.9
1984-08-01,378.7
1984-09-01,382.6
1984-10-01,384.7
1984-11-01,386.4
1984-12-01,387.9
1985-01-01,386.9
1985-02-01,385.5
1985-03-01,385.6
1985-04-01,387.5
1985-05-01,389
1985-06-01,389.6
1985-07-01,388.5
1985-08-01,386.5
1985-09-01,385.9
1985-10-01,385.4
1985-11-01,385
1985-12-01,386.4
1986-01-01,388.4
1986-02-01,389.7
1986-03-01,390.4
1986-04-01,389.3
1986-05-01,387.2
1986-06-01,384.7
1986-07-01,383.1
1986-08-01,380.9
1986-09-01,378.8
1986-10-01,374.6
1986-11-01,370.7
1986-12-01,369.4
1987-01-01,368.5
1987-02-01,366.6
1987-03-01,364.7
1987-04-01,362.8
1987-05-01,362.3
1987-06-01,364.7
1987-07-01,368.1
1987-08-01,371.1
1987-09-01,373.6
1987-10-01,379.3
1987-11-01,387.8
1987-12-01,391.7
1988-01-01,395.3
1988-02-01,399.8
1988-03-01,404.2
1988-04-01,407.6
1988-05-01,410.4
1988-06-01,413.5
1988-07-01,417.6
1988-08-01,423.5
1988-09-01,431.1
1988-10-01,438
1988-11-01,444.7
1988-12-01,451.2
1989-01-01,460.4
1989-02-01,469.9
1989-03-01,480.4
1989-04-01,492.1
1989-05-01,502.3
1989-06-01,507.6
1989-07-01,511.2
1989-08-01,516.1
1989-09-01,519.9
1989-10-01,524.7
1989-11-01,530.1
1989-12-01,533.8
1990-01-01,535.7
1990-02-01,540.7
1990-03-01,544.7
1990-04-01,548.8
1990-05-01,558.2
1990-06-01,569.9
1990-07-01,578.7
1990-08-01,582.2
1990-09-01,587.3
1990-10-01,597.4
1990-11-01,600.6
1990-12-01,610.7
1991-01-01,615.2
1991-02-01,620.3
1991-03-01,622.5
1991-04-01,619
1991-05-01,616.5
1991-06-01,617.8
1991-07-01,617.7
1991-08-01,621.7
1991-09-01,620.3
1991-10-01,616.2
1991-11-01,609.7
1991-12-01,602.2
1992-01-01,589.6
1992-02-01,578.2
1992-03-01,569.7
1992-04-01,566.1
1992-05-01,557
1992-06-01,550
1992-07-01,542.6
1992-08-01,534.3
1992-09-01,527
1992-10-01,520.4
1992-11-01,512.7
1992-12-01,508.1
1993-01-01,503.1
1993-02-01,503.8
1993-03-01,500.6
1993-04-01,495.5
1993-05-01,490.5
1993-06-01,486.2
1993-07-01,482.1
1993-08-01,478.2
1993-09-01,475.5
1993-10-01,472.4
1993-11-01,468.9
1993-12-01,467.9
1994-01-01,464.5
1994-02-01,462.7
1994-03-01,460.7
1994-04-01,459.6
1994-05-01,462.2
1994-06-01,465.8
1994-07-01,469.4
1994-08-01,475.8
1994-09-01,481.3
1994-10-01,488.1
1994-11-01,494.7
1994-12-01,503.6
1995-01-01,514.5
1995-02-01,526.5
1995-03-01,539.9
1995-04-01,548.6
1995-05-01,556.3
1995-06-01,562.9
1995-07-01,567.9
1995-08-01,570.9
1995-09-01,572.2
1995-10-01,572.8
1995-11-01,575.1
1995-12-01,575.8
1996-01-01,579.3
1996-02-01,580.1
1996-03-01,580.2
1996-04-01,579.8
1996-05-01,579.4
1996-06-01,579.5
1996-07-01,582.1
1996-08-01,585.1
1996-09-01,587.8
1996-10-01,589.7
1996-11-01,592.2
1996-12-01,594.1
1997-01-01,594.7
1997-02-01,595.6
1997-03-01,599.5
1997-04-01,602.6
1997-05-01,605.7
1997-06-01,610.9
1997-07-01,617.4
1997-08-01,618.8
1997-09-01,621.2
1997-10-01,622.6
1997-11-01,625
1997-12-01,625.4
1998-01-01,625.4
1998-02-01,626.2
1998-03-01,626.9
1998-04-01,627.9
1998-05-01,626.6
1998-06-01,626.4
1998-07-01,626.4
1998-08-01,628.5
1998-09-01,628.5
1998-10-01,628.1
1998-11-01,628.4
1998-12-01,626.3
1999-01-01,622.6
1999-02-01,619.5
1999-03-01,618.6
1999-04-01,617.4
1999-05-01,616.3
1999-06-01,616.2
1999-07-01,617.9
1999-08-01,619.4
1999-09-01,623
1999-10-01,627.2
1999-11-01,632.3
1999-12-01,636.8
2000-01-01,642.7
2000-02-01,649.7
2000-03-01,656.2
2000-04-01,665.6
2000-05-01,669.5
2000-06-01,678.3
2000-07-01,684.1
2000-08-01,688.3
2000-09-01,690.2
2000-10-01,692.2
2000-11-01,695.7
2000-12-01,700.8
2001-01-01,703.3
2001-02-01,701.9
2001-03-01,698.4
2001-04-01,692.9
2001-05-01,686.1
2001-06-01,679.5
2001-07-01,673.1
2001-08-01,669
2001-09-01,664.2
2001-10-01,658.6
2001-11-01,649.8
2001-12-01,636
2002-01-01,627.9
2002-02-01,620.8
2002-03-01,614.6
2002-04-01,609.5
2002-05-01,613
2002-06-01,612.4
2002-07-01,610.1
2002-08-01,606.8
2002-09-01,601.3
2002-10-01,597.5
2002-11-01,595.1
2002-12-01,591.3
2003-01-01,587.1
2003-02-01,583.5
2003-03-01,580.3
2003-04-01,576.8
2003-05-01,572.6
2003-06-01,568.6
2003-07-01,560.7
2003-08-01,553.8
2003-09-01,548.9
2003-10-01,545.5
2003-11-01,542.9
2003-12-01,542.2
2004-01-01,541
2004-02-01,539.6
2004-03-01,537.9
2004-04-01,536
2004-05-01,535
2004-06-01,535.1
2004-07-01,535.4
2004-08-01,537.3
2004-09-01,539.4
2004-10-01,542.5
2004-11-01,547.5
2004-12-01,552.6
2005-01-01,559.8
2005-02-01,567.7
2005-03-01,578.6
2005-04-01,587.4
2005-05-01,599.1
2005-06-01,610.1
2005-07-01,620.8
2005-08-01,629.2
2005-09-01,636.2
2005-10-01,632.2
2005-11-01,637.8
2005-12-01,647.3
2006-01-01,656.2
2006-02-01,667.9
2006-03-01,680.2
2006-04-01,692.3
2006-05-01,704.4
2006-06-01,716.4
2006-07-01,731
2006-08-01,744
2006-09-01,752.5
2006-10-01,770.6
2006-11-01,776.3
2006-12-01,781.2
2007-01-01,785.2
2007-02-01,792.9
2007-03-01,786.8
2007-04-01,791.8
2007-05-01,794.9
2007-06-01,796.6
2007-07-01,802.9
2007-08-01,806.4
2007-09-01,813.7
2007-10-01,840.5
2007-11-01,856.4
2007-12-01,859.3
2008-01-01,862.2
2008-02-01,865.3
2008-03-01,861.5
2008-04-01,860.2
2008-05-01,861.5
2008-06-01,864.3
2008-07-01,879.9
2008-08-01,905.7
2008-09-01,934.5
2008-10-01,1027.9
2008-11-01,1056.9
2008-12-01,1079.5
2009-01-01,1069.6
2009-02-01,1056.1
2009-03-01,1042.8
2009-04-01,1028.1
2009-05-01,1025.6
2009-06-01,1006.8
2009-07-01,983.8
2009-08-01,966.3
2009-09-01,942.8
2009-10-01,912.7
2009-11-01,893.2
2009-12-01,869.7
2010-01-01,844.9
2010-02-01,828.7
2010-03-01,812
2010-04-01,797.1
2010-05-01,781.6
2010-06-01,767.5
2010-07-01,754.3
2010-08-01,740.5
2010-09-01,722.1
2010-10-01,701.8
2010-11-01,682.3
2010-12-01,663.8
2011-01-01,650.9
2011-02-01,639.9
2011-03-01,627.5
2011-04-01,617.2
2011-05-01,606.8
2011-06-01,597.5
2011-07-01,587.1
2011-08-01,577.2
2011-09-01,567.7
2011-10-01,559.9
2011-11-01,554.1
2011-12-01,549.7
2012-01-01,545.6
2012-02-01,543.1
2012-03-01,532.8
2012-04-01,523.1
2012-05-01,514.9
2012-06-01,509.8
2012-07-01,502.7
2012-08-01,498
2012-09-01,492.5
2012-10-01,483.9
2012-11-01,478.6
2012-12-01,470.4
2013-01-01,460.5
2013-02-01,454.5
2013-03-01,455.3
2013-04-01,452.1
2013-05-01,445.7
2013-06-01,436.9
2013-07-01,429.8
2013-08-01,430.7
2013-09-01,428.4
2013-10-01,426
2013-11-01,424.1
2013-12-01,426.8
2014-01-01,417.4
2014-02-01,415.3
2014-03-01,413.9
2014-04-01,410.6
2014-05-01,409.6
2014-06-01,407.8
2014-07-01,405.4
2014-08-01,404.5
2014-09-01,401.8
2014-10-01,398.8
2014-11-01,394.2
2014-12-01,391.6
2015-01-01,386.9
2015-02-01,385
2015-03-01,377.3
2015-04-01,368.7
2015-05-01,359.9
2015-06-01,352
2015-07-01,342.4
2015-08-01,332.9
2015-09-01,320.8
2015-10-01,315.6
2015-11-01,318.2
2015-12-01,315.2
2016-01-01,311.4
2016-02-01,307.2
2016-03-01,301.7
2016-04-01,296.3
2016-05-01,292.7
2016-06-01,289
2016-07-01,285.8
2016-08-01,280.5
2016-09-01,276.5
2016-10-01,272.9
2016-11-01,270.1
2016-12-01,267.1
2017-01-01,266.3
2017-02-01,269.1
2017-03-01,272.3
2017-04-01,277.3
2017-05-01,280.6
2017-06-01,285.1
2017-07-01,291.1
2017-08-01,297.3
2017-09-01,303.9
2017-10-01,310.8
2017-11-01,316.4
2017-12-01,322
2018-01-01,329.3
2018-02-01,337.9
2018-03-01,348.3
2018-04-01,363.9
2018-05-01,373.2
2018-06-01,383.1
2018-07-01,393.2
2018-08-01,403.7
2018-09-01,414.9
2018-10-01,424.1
2018-11-01,436.3
2018-12-01,448.9
2019-01-01,467.7
2019-02-01,485.5
2019-03-01,498.7
2019-04-01,505.6
2019-05-01,502.6
2019-06-01,505
2019-07-01,503.8
2019-08-01,503.3
2019-09-01,498.2
2019-10-01,493.9
2019-11-01,489.6
2019-12-01,485.4
2020-01-01,470.8
2020-02-01,446.7
2020-03-01,418.9
2020-04-01,405.1
2020-05-01,386.2
2020-06-01,360.8
2020-07-01,333.1
2020-08-01,303.3
2020-09-01,278.6
2020-10-01,253.6
2020-11-01,224.2
2020-12-01,201.7
2021-01-01,183.8
