"Date","SAVINGSL"
1975-05-01,358.8
1975-06-01,365.6
1975-07-01,370.7
1975-08-01,374.2
1975-09-01,377.7
1975-10-01,380.6
1975-11-01,384.7
1975-12-01,388.9
1976-01-01,394.4
1976-02-01,402.7
1976-03-01,408.6
1976-04-01,413.8
1976-05-01,418.3
1976-06-01,420
1976-07-01,423.5
1976-08-01,428.5
1976-09-01,433.6
1976-10-01,439.8
1976-11-01,447.1
1976-12-01,453.2
1977-01-01,459.1
1977-02-01,463.3
1977-03-01,466.3
1977-04-01,470
1977-05-01,472.6
1977-06-01,474.5
1977-07-01,477.6
1977-08-01,481.9
1977-09-01,484.8
1977-10-01,487.2
1977-11-01,490.6
1977-12-01,492.2
1978-01-01,494.6
1978-02-01,496.4
1978-03-01,497.5
1978-04-01,498.6
1978-05-01,499.7
1978-06-01,498.5
1978-07-01,494.2
1978-08-01,494.4
1978-09-01,495.1
1978-10-01,493.4
1978-11-01,488.8
1978-12-01,481.9
1979-01-01,472.6
1979-02-01,466.7
1979-03-01,463.2
1979-04-01,459.3
1979-05-01,455.8
1979-06-01,456.2
1979-07-01,456.3
1979-08-01,457.1
1979-09-01,452.5
1979-10-01,441.7
1979-11-01,429.1
1979-12-01,423.8
1980-01-01,417.2
1980-02-01,410.6
1980-03-01,400.1
1980-04-01,386.4
1980-05-01,382.2
1980-06-01,390.8
1980-07-01,402.8
1980-08-01,414.6
1980-09-01,419
1980-10-01,419.7
1980-11-01,414.6
1980-12-01,400.3
1981-01-01,382.3
1981-02-01,375
1981-03-01,372
1981-04-01,372.5
1981-05-01,367
1981-06-01,360.9
1981-07-01,360
1981-08-01,354
1981-09-01,348.1
1981-10-01,343.6
1981-11-01,343.1
1981-12-01,343.9
1982-01-01,346.5
1982-02-01,345.3
1982-03-01,344.2
1982-04-01,344.3
1982-05-01,344
1982-06-01,343.5
1982-07-01,342
1982-08-01,344.2
1982-09-01,346.6
1982-10-01,355.3
1982-11-01,362.7
1982-12-01,400.1
1983-01-01,521.5
1983-02-01,601.9
1983-03-01,639.2
1983-04-01,660.8
1983-05-01,678.1
1983-06-01,687.1
1983-07-01,688.8
1983-08-01,687.6
1983-09-01,687.3
1983-10-01,686.4
1983-11-01,684.9
1983-12-01,684.9
1984-01-01,685.5
1984-02-01,690.8
1984-03-01,696.7
1984-04-01,702.1
1984-05-01,701.9
1984-06-01,698.1
1984-07-01,693.1
1984-08-01,686.3
1984-09-01,685.5
1984-10-01,687
1984-11-01,694.4
1984-12-01,704.7
1985-01-01,720.2
1985-02-01,736.1
1985-03-01,744.4
1985-04-01,748.4
1985-05-01,755.8
1985-06-01,767.9
1985-07-01,780.1
1985-08-01,791.6
1985-09-01,798.7
1985-10-01,806.5
1985-11-01,812.6
1985-12-01,815.3
1986-01-01,817.2
1986-02-01,819.7
1986-03-01,824.1
1986-04-01,835.1
1986-05-01,850.5
1986-06-01,863.2
1986-07-01,875.2
1986-08-01,889.4
1986-09-01,903.9
1986-10-01,919.6
1986-11-01,931.2
1986-12-01,940.9
1987-01-01,952.1
1987-02-01,959.2
1987-03-01,964.5
1987-04-01,970.2
1987-05-01,972.7
1987-06-01,969.7
1987-07-01,966
1987-08-01,962.9
1987-09-01,960.4
1987-10-01,953
1987-11-01,941.4
1987-12-01,937.4
1988-01-01,936.5
1988-02-01,938
1988-03-01,941.2
1988-04-01,945
1988-05-01,949.7
1988-06-01,952.6
1988-07-01,952
1988-08-01,946.3
1988-09-01,938.4
1988-10-01,933.4
1988-11-01,931.9
1988-12-01,926.3
1989-01-01,916.2
1989-02-01,904.3
1989-03-01,894.1
1989-04-01,881.1
1989-05-01,866.2
1989-06-01,861.9
1989-07-01,863.6
1989-08-01,867.8
1989-09-01,872.9
1989-10-01,879
1989-11-01,887.2
1989-12-01,893.7
1990-01-01,900.7
1990-02-01,904.7
1990-03-01,908.4
1990-04-01,911.3
1990-05-01,912.6
1990-06-01,914.7
1990-07-01,917.8
1990-08-01,920.8
1990-09-01,922.5
1990-10-01,922.9
1990-11-01,923.2
1990-12-01,922.9
1991-01-01,927.5
1991-02-01,934.6
1991-03-01,945.4
1991-04-01,957.4
1991-05-01,971.2
1991-06-01,982.7
1991-07-01,993.7
1991-08-01,1000.1
1991-09-01,1007.6
1991-10-01,1019.7
1991-11-01,1030.9
1991-12-01,1044.5
1992-01-01,1064.6
1992-02-01,1087.2
1992-03-01,1103.4
1992-04-01,1114.5
1992-05-01,1126
1992-06-01,1133.5
1992-07-01,1141.4
1992-08-01,1150.8
1992-09-01,1164.5
1992-10-01,1174.9
1992-11-01,1182.5
1992-12-01,1187.2
1993-01-01,1187.4
1993-02-01,1189.3
1993-03-01,1188.1
1993-04-01,1188.8
1993-05-01,1200.2
1993-06-01,1205.8
1993-07-01,1206.4
1993-08-01,1209.7
1993-09-01,1211.5
1993-10-01,1212.6
1993-11-01,1217.4
1993-12-01,1219.3
1994-01-01,1223.8
1994-02-01,1226.8
1994-03-01,1227
1994-04-01,1222.1
1994-05-01,1222.6
1994-06-01,1212.3
1994-07-01,1207.6
1994-08-01,1199.7
1994-09-01,1191.6
1994-10-01,1179.6
1994-11-01,1167.2
1994-12-01,1151.3
1995-01-01,1136.9
1995-02-01,1119.4
1995-03-01,1100.2
1995-04-01,1085.7
1995-05-01,1091.6
1995-06-01,1098.9
1995-07-01,1098.4
1995-08-01,1105.7
1995-09-01,1113
1995-10-01,1122.5
1995-11-01,1125
1995-12-01,1135.9
1996-01-01,1152
1996-02-01,1163.7
1996-03-01,1176.4
1996-04-01,1182.8
1996-05-01,1197.1
1996-06-01,1205.8
1996-07-01,1215.1
1996-08-01,1227.2
1996-09-01,1235.8
1996-10-01,1250.6
1996-11-01,1263.1
1996-12-01,1274.8
1997-01-01,1283.2
1997-02-01,1291.2
1997-03-01,1304.1
1997-04-01,1316.6
1997-05-01,1324.1
1997-06-01,1330.8
1997-07-01,1337.2
1997-08-01,1346.2
1997-09-01,1362
1997-10-01,1377.1
1997-11-01,1387.1
1997-12-01,1401.2
1998-01-01,1414.3
1998-02-01,1431.7
1998-03-01,1447.3
1998-04-01,1464.4
1998-05-01,1476.8
1998-06-01,1490.8
1998-07-01,1509
1998-08-01,1523.1
1998-09-01,1539.2
1998-10-01,1559.4
1998-11-01,1580.7
1998-12-01,1603.6
1999-01-01,1622.7
1999-02-01,1639.3
1999-03-01,1648.5
1999-04-01,1665.8
1999-05-01,1684.4
1999-06-01,1702
1999-07-01,1721.6
1999-08-01,1729.9
1999-09-01,1737.5
1999-10-01,1743.8
1999-11-01,1741.9
1999-12-01,1740.2
2000-01-01,1741.6
2000-02-01,1751.4
2000-03-01,1761.6
2000-04-01,1779.5
2000-05-01,1776.9
2000-06-01,1786.4
2000-07-01,1800.1
2000-08-01,1813.4
2000-09-01,1834.1
2000-10-01,1841.3
2000-11-01,1850.5
2000-12-01,1879.4
2001-01-01,1899.2
2001-02-01,1929.9
2001-03-01,1968.5
2001-04-01,2007.3
2001-05-01,2028.8
2001-06-01,2065.8
2001-07-01,2089.6
2001-08-01,2125.8
2001-09-01,2176.8
2001-10-01,2206.8
2001-11-01,2257.7
2001-12-01,2311.3
2002-01-01,2349.5
2002-02-01,2397
2002-03-01,2429.8
2002-04-01,2453.6
2002-05-01,2490.9
2002-06-01,2519.6
2002-07-01,2550.9
2002-08-01,2614.4
2002-09-01,2649.8
2002-10-01,2694.4
2002-11-01,2744.9
2002-12-01,2770.6
2003-01-01,2810.8
2003-02-01,2845.9
2003-03-01,2876.3
2003-04-01,2912
2003-05-01,2966
2003-06-01,3002.3
2003-07-01,3061.8
2003-08-01,3125.2
2003-09-01,3113.1
2003-10-01,3131.2
2003-11-01,3152.2
2003-12-01,3158.2
2004-01-01,3184.8
2004-02-01,3220.1
2004-03-01,3261.4
2004-04-01,3307.1
2004-05-01,3383.4
2004-06-01,3382.8
2004-07-01,3407.2
2004-08-01,3423.4
2004-09-01,3452.5
2004-10-01,3483.1
2004-11-01,3495.9
2004-12-01,3505.9
2005-01-01,3512.5
2005-02-01,3506.8
2005-03-01,3508.1
2005-04-01,3513.1
2005-05-01,3503.9
2005-06-01,3509
2005-07-01,3537.3
2005-08-01,3548.2
2005-09-01,3563.9
2005-10-01,3585.2
2005-11-01,3586.3
2005-12-01,3601.7
2006-01-01,3620.6
2006-02-01,3626.6
2006-03-01,3615.8
2006-04-01,3627.4
2006-05-01,3601.8
2006-06-01,3616.2
2006-07-01,3625.7
2006-08-01,3623.8
2006-09-01,3631.9
2006-10-01,3647.9
2006-11-01,3661.4
2006-12-01,3692.7
2007-01-01,3707.6
2007-02-01,3716.5
2007-03-01,3728.9
2007-04-01,3767.8
2007-05-01,3766.4
2007-06-01,3796.7
2007-07-01,3808.3
2007-08-01,3851.7
2007-09-01,3852
2007-10-01,3849
2007-11-01,3861
2007-12-01,3865.9
2008-01-01,3868.9
2008-02-01,3909.5
2008-03-01,3963.8
2008-04-01,3979.6
2008-05-01,4003.4
2008-06-01,4020.7
2008-07-01,4036.1
2008-08-01,4040.6
2008-09-01,4042.4
2008-10-01,4045.6
2008-11-01,4026.1
2008-12-01,4088
2009-01-01,4202.7
2009-02-01,4275.5
2009-03-01,4346.3
2009-04-01,4351.9
2009-05-01,4443.4
2009-06-01,4464.1
2009-07-01,4516.9
2009-08-01,4573.7
2009-09-01,4626.5
2009-10-01,4705
2009-11-01,4774.7
2009-12-01,4810.3
2010-01-01,4839.1
2010-02-01,4891.8
2010-03-01,4918.1
2010-04-01,4992.9
2010-05-01,5058.4
2010-06-01,5072.5
2010-07-01,5112.8
2010-08-01,5164.8
2010-09-01,5209.6
2010-10-01,5276.8
2010-11-01,5278.2
2010-12-01,5331
2011-01-01,5366.8
2011-02-01,5420.8
2011-03-01,5466.1
2011-04-01,5544.7
2011-05-01,5585.7
2011-06-01,5649.6
2011-07-01,5794.7
2011-08-01,5870.7
2011-09-01,5904.7
2011-10-01,5942.7
2011-11-01,5951.9
2011-12-01,6030.1
2012-01-01,6084
2012-02-01,6148.7
2012-03-01,6191.7
2012-04-01,6250.7
2012-05-01,6290.8
2012-06-01,6351.8
2012-07-01,6380.5
2012-08-01,6420.6
2012-09-01,6478.7
2012-10-01,6526.3
2012-11-01,6580.1
2012-12-01,6684.4
2013-01-01,6695.6
2013-02-01,6740
2013-03-01,6791.3
2013-04-01,6799
2013-05-01,6830.9
2013-06-01,6888.1
2013-07-01,6912.1
2013-08-01,6966.4
2013-09-01,6995.8
2013-10-01,7080.3
2013-11-01,7092.2
2013-12-01,7123.5
2014-01-01,7164.3
2014-02-01,7236.5
2014-03-01,7246.5
2014-04-01,7278.1
2014-05-01,7327.3
2014-06-01,7351.1
2014-07-01,7395.8
2014-08-01,7461.7
2014-09-01,7446.8
2014-10-01,7501.7
2014-11-01,7534.3
2014-12-01,7569.3
2015-01-01,7646.7
2015-02-01,7722.3
2015-03-01,7749.7
2015-04-01,7802.3
2015-05-01,7863.9
2015-06-01,7874.6
2015-07-01,7911.7
2015-08-01,7980.5
2015-09-01,8024
2015-10-01,8091.9
2015-11-01,8119.5
2015-12-01,8156.1
2016-01-01,8211
2016-02-01,8258.1
2016-03-01,8312.2
2016-04-01,8364.4
2016-05-01,8398.5
2016-06-01,8468.2
2016-07-01,8538.5
2016-08-01,8575
2016-09-01,8651.9
2016-10-01,8712
2016-11-01,8747.8
2016-12-01,8802.7
2017-01-01,8836.5
2017-02-01,8901.2
2017-03-01,8910.2
2017-04-01,8957.4
2017-05-01,8941.1
2017-06-01,8949.4
2017-07-01,8978.6
2017-08-01,8981.1
2017-09-01,9028.4
2017-10-01,9037.5
2017-11-01,9038.8
2017-12-01,9095.1
2018-01-01,9071.4
2018-02-01,9134.6
2018-03-01,9127.2
2018-04-01,9137
2018-05-01,9178.4
2018-06-01,9215.4
2018-07-01,9208.2
2018-08-01,9221
2018-09-01,9223.7
2018-10-01,9190.7
2018-11-01,9204.4
2018-12-01,9232.6
2019-01-01,9271.3
2019-02-01,9274.9
2019-03-01,9299.5
2019-04-01,9260
2019-05-01,9349
2019-06-01,9406.5
2019-07-01,9438
2019-08-01,9500.7
2019-09-01,9539.6
2019-10-01,9623.7
2019-11-01,9701.8
2019-12-01,9723.6
2020-01-01,9864.2
2020-02-01,9949
2020-03-01,10188.2
2020-04-01,10614.5
